metabolite_id,metabolite_name,compartment,gene_symbol,reaction_id
MAM01570e,chylomicron,e,MGLL,MAR00001
MAM01570e,chylomicron,e,ABHD6,MAR00001
MAM01570e,chylomicron,e,GPIHBP1,MAR00001
MAM01570e,chylomicron,e,ABHD12,MAR00001
MAM01570e,chylomicron,e,LPL,MAR00001
MAM01570e,chylomicron,e,SDC1,MAR00001
MAM01569e,chylomicron remnant,e,MGLL,MAR00001
MAM01569e,chylomicron remnant,e,ABHD6,MAR00001
MAM01569e,chylomicron remnant,e,GPIHBP1,MAR00001
MAM01569e,chylomicron remnant,e,ABHD12,MAR00001
MAM01569e,chylomicron remnant,e,LPL,MAR00001
MAM01569e,chylomicron remnant,e,SDC1,MAR00001
MAM02956e,TAG-chylomicron pool,e,MGLL,MAR00001
MAM02956e,TAG-chylomicron pool,e,ABHD6,MAR00001
MAM02956e,TAG-chylomicron pool,e,GPIHBP1,MAR00001
MAM02956e,TAG-chylomicron pool,e,ABHD12,MAR00001
MAM02956e,TAG-chylomicron pool,e,LPL,MAR00001
MAM02956e,TAG-chylomicron pool,e,SDC1,MAR00001
MAM02040e,H2O,e,LPL,MAR00002
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,LPL,MAR00002
MAM01807e,fatty acid-chylomicron pool,e,LPL,MAR00002
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNPLA3,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,LIPC,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,DAGLA,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNPLA4,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNLIPRP3,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNLIP,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,LIPF,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNLIPRP2,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNLIPRP1,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,LIPE,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,LIPG,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,DAGLB,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,PNPLA2,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,AADAC,MAR00003
MAM00234e,"1,2-diacylglycerol-chylomicron pool",e,CEL,MAR00003
MAM02040e,H2O,e,PNPLA3,MAR00003
MAM02040e,H2O,e,LIPC,MAR00003
MAM02040e,H2O,e,DAGLA,MAR00003
MAM02040e,H2O,e,PNPLA4,MAR00003
MAM02040e,H2O,e,PNLIPRP3,MAR00003
MAM02040e,H2O,e,PNLIP,MAR00003
MAM02040e,H2O,e,LIPF,MAR00003
MAM02040e,H2O,e,PNLIPRP2,MAR00003
MAM02040e,H2O,e,PNLIPRP1,MAR00003
MAM02040e,H2O,e,LIPE,MAR00003
MAM02040e,H2O,e,LIPG,MAR00003
MAM02040e,H2O,e,DAGLB,MAR00003
MAM02040e,H2O,e,PNPLA2,MAR00003
MAM02040e,H2O,e,AADAC,MAR00003
MAM02040e,H2O,e,CEL,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNPLA3,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,LIPC,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,DAGLA,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNPLA4,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNLIPRP3,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNLIP,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,LIPF,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNLIPRP2,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNLIPRP1,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,LIPE,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,LIPG,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,DAGLB,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,PNPLA2,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,AADAC,MAR00003
MAM00503e,1-acylglycerol-chylomicron pool,e,CEL,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNPLA3,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,LIPC,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,DAGLA,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNPLA4,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNLIPRP3,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNLIP,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,LIPF,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNLIPRP2,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNLIPRP1,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,LIPE,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,LIPG,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,DAGLB,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,PNPLA2,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,AADAC,MAR00003
MAM01807e,fatty acid-chylomicron pool,e,CEL,MAR00003
MAM00503c,1-acylglycerol-chylomicron pool,c,ABHD12,MAR00005
MAM00503c,1-acylglycerol-chylomicron pool,c,MGLL,MAR00005
