"Metabolite","Subsystem","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Padj","Neighbor_Genes"
"Cholesterol","Steroid & Lipid biosynthesis",3,1.543,4.255,2.015,0.02195,0.02195,"HMGCR; HMGCS1; SQLE"
"Alanine","Amino acid metabolism",2,-0.607,3.492,1.718,0.04287,0.04287,"GPT; GPT2"
"Malate","TCA cycle",5,0.53,4.455,1.559,0.05955,0.05955,"MDH1; MDH2; ME1; ME2; ME3"
"Bilirubin","Heme & Porphyrin metabolism",4,0.58,4.17,1.557,0.05973,0.05973,"HMOX1; HMOX2; BLVRA; UGT1A1"
"Pyruvate","Glycolysis & Pyruvate metabolism",7,0.264,4.824,1.37,0.0854,0.0854,"PKLR; PKM; PDHA1; PDHB; LDHA; LDHB; PC"
"Oleate / Monounsaturated FA","Lipid & Fatty acid metabolism",3,0.802,3.408,1.101,0.1355,0.1355,"SCD; FASN; PNPLA3"
"Glutamate","Amino acid metabolism",9,-0.038,4.898,0.997,0.1593,0.1593,"GLUD1; GLUD2; GOT1; GOT2; GPT; GPT2; GLUL; GLS; GLS2"
"Palmitate","Fatty acid biosynthesis & oxidation",7,0.299,4.052,0.57,0.2844,0.2844,"FASN; ACACA; ACACB; CPT1A; CPT2; ACADM; ACADVL"
"Isocitrate","TCA cycle",7,0.105,3.856,0.36,0.3596,0.3596,"IDH1; IDH2; IDH3A; IDH3B; IDH3G; ACO1; ACO2"
"Acetyl-CoA","Central carbon metabolism",4,0.508,2.905,0.264,0.3959,0.3959,"CS; ACLY; ACSS2; ACACA"
"Lactate","Glycolysis & Pyruvate metabolism",3,-0.188,2.287,-0.03,0.512,0.512,"LDHA; LDHB; LDHC"
"Aspartate","Amino acid metabolism",3,0.007,1.256,-1.061,0.8556,0.8556,"GOT1; GOT2; ASNS"
"Taurine","Sulfur & Amino acid metabolism",2,0.036,0.671,-1.264,0.8969,0.8969,"CDO1; CSAD"
"Fumarate","TCA cycle",3,0.049,0.724,-1.554,0.9399,0.9399,"FH; SDHA; SDHB"
"Succinate","TCA cycle",7,0.012,1.617,-1.924,0.9728,0.9728,"SUCLA2; SUCLG1; SUCLG2; SDHA; SDHB; SDHC; SDHD"
