"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","neg_log10_padj"
"ENSG00000152583",997.444733,4.559848,0.185883,0,0,"Up",50
"ENSG00000165995",495.095687,3.280119,0.133206,0,0,"Up",50
"ENSG00000120129",3409.038355,2.936591,0.122502,0,0,"Up",50
"ENSG00000101347",12703.412825,3.754342,0.15761,0,0,"Up",50
"ENSG00000189221",2341.780676,3.3413,0.143234,0,0,"Up",50
"ENSG00000211445",12285.700055,3.716111,0.168483,0,0,"Up",50
"ENSG00000157214",3009.272875,1.969256,0.090631,0,0,"Up",50
"ENSG00000162614",5393.114541,2.02783,0.094958,0,0,"Up",50
"ENSG00000125148",3656.2674,2.198752,0.106506,0,0,"Up",50
"ENSG00000154734",30315.11317,2.334542,0.117002,0,0,"Up",50
"ENSG00000139132",1223.463152,2.216923,0.113488,0,0,"Up",50
"ENSG00000162493",1099.638077,1.875086,0.096108,0,0,"Up",50
"ENSG00000134243",5510.956477,2.18256,0.113053,0,0,"Up",50
"ENSG00000179094",776.600164,3.176614,0.165504,0,0,"Up",50
"ENSG00000162692",508.164811,-3.672831,0.191901,0,0,"Down",50
"ENSG00000163884",561.111048,4.432577,0.237445,0,0,"Up",50
"ENSG00000178695",2649.822515,-2.513288,0.135865,0,0,"Down",50
"ENSG00000198624",2057.204409,2.90119,0.163538,0,0,"Up",50
"ENSG00000148848",1365.163975,-1.803572,0.101099,0,0,"Down",50
"ENSG00000107562",25136.089018,-1.900811,0.106785,0,0,"Down",50
"ENSG00000146250",313.686159,-2.739119,0.154931,0,0,"Down",50
"ENSG00000106976",884.737401,-1.74613,0.10011,0,0,"Down",50
"ENSG00000154930",670.046865,1.88691,0.109042,0,0,"Up",50
"ENSG00000163394",1216.57691,-2.174145,0.12633,0,0,"Down",50
"ENSG00000253368",1040.174817,1.975967,0.115156,0,0,"Up",50
"ENSG00000163661",8565.675761,2.24605,0.132287,0,0,"Up",50
"ENSG00000162616",1467.638323,1.509343,0.088502,0,0,"Up",50
"ENSG00000124766",1281.456787,-2.394372,0.142277,0,0,"Down",50
"ENSG00000148175",11193.723198,1.439027,0.085194,0,0,"Up",50
"ENSG00000197381",1969.040089,2.305692,0.137143,0,0,"Up",50
"ENSG00000172403",8014.796365,1.732861,0.104363,0,0,"Up",50
"ENSG00000116285",3232.635881,2.409775,0.146088,0,0,"Up",50
"ENSG00000163083",418.919472,3.42491,0.210602,0,0,"Up",50
"ENSG00000166741",7432.960982,2.171292,0.136189,0,0,"Up",50
"ENSG00000070404",2128.121776,1.801944,0.114344,0,0,"Up",50
"ENSG00000105989",333.209551,-3.017475,0.1918,0,0,"Down",50
"ENSG00000122035",943.340735,2.271822,0.146045,0,0,"Up",50
"ENSG00000119139",5029.854777,1.913088,0.123591,0,0,"Up",50
"ENSG00000136478",3701.517775,1.45472,0.093955,0,0,"Up",50
"ENSG00000196569",17178.400565,2.014562,0.134472,0,0,"Up",49.06717
"ENSG00000108821",100989.915986,-1.294511,0.086398,0,0,"Down",48.563797
"ENSG00000221866",847.490035,2.728194,0.184266,0,0,"Up",48.35254
"ENSG00000100242",2236.242036,1.843361,0.124166,0,0,"Up",47.999341
"ENSG00000172986",756.360325,-1.563255,0.104684,0,0,"Down",47.999341
"ENSG00000060718",363.763144,2.407591,0.162533,0,0,"Up",47.80956
"ENSG00000134686",2737.981626,1.37593,0.09263,0,0,"Up",47.80956
"ENSG00000145685",2018.150552,-1.231454,0.082644,0,0,"Down",47.80956
"ENSG00000099337",530.058849,2.694642,0.182937,0,0,"Up",47.587608
"ENSG00000157150",167.615768,2.919665,0.197253,0,0,"Up",47.525089
"ENSG00000126803",449.176837,2.427794,0.165328,0,0,"Up",47.378883
"ENSG00000102804",5397.335588,1.193132,0.080668,0,0,"Up",47.246666
"ENSG00000138316",799.560819,-2.487513,0.171338,0,0,"Down",46.439185
"ENSG00000133142",3055.980677,1.524415,0.104628,0,0,"Up",46.214159
"ENSG00000131389",740.403134,-2.105445,0.146539,0,0,"Down",45.187307
"ENSG00000168309",159.530276,4.79016,0.331313,0,0,"Up",45.184973
"ENSG00000103196",3082.088885,2.60651,0.183176,0,0,"Up",45.103277
"ENSG00000124440",197.042691,2.506894,0.174137,0,0,"Up",44.910726
"ENSG00000152268",1597.858287,1.895945,0.132415,0,0,"Up",44.805584
"ENSG00000163171",1357.572998,1.492544,0.10407,0,0,"Up",44.655531
"ENSG00000103742",370.82777,-2.177487,0.152794,0,0,"Down",44.263688
"ENSG00000141401",627.528067,2.305686,0.162282,0,0,"Up",44.263688
"ENSG00000112837",2754.943031,-1.817136,0.128798,0,0,"Down",43.524344
"ENSG00000164647",1920.710849,1.553059,0.110365,0,0,"Up",43.092928
"ENSG00000068383",1247.239149,1.368743,0.097689,0,0,"Up",42.555221
"ENSG00000156675",1631.874131,1.533907,0.110378,0,0,"Up",41.966175
"ENSG00000136999",435.706358,-2.526686,0.184733,0,0,"Down",41.260445
"ENSG00000196517",229.63805,-2.207714,0.16156,0,0,"Down",40.605832
"ENSG00000206538",12754.934405,1.351108,0.099083,0,0,"Up",40.605832
"ENSG00000227051",4615.700805,-1.139182,0.08359,0,0,"Down",40.321287
"ENSG00000134363",2906.309739,-1.788939,0.13239,0,0,"Down",40.047504
"ENSG00000109906",385.071328,7.273227,0.543828,0,0,"Up",39.634147
"ENSG00000149218",2027.184205,1.907078,0.142021,0,0,"Up",39.596666
"ENSG00000167641",231.672666,2.865694,0.214595,0,0,"Up",39.404124
"ENSG00000185432",3885.656472,2.226756,0.167279,0,0,"Up",39.286781
"ENSG00000163378",1805.287929,1.24961,0.093177,0,0,"Up",39.016117
"ENSG00000126016",386.412443,-2.34911,0.176776,0,0,"Down",38.875644
"ENSG00000106484",677.207251,-1.844046,0.138322,0,0,"Down",38.859258
"ENSG00000196975",4908.817887,1.172284,0.088035,0,0,"Up",38.557994
"ENSG00000150907",678.86791,2.203343,0.166728,0,0,"Up",38.504611
"ENSG00000151726",1460.175912,1.586422,0.11946,0,0,"Up",38.476698
"ENSG00000130513",451.001146,-1.847968,0.139324,0,0,"Down",38.475754
"ENSG00000221869",1963.575147,1.48341,0.112287,0,0,"Up",38.118008
"ENSG00000169715",554.197192,2.198325,0.168573,0,0,"Up",37.595736
"ENSG00000145390",8442.045142,2.123796,0.164393,0,0,"Up",37.070599
"ENSG00000147027",12593.314253,1.153139,0.088294,0,0,"Up",37.041115
"ENSG00000185950",1974.87889,2.100683,0.162579,0,0,"Up",36.988306
"ENSG00000013293",244.494007,-2.850081,0.220133,0,0,"Down",36.921132
"ENSG00000131831",1017.173565,1.414592,0.109408,0,0,"Up",36.25467
"ENSG00000137672",655.448854,1.932761,0.151452,0,0,"Up",35.773054
"ENSG00000146122",1942.425554,1.664888,0.130465,0,0,"Up",35.656835
"ENSG00000020577",3104.999031,1.189917,0.09336,0,0,"Up",35.348007
"ENSG00000119138",1683.276229,2.055832,0.162912,0,0,"Up",35.336783
"ENSG00000163110",1314.18348,1.587825,0.125153,0,0,"Up",35.224111
"ENSG00000138735",6850.213188,-1.163778,0.091824,0,0,"Down",35.016992
"ENSG00000071282",3659.862128,1.58665,0.126214,0,0,"Up",34.697356
"ENSG00000101825",4767.104691,-1.309148,0.104343,0,0,"Down",34.343803
"ENSG00000246430",2162.533816,2.026381,0.164236,0,0,"Up",33.817119
"ENSG00000163513",13216.632402,1.444629,0.11623,0,0,"Up",33.73722
"ENSG00000163431",4934.729291,1.149266,0.092683,0,0,"Up",33.519911
"ENSG00000046653",1090.456439,2.365946,0.193345,0,0,"Up",33.366164
"ENSG00000099998",506.243742,2.348085,0.192305,0,0,"Up",33.191161
"ENSG00000106617",1018.354025,1.597462,0.129884,0,0,"Up",33.170762
"ENSG00000137809",1115.794832,-1.694965,0.138675,0,0,"Down",33.037537
"ENSG00000115457",1919.142202,2.184763,0.183868,0,0,"Up",31.654162
"ENSG00000160200",834.069634,1.227037,0.102857,0,0,"Up",31.002132
"ENSG00000214814",243.273277,-3.018124,0.255091,0,0,"Down",30.949129
"ENSG00000162772",373.512382,1.894159,0.160041,0,0,"Up",30.71423
"ENSG00000128923",1415.677101,1.026111,0.086345,0,0,"Up",30.632337
"ENSG00000174306",3234.845527,1.116744,0.094186,0,0,"Up",30.618869
"ENSG00000119508",216.674369,2.050283,0.173494,0,0,"Up",30.581971
"ENSG00000123562",5040.483344,1.01648,0.085805,0,0,"Up",30.444476
"ENSG00000145777",152.370842,-2.74409,0.233968,0,0,"Down",30.223815
"ENSG00000173918",992.657156,1.238117,0.105163,0,0,"Up",30.177028
"ENSG00000164125",5596.351415,1.110919,0.094473,0,0,"Up",30.115676
"ENSG00000114098",1010.292829,1.329302,0.113425,0,0,"Up",29.998772
