"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003013","circulatory system process","52/674","367/12380",0.141689373297003,2.60254368162744,7.47800307925553,1.72838465214458e-10,8.72142895472153e-07,8.72142895472153e-07,"VEGFA/SLC6A6/SLC16A12/CACNA1G/ADM2/SLC7A5/ATP2A2/ABCC9/GCH1/KCNE3/AGT/GCLM/NEDD4L/CORIN/BDKRB1/AMOT/PKP2/TGFB2/KCND2/STC1/DDAH1/BDKRB2/KCND3/TBX18/PTGS2/ADRA2A/ABAT/CACNB2/SCN7A/SLC38A2/HSD11B2/ADORA1/SCN1B/SGCD/SLC6A9/ANPEP/CXCL12/PER2/FGF13/TJP2/AGTRAP/SPTBN4/SLC24A3/TRPA1/CLIC2/HTR2A/OXTR/LEP/SLC5A6/PIEZO2/ADRA1B/RAMP3",52
"GO:0008015","blood circulation","44/674","298/12380",0.147651006711409,2.71204668113835,7.17831956336324,1.24780724849533e-09,3.14821768795373e-06,3.14821768795373e-06,"VEGFA/CACNA1G/ADM2/ATP2A2/ABCC9/GCH1/KCNE3/AGT/GCLM/NEDD4L/CORIN/BDKRB1/AMOT/PKP2/TGFB2/KCND2/STC1/DDAH1/BDKRB2/KCND3/TBX18/PTGS2/ADRA2A/ABAT/CACNB2/SCN7A/HSD11B2/ADORA1/SCN1B/SGCD/ANPEP/CXCL12/PER2/FGF13/TJP2/AGTRAP/SPTBN4/TRPA1/CLIC2/HTR2A/OXTR/LEP/PIEZO2/ADRA1B",44
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway","55/674","453/12380",0.121412803532009,2.23010461086984,6.40020681062796,1.56879937020725e-08,1.87534479454007e-05,1.87534479454007e-05,"NRG1/VEGFA/APOD/SAMD12/NR4A3/NGF/SOX9/EPHB2/SOCS1/CILP/FLRT3/AGT/NEDD9/ENPP1/FGFR2/IRS2/UBASH3B/FOXO1/MSTN/BDKRB2/BLNK/EPHA4/KANK1/ADRA2A/CRIM1/PIK3R3/PDK4/ADORA1/TRIB3/ANGPTL1/GDF15/EPHB3/MERTK/FGF10/SORBS1/THBS1/IGFBP2/PIK3R1/ERRFI1/GDNF/FGF22/KALRN/BTC/TSPAN32/PAK3/FRK/AFAP1L2/EPHB6/ROBO1/LEP/MTSS1/EPHA5/ARHGEF28/IL31RA/IL12A",55
"GO:1903522","regulation of blood circulation","28/674","157/12380",0.178343949044586,3.27581318868245,6.88598385424144,2.27753426093388e-08,1.87534479454007e-05,1.87534479454007e-05,"CACNA1G/ADM2/ATP2A2/ABCC9/GCH1/KCNE3/AGT/CORIN/PKP2/TGFB2/KCND2/STC1/BDKRB2/KCND3/TBX18/ADRA2A/CACNB2/ADORA1/SCN1B/PER2/FGF13/SPTBN4/TRPA1/CLIC2/HTR2A/OXTR/LEP/ADRA1B",28
"GO:0001944","vasculature development","57/674","483/12380",0.118012422360248,2.16764657094937,6.28108560849304,2.3592237271225e-08,1.87534479454007e-05,1.87534479454007e-05,"VEGFA/APOD/SAT1/EGR2/PDPN/EPHB2/RHOJ/ADM2/CFLAR/SOX4/COL4A3/COL4A1/TYMP/TGFBR2/ADAMTS1/HMOX1/RHOB/BRCA1/NRXN3/NR4A1/ELMO1/PLXDC1/FGFR2/AMOT/S1PR1/WARS1/TGFB2/DDAH1/CCN3/HIF3A/PTGS2/PIK3R3/EPHB3/FGF10/THBS1/BMPER/ANPEP/HPSE/E2F7/VASH2/CXCL12/ERRFI1/ADAM12/SFRP2/TMEM100/EGR3/COL1A1/MFGE8/GLUL/ANG/ACTA2/C6/ROBO1/ANGPTL7/LEP/RGCC/IL12A",57
"GO:0044057","regulation of system process","45/674","340/12380",0.132352941176471,2.43105253971025,6.42022522557332,2.5820752248819e-08,1.87534479454007e-05,1.87534479454007e-05,"LMCD1/EGR2/NR4A3/CACNA1G/ADM2/GRIN2A/ATP2A2/ABCC9/GCH1/KCNE3/AGT/CYP19A1/CORIN/PKP2/TGFB2/KCND2/FOXO1/STC1/MSTN/BDKRB2/CCN3/KCND3/TBX18/TENM4/ADRA2A/ABAT/CACNB2/KCNB2/ADORA1/C1QTNF1/SCN1B/FGF10/INHBB/ERRFI1/PER2/FGF13/SPTBN4/TMEM100/FOXO3/TRPA1/CLIC2/HTR2A/OXTR/LEP/ADRA1B",45
"GO:0043408","regulation of MAPK cascade","52/674","423/12380",0.122931442080378,2.25799889162475,6.31695520732074,2.60154846646463e-08,1.87534479454007e-05,1.87534479454007e-05,"DUSP1/RASSF2/NRG1/VEGFA/PER1/GADD45G/TNIK/NGF/EPHB2/NKD1/DUSP5/ATF3/CFLAR/GPR37/NAMPT/CCN2/AGT/FGFR2/TGFB2/CCN1/FOXO1/IL34/PSCA/EPHA4/LBH/ADRA2A/SACK1D/ADORA1/TRIB3/GDF15/FGF10/THBS1/BMPER/NRK/ERRFI1/LMO3/DUSP8/DUSP10/P2RX7/FGF22/PAK3/NEK10/HTR2A/PLCG2/ACTA2/LIF/ROBO1/LEP/SEMA3A/GADD45B/ADRA1B/RAMP3",52
"GO:0001568","blood vessel development","53/674","464/12380",0.114224137931034,2.09806354241277,5.7848178060882,2.17544602255108e-07,0.000137216257872409,0.000137216257872409,"VEGFA/APOD/SAT1/EGR2/EPHB2/RHOJ/ADM2/CFLAR/SOX4/COL4A3/COL4A1/TYMP/TGFBR2/ADAMTS1/HMOX1/RHOB/BRCA1/NRXN3/NR4A1/ELMO1/PLXDC1/FGFR2/AMOT/S1PR1/WARS1/TGFB2/DDAH1/CCN3/HIF3A/PTGS2/PIK3R3/EPHB3/FGF10/THBS1/BMPER/ANPEP/HPSE/E2F7/VASH2/ADAM12/SFRP2/TMEM100/EGR3/COL1A1/MFGE8/GLUL/ANG/ACTA2/C6/ROBO1/LEP/RGCC/IL12A",53
"GO:0032970","regulation of actin filament-based process","40/674","309/12380",0.129449838187702,2.37772848184533,5.88490858907212,2.84169355826727e-07,0.000159324285500185,0.000159324285500185,"MYADM/RAC3/PDPN/SSH2/LMOD1/GPM6B/ATP2A2/SYNPO2/KANK4/ARHGAP28/CCN2/NEDD9/CDC42EP3/WASF3/AMOT/PKP2/CIT/S1PR1/TGFB2/STC1/KANK1/FAM107A/ADORA1/SIGLEC15/DAAM2/RND2/CARMIL1/PIK3R1/PRKCE/CXCL12/FGF13/SPTBN4/CORO2B/PAK3/CRACD/RND1/ACTA2/MTSS1/RGCC/DNAI3",40
"GO:0003015","heart process","25/674","152/12380",0.164473684210526,3.02104482273934,6.01573219311915,6.39515954406408e-07,0.000303090058866595,0.000303090058866595,"CACNA1G/ADM2/ATP2A2/ABCC9/GCH1/KCNE3/AGT/NEDD4L/CORIN/PKP2/TGFB2/KCND2/STC1/KCND3/TBX18/CACNB2/SCN7A/ADORA1/SCN1B/SGCD/FGF13/SPTBN4/CLIC2/ADRA1B/RAMP3",25
