"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04911","Insulin secretion",51,-0.694221849376486,-1.6996530928948,0.00322377998164148,0.374555593969651,0.0641841653476179,977,"tags=25%, list=6%, signal=24%","11069/3778/775/815/114/23236/5567/196883/477/90993/107/9586/886",0.431707695803346
"hsa00640","Propanoate metabolism",29,0.813960005498384,1.65666597941013,0.00799228907039419,0.374555593969651,0.0641841653476179,534,"tags=21%, list=4%, signal=20%","84532/18/35/4329/55862/3939",0.380730400722792
"hsa05143","African trypanosomiasis",17,-0.792853955184822,-1.63684703181153,0.0251390631906935,0.380996621621622,0.0652879053276864,909,"tags=24%, list=6%, signal=22%","3039/3592/23236/7412",0.352487857583619
"hsa04978","Mineral absorption",38,0.780233166795057,1.62161254453407,0.00790134729578688,0.374555593969651,0.0641841653476179,1074,"tags=29%, list=7%, signal=27%","261729/4502/26872/4493/4501/4499/65010/476/55503/481/1317",0.380730400722792
"hsa04920","Adipocytokine signaling pathway",54,0.734493498965434,1.60092839924406,0.0100265339094453,0.374555593969651,0.0641841653476179,2092,"tags=44%, list=14%, signal=38%","2180/8660/51422/5562/3952/3667/6774/1374/5781/2475/3717/7133/4792/51094/10645/1147/5465/3551/4793/5970/32/10000/79602/6256",0.380730400722792
"hsa05144","Malaria",29,-0.714368120854956,-1.59229843175821,0.0274525280719519,0.380996621621622,0.0652879053276864,909,"tags=24%, list=6%, signal=23%","3039/7058/3592/7042/3082/6382/7412",0.352487857583619
"hsa04520","Adherens junction",83,0.690797228966285,1.58175607842539,0.00393579537697932,0.374555593969651,0.0641841653476179,2018,"tags=37%, list=13%, signal=33%","7048/10810/9411/9475/7414/10627/6093/5881/10580/103910/81/57493/71/3480/8936/9855/5879/10398/4233/5908/11235/3643/5795/60/7082/5819/5797/8976/87/25945/10163",0.407017918923954
"hsa04672","Intestinal immune network for IgA production",19,-0.745261258487081,-1.57745068103194,0.0345472609840241,0.380996621621622,0.0652879053276864,250,"tags=11%, list=2%, signal=10%","10673/6387",0.321775918075361
"hsa00350","Tyrosine metabolism",23,0.809289238961843,1.57130753174841,0.0304821392567823,0.380996621621622,0.0652879053276864,629,"tags=22%, list=4%, signal=21%","4128/125/124/126/316",0.352487857583619
"hsa00360","Phenylalanine metabolism",11,0.884934575761113,1.5703691085267,0.0146178938652135,0.374555593969651,0.0641841653476179,5,"tags=9%, list=0%, signal=9%","4128",0.380730400722792
