"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","14/385","44/6018",0.318181818181818,4.97355371900826,6.91549565305254,2.98536307893582e-07,0.000104487707762754,0.000104487707762754,"8660/107/5743/57104/50486/5593/5295/2167/196883/8503/134/63924/51099/114",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","25/385","136/6018",0.183823529411765,2.87337662337662,5.77673620135841,1.19186637418778e-06,0.000208576615482862,0.000208576615482862,"6355/130399/4803/3952/6354/6387/9518/133396/2660/146433/83729/7048/4982/151449/7042/10673/8200/51554/85480/8744/3976/1896/9966/3625/3592",25
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","16/385","76/6018",0.210526315789474,3.29077238550923,5.25379238242391,1.79150548278947e-05,0.00209008972992104,0.00209008972992104,"5336/4803/5581/107/3356/5295/624/8989/196883/8503/114/40/815/5500/5321/623",16
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","8/385","23/6018",0.347826086956522,5.4369282891022,5.57316920551311,5.4537124215464e-05,0.0047719983688531,0.0047719983688531,"218/125/4129/124/316/4128/126/259307",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","19/385","115/6018",0.165217391304348,2.58254093732355,4.47938072272057,0.000107042742823436,0.0074929919976405,0.00749299199764049,"5021/3952/2900/59350/3356/9934/624/5027/79924/886/147/134/1901/150/183/623/2897/2903/2847",19
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","22/385","157/6018",0.140127388535032,2.19035486806187,3.95085337888576,0.00037388071240675,0.0203617983413936,0.0203617983413936,"5336/64101/6091/6387/91584/2051/27289/5295/7225/2049/8503/151449/2043/5063/5881/815/2048/85464/2044/80031/10371/3983",22
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","24/385","181/6018",0.132596685082873,2.07264117098371,3.83044647479667,0.000472961604129745,0.0203617983413936,0.0203617983413936,"72/10611/25777/22801/1282/8735/1286/5318/2201/6444/57731/171024/25802/8515/85301/1301/7057/8516/51778/4811/1285/23500/3908/1277",24
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","17/385","109/6018",0.155963302752294,2.4378887167878,3.960335918456,0.000495412048538688,0.0203617983413936,0.0203617983413936,"5021/3952/8660/107/10268/5593/5295/196883/886/147/8503/1734/54331/150/114/183/2847",17
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","15/385","91/6018",0.164835164835165,2.57656629085201,3.96155750059863,0.000578676375564289,0.0203617983413936,0.0203617983413936,"5336/5581/3725/1282/5295/1286/8503/7048/7422/7042/183/2308/7412/1285/1277",15
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","22/385","162/6018",0.135802469135802,2.12275132275132,3.78696283949845,0.000581765666896959,0.0203617983413936,0.0203617983413936,"5336/5021/4803/107/27006/2263/3356/624/5027/196883/886/147/7422/2668/814/114/8913/815/623/2255/2903/488",22
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","12/385","65/6018",0.184615384615385,2.88575424575425,3.99598938717474,0.000720301387039762,0.0219934705833169,0.0219934705833169,"8864/107/5187/5593/8863/196883/54331/9252/114/8913/815/2903",12
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","16/385","103/6018",0.155339805825243,2.42814273105535,3.8217594357529,0.000754061848570864,0.0219934705833169,0.0219934705833169,"3725/107/1282/59350/5295/196883/1286/8503/7048/7422/59/54331/114/1285/9586/1277",16
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","7/385","26/6018",0.269230769230769,4.20839160839161,4.28586649173439,0.000942873969342581,0.0253850684053772,0.0253850684053772,"8630/125/9249/124/316/126/220",7
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","10/385","54/6018",0.185185185185185,2.8946608946609,3.65603250990901,0.00192853591560009,0.0482133978900022,0.0482133978900022,"51422/8660/2309/107/5295/196883/8503/114/2308/3310",10
