"gs_name","gs_description","drug_name"
"ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN","Selected genes changed in K562 (immortalized erythroleukemia) cells induced by hemin [PubChem=26945] treatment to express erythroid properties.","hemin"
"AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53","Genes down-regulated by flavopiridol [PubChem=5287969] in the HCT116 cells (colon cancer) depending on their TP53 [GeneID=7157] status: wild-type vs loss of the gene's function (LOF).","flavopiridol"
"AMUNDSON_RESPONSE_TO_ARSENITE","Genes discriminating responses to sodium arsenite [PubChem=26435] from other stresses.","arsenite"
"APPEL_IMATINIB_RESPONSE","Genes up-regulated by imatinib [PubChem=5291] during dendritic cell differentiation.","imatinib"
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN","Genes down-regulated in A2780 cells (ovarian carcinoma) exposed to fenretinide [PubChem=1744].","fenretinide"
"APPIERTO_RESPONSE_TO_FENRETINIDE_UP","Genes up-regulated in A2780 cells (ovarian carcinoma) exposed to fenretinide [PubChem=1744].","fenretinide"
"BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN","Genes down-regulated in D-341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6-BG [PubChem=2578;4578].","o6-bg"
"BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP","Genes up-regulated in D-341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6-BG [PubChem=2578;4578].","o6-bg"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN","Genes down-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP","Genes up-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN","Genes down-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP","Genes up-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN","Genes down-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP","Genes up-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN","Genes down-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","carmustine"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP","Genes up-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h.","carmustine"
"BECKER_TAMOXIFEN_RESISTANCE_DN","Genes down-regulated in a breast cancer cell line resistant to tamoxifen [PubChem=5376] compared to the parental line sensitive to the drug.","tamoxifen"
"BECKER_TAMOXIFEN_RESISTANCE_UP","Genes up-regulated in a breast cancer cell line resistant to tamoxifen [PubChem=5376] compared to the parental line sensitive to the drug.","tamoxifen"
"BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins; the changes did not depend on expression of constitutively active (Q63L) form of RHOA [GeneID=387].","y27632"
"BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins; the changes did not depend on expression of constitutively active (Q63L) form of RHOA [GeneID=387].","y27632"
"BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) transfrormed by expression of constitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression did NOT reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins.","y27632"
"BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) transfrormed by expression of constitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression did NOT reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins.","y27632"
"BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins.","y27632"
"BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins.","y27632"
"BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN","Down-regulated genes in MDA-MB-435 cells (breast cancer) undergoing G2/M arrest after treatment with 2-methoxyestradiol (2ME2) [PubChem=1573].","(2me2)"
"BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP","Up-regulated genes in MDA-MB-435 cells (breast cancer) undergoing G2/M arrest after treatment with 2-methoxyestradiol (2ME2)[PubChem=1573].","(2me2)"
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN","Genes bound by ESR1 [GeneID=2099] and down-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer).","estradiol"
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP","Genes bound by ESR1 [GeneID=2099] and up-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer).","estradiol"
"BHAT_ESR1_TARGETS_VIA_AKT1_DN","Genes bound by ESR1 [GeneID=2099] and down-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer) expressing constitutevly active form of AKT1 [GeneID=207].","estradiol"
"BHAT_ESR1_TARGETS_VIA_AKT1_UP","Genes bound by ESR1 [GeneID=2099] and up-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer) expressing constitutevly active form of AKT1 [GeneID=207].","estradiol"
"BILANGES_RAPAMYCIN_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) by rapamycin (sirolimus) [PubChem=6610346] but not in response to serum deprivation.","(sirolimus)"
"BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2","Genes translationally repressed by rapamycin (sirolimus) [PubChem=6610346] in MEF cells (embryonic fibroblast) lacking either TSC1 or TSC2 [GeneID=7248, 7249] but not in the wild type cells.","(sirolimus)"
"BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) in response to serum starvation and by rapamycin (sirolimus) [PubChem=6610346].","(sirolimus)"
"BILANGES_SERUM_SENSITIVE_GENES","Genes translationally regulated in MEF cells (embryonic fibroblasts) in response to serum starvation but not by rapamycin (sirolimus) [PubChem=6610346].","(sirolimus)"
"BLUM_RESPONSE_TO_SALIRASIB_DN","Selected genes down-regulated in response to the Ras inhibitor salirasib [PubChem=5469318] in a panel of cancer cell lines with constantly active HRAS [GeneID=3265].","salirasib"
"BLUM_RESPONSE_TO_SALIRASIB_UP","Selected genes up-regulated in response to the Ras inhibitor salirasib [PubChem=5469318] in a panel of cancer cell lines with constantly active HRAS [GeneID=3265].","salirasib"
"BOWIE_RESPONSE_TO_TAMOXIFEN","Genes up-regulated  by tamoxifen [PubChem=5376] in HMEC-E6 cells (mammary epithelial cells damaged by expression of HPV-16 E6 [GeneID=1489078]).","tamoxifen"
"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN","Genes specifically down-regulated in FL5.12 cells (pro-B lymphocyte) by  camptothecin [PubChem=2538].","camptothecin"
"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP","Genes specifically up-regulated in FL5.12 cells (pro-B lymphocyte) by  camptothecin [PubChem=2538].","camptothecin"
"BRACHAT_RESPONSE_TO_CISPLATIN","Genes up-regulated in FL5.12 cells (pro-B lymphocyte) in response to cisplatin [PubChem=2767].","cisplatin"
"BRACHAT_RESPONSE_TO_METHOTREXATE_DN","Genes down-regulated in  FL5.12 cells (pro-B lymphocyte) in response to methotrexate [PubChem=4112].","methotrexate"
"BRACHAT_RESPONSE_TO_METHOTREXATE_UP","Genes up-regulated in  FL5.12 cells (pro-B lymphocyte) in response to methotrexate [PubChem=4112].","methotrexate"
"CAFFAREL_RESPONSE_TO_THC_24HR_3_DN","Genes down-regulated in EVSA-T cells (breast cancer) after treatment with 3 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 24 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_24HR_3_UP","Genes up-regulated in EVSA-T cells (breast cancer) after treatment with 3 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 24 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_24HR_5_DN","Genes down-regulated in EVSA-T cells (breast cancer) treated with 5 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 24 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_24HR_5_UP","Genes up-regulated in EVSA-T cells (breast cancer) treated with 5 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 24 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_8HR_3_DN","Genes down-regulated in EVSA-T cells (breast cancer) treated with 3 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 8 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_8HR_3_UP","Genes up-regulated in EVSA-T cells (breast cancer) treated with 3 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 8 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_8HR_5_DN","Genes down-regulated in EVSA-T cells (breast cancer) treated with 5 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 8 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_8HR_5_UP","Genes up-regulated in EVSA-T cells (breast cancer) treated with 5 micromolar THC (delta-9-tetrahydrocannabinol) [PubChem=6610319] for 8 h.","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_DN","Genes down-regulated in EVSA-T cells (breast cancer) treated THC (delta-9-tetrahydrocannabinol) [PubChem=6610319].","(delta-9-tetrahydrocannabinol)"
"CAFFAREL_RESPONSE_TO_THC_UP","Genes up-regulated in EVSA-T cells (breast cancer) treated THC (delta-9-tetrahydrocannabinol) [PubChem=6610319].","(delta-9-tetrahydrocannabinol)"
"CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_DN","Genes down-regulated in neuroblastoma xenografts: resistant vs those that reverted to be sensitive to the topoisomerase inhibitor irinotecan [PubChem=3750].","irinotecan"
"CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_UP","Genes up-regulated in neuroblastoma xenografts: resistant vs those that reverted to be sensitive to the topoisomerase inhibitor irinotecan [PubChem=3750].","irinotecan"
"CARDOSO_RESPONSE_TO_GAMMA_RADIATION_AND_3AB","Down-regulated synergystically by gamma-irradiation and 3-aminobenzamine [PubChem=1645], an inhibitor of PARP1 [GeneID=142].","3-aminobenzamine"
"CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN","Genes down-regulated by 2-methoxyestradiol (2ME2) [PubChem=1573] in the MM.1S cell line (multiple myeloma) sensitive to dexamethasone [PubChem=5743].","dexamethasone"
"CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP","Genes up-regulated by 2-methoxyestradiol (2ME2) [PubChem=1573] in the MM.1S cell line (multiple myeloma) sensitive to dexamethasone [PubChem=5743].","dexamethasone"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN","Genes down-regulated in CD4+ [GeneID=920] T lymphocytes after stimulation with prostaglandin E2 [PubChem=5280360].","e2"
