"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN",235,0.735828209310314,3.19672311568049,1e-10,4.58888888888889e-09,1.97875188705906e-09,2639,"tags=69%, list=17%, signal=58%","8061/374/26872/2069/2707/28231/3589/1164/4605/7980/55388/8877/29968/3070/64151/990/54908/9787/79682/79019/10926/79801/10403/891/3161/56992/55215/51514/5427/9319/54892/7298/6491/10635/146909/9928/9156/332/7378/3084/51192/4001/84617/79733/81620/11004/57405/54821/4751/9055/11065/8318/7272/8870/79980/10615/1033/899/5557/55055/23397/25788/9833/4085/672/55872/4603/136/79075/9700/51659/4998/55839/84722/983/3148/1847/641/10592/55165/54478/10733/4830/55143/890/6790/4174/29127/701/259266/51203/8638/6662/10528/25907/1894/22974/9493/2171/6240/3832/4175/4953/23594/51512/6723/4233/5902/7371/9134/580/4172/6781/991/10036/5985/64785/24137/29899/6241/10051/6059/5983/55038/5888/5422/81831/93081/54962/2026/83461/5111/51018/2237/29980/4673/1846/1503/10212/4171/55723/2146/7280/7153/9521/699/6574/7083/1017/1719/203068/7398/64318/131566/1869/9837/11340/23649/6432/1848/5347/4173/51330",NA
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP","DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",304,0.6485712757469,2.92232404217504,1e-10,4.58888888888889e-09,1.97875188705906e-09,2730,"tags=60%, list=18%, signal=50%","122769/1826/374/1303/4605/55388/1111/771/113130/8208/56852/3070/64151/990/54908/9787/3556/79682/10293/83879/57082/79019/63967/79801/2305/55215/51514/5427/9319/2491/81610/90417/54892/7298/6491/55789/90381/9735/2177/9156/10024/332/8140/57650/4001/6502/63979/79733/81620/157570/11004/11169/84930/1763/128239/9055/11065/91687/8318/6513/253714/9768/7272/79980/54443/10615/157313/5557/55055/23397/8438/25788/9833/2717/672/55872/221150/4603/79075/9700/51659/79915/55839/983/641/55771/10592/9368/55165/10733/81691/4830/890/6790/5932/4174/3833/29127/113115/701/9824/259266/51203/25800/8839/22974/9493/6584/9133/6240/3832/4175/51512/26271/83990/283431/5570/1870/144455/3717/9134/580/4678/4172/155185/11113/4796/6781/10036/284403/5426/5985/64785/24137/675/9942/6241/4602/63922/23404/5983/55038/5888/5422/91057/126382/5111/2237/11031/1662/5933/3978/4171/55723/7153/699/2175/57122/9424/7083/1017/55536/1869/3619/6839/9837/79723/23649/23213/1138/7494/3008/79172/5347/64116/4173/54069/54790/9212/6941/23678",NA
"KANG_DOXORUBICIN_RESISTANCE_UP","KANG_DOXORUBICIN_RESISTANCE_UP",49,0.764681365619366,2.61650290662487,1e-10,4.58888888888889e-09,1.97875188705906e-09,2765,"tags=86%, list=18%, signal=70%","64151/990/79019/2305/3161/55215/54892/7298/10635/332/4001/9055/9768/1033/4085/55872/79075/983/3148/10733/11339/55143/6790/701/259266/51203/22974/6240/580/991/24137/6241/7468/55723/7153/699/7083/9837/23649/5347/4173/4363",NA
"WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN","WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN",339,0.541300477847103,2.43997533992948,1e-10,4.58888888888889e-09,1.97875188705906e-09,2264,"tags=41%, list=15%, signal=36%","1230/28231/114548/2118/729230/7804/220/4605/9595/3783/55388/7124/29968/8208/64105/3070/50515/64946/4609/64151/990/3556/79682/57082/79019/63967/79801/51514/5427/9319/90417/7298/6713/90381/10635/5778/9156/8140/57650/5791/7097/79733/81624/157570/1627/57405/84930/83540/4064/9535/85455/8318/6513/30001/8438/9833/653361/4085/672/55872/3678/27085/9002/79075/51659/4478/39/641/10592/3303/3304/9368/10733/890/55651/23046/4174/6509/701/90861/7128/126308/9493/2171/1736/3949/6307/4175/58516/23594/3676/83990/5902/1870/144455/94081/9134/10123/7046/4678/4172/10036/2353/64785/6241/3320/64786/5983/55038/51388/5888/8731/55720/5422/93081/54962/898/4145/7903/952/84135/139886/1718/3835/2237/23231/3422/10969/400506/1503/5214/4171/55723/699/22822/23243/25976/7083/1017/1719",NA
"MCDOWELL_ACUTE_LUNG_INJURY_UP","MCDOWELL_ACUTE_LUNG_INJURY_UP",43,0.722321559244206,2.41714397082379,7.39296380708203e-09,2.1809243230892e-07,9.40425498271472e-08,1692,"tags=60%, list=11%, signal=54%","6696/3371/51129/5806/4015/5935/8877/4609/1476/7045/6279/7941/3053/12/3934/1316/9516/2810/4057/9590/2353/9180/84666/3491/9536/7296",0.761460801445585
"HELLER_SILENCED_BY_METHYLATION_UP","HELLER_SILENCED_BY_METHYLATION_UP",215,0.552037936641886,2.41496082105216,1e-10,4.58888888888889e-09,1.97875188705906e-09,2502,"tags=44%, list=17%, signal=37%","8277/999/3627/1475/7850/10368/64092/3604/4481/5341/214/3486/1439/4318/9404/5996/29947/2305/6275/891/9021/7130/8605/4689/6303/3936/8870/4688/899/728/1236/653361/7293/8519/55619/10457/3123/822/3109/64180/3303/9636/4162/55165/1520/6790/8942/7133/3055/8792/3949/330/3112/22904/6624/6277/64780/10123/9915/1326/9590/991/1880/29899/10801/1134/26509/5551/4599/3597/3570/1116/55589/8651/10010/7412/1056/6489/5199/1524/7280/7153/6594/699/23586/6689/10561/8530/9770/127544/5293/7461/2200/11274",NA
"MISSIAGLIA_REGULATED_BY_METHYLATION_DN","MISSIAGLIA_REGULATED_BY_METHYLATION_DN",108,0.603365281278586,2.38579648850993,1e-10,4.58888888888889e-09,1.97875188705906e-09,2713,"tags=52%, list=18%, signal=43%","8061/1111/995/25837/990/9787/79019/2305/7298/9928/9735/1062/4001/81620/4751/9055/11065/8318/9768/1033/5557/23397/9700/983/3148/39/10592/890/6790/4174/3833/701/51203/9493/6240/4188/5902/3178/5985/2122/10051/3835/3978/6428/10371/2146/3146/7083/1104/1719/84986/10541/11340/2091/10189/7913",NA
"EGUCHI_CELL_CYCLE_RB1_TARGETS","EGUCHI_CELL_CYCLE_RB1_TARGETS",22,0.813362694967577,2.3512506134216,1.63736858102991e-07,3.75685124425196e-06,1.61997308476207e-06,2193,"tags=91%, list=15%, signal=78%","995/10403/81930/1062/4751/3148/10592/55143/890/4174/1894/3832/4175/9134/4172/10051/2237/4171/699/10112",0.690132458796796
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP","CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP",127,0.578680456098413,2.33904611356164,1e-10,4.58888888888889e-09,1.97875188705906e-09,1455,"tags=35%, list=10%, signal=32%","3604/1164/64151/990/54908/9787/79682/57082/891/376267/1062/332/4001/128239/9055/11065/8318/9768/7272/7163/10615/1033/23397/221150/4869/10797/55771/54478/57559/6790/701/259266/51203/115290/10763/22974/9133/51512/83990/580/10036/6241/10051/11230",NA
"HUMMERICH_SKIN_CANCER_PROGRESSION_UP","HUMMERICH_SKIN_CANCER_PROGRESSION_UP",77,0.625984968019024,2.31844400075374,1.91848269011283e-09,7.20303046378725e-08,3.10598283546892e-08,2688,"tags=52%, list=18%, signal=43%","3557/101/3162/344/960/4318/4609/4322/841/23765/4688/899/3566/3678/1992/4323/3934/9046/389/9610/6277/2023/1290/2353/4128/4070/80781/3726/1535/834/8651/7412/3688/5937/4616/4086/51330/1382/7132/29108",0.774939030136436
