"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17",175,-0.405245794756833,-1.72779889946905,2.87326425839726e-05,0.000359593375369112,0.00015505846563608,3526,"tags=42%, list=23%, signal=32%","1059/9616/207/9538/55486/26355/23568/1152/64960/25804/221143/83475/80273/64979/1460/10540/140823/11019/9791/4831/3145/573/669/51647/64963/8260/219927/54958/10273/54948/3396/51081/23265/4528/11124/8266/158/11331/29074/91689/6183/3295/81570/79073/2063/4729/10589/2950/9261/11344/51629/56910/10229/51069/3632/65993/51258/4712/27089/4713/126328/25813/4191/4726/4715/4706/6390/4722/5091/361/414919/64981/134147",0.575610261071129,"progesterone"
"SANDERSON_PPARA_TARGETS","SANDERSON_PPARA_TARGETS",14,-0.791610550948949,-2.04612284772367,3.78657485109251e-05,0.000434404281528113,0.000187317303302242,1688,"tags=64%, list=11%, signal=57%","1962/3295/3158/1666/2110/34/1376/1632/1375",0.557332238758646,"wy14643"
"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN","RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN",36,-0.629677558349278,-2.02971691575306,5.67761584278148e-05,0.000617067195544409,0.000266082467279217,3113,"tags=56%, list=21%, signal=44%","8398/1675/26994/28996/5997/5207/9249/3295/79191/7263/4594/364/210/5091/5348/4023/8991/57678/5827/6517",0.557332238758646,"troglitazone"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13",160,-0.396978393148626,-1.65770357758266,0.000182483834505561,0.00163838747066949,0.000706480888471926,2932,"tags=37%, list=19%, signal=30%","51596/65003/2287/140823/79042/55049/26521/83460/84299/11315/5191/79004/7818/84833/9364/9556/125988/10994/2987/2879/7001/4695/8214/25847/28958/29074/3460/7905/29103/6525/374882/138151/522/847/54539/9512/7385/51079/29796/55168/4698/5096/4711/4696/84311/514/4704/539/1329/10975/10573/4717/4714/1891/4720/5091/154791/2109/1066",0.518848077743792,"progesterone"
"DAIRKEE_CANCER_PRONE_RESPONSE_E2","DAIRKEE_CANCER_PRONE_RESPONSE_E2",28,-0.622285669062568,-1.92193182953809,0.000373370558665059,0.00301269289061759,0.00129908827317072,1036,"tags=36%, list=7%, signal=33%","7249/4712/7139/3419/3030/9172/6445/70/11155/5164",0.49849310876659,"estradiol"
"HUMMERICH_SKIN_CANCER_PROGRESSION_DN","HUMMERICH_SKIN_CANCER_PROGRESSION_DN",100,-0.415609013487461,-1.61308252126434,0.00104866969205364,0.0074672514278992,0.00321991623939225,2482,"tags=37%, list=16%, signal=31%","4608/36/10632/6342/667/27129/5296/2697/5802/1674/3590/2049/710/9551/4632/509/166/514/1829/1892/3032/1891/4059/5566/2548/5091/3913/51295/84274/718/721/8557/1384/4151/1632/2027/5837",0.45505986738723,"tpa"
"RUAN_RESPONSE_TO_TROGLITAZONE_UP","RUAN_RESPONSE_TO_TROGLITAZONE_UP",23,-0.640652378423659,-1.86496481167019,0.00137690457765694,0.00917196113826317,0.00395499561000813,2610,"tags=48%, list=17%, signal=40%","28996/9444/10114/9249/3295/9054/364/51/10580/729359/2180",0.45505986738723,"troglitazone"
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN","SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN",21,-0.582245143049909,-1.69070467426765,0.0082585524185839,0.0396602575450599,0.0171017018190513,2081,"tags=38%, list=14%, signal=33%","7709/54477/56904/8557/7069/2766/2027/2875",0.380730400722792,"tpa"
"WELCH_GATA1_TARGETS","WELCH_GATA1_TARGETS",20,-0.59415031876111,-1.68048504770749,0.00852818025100884,0.0404843499272029,0.0174570545843416,3712,"tags=65%, list=25%, signal=49%","3040/5498/212/7037/3145/6521/161882/2040/7389/7390/23456/210/286",0.380730400722792,"estradiol"
"KOBAYASHI_EGFR_SIGNALING_6HR_UP","KOBAYASHI_EGFR_SIGNALING_6HR_UP",7,-0.787888355410264,-1.73043095923671,0.00878510198272537,0.0412300808961997,0.0177786175155588,1088,"tags=43%, list=7%, signal=40%","23177/54800/25840",0.380730400722792,"cl-387785"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN",130,-0.348848831274876,-1.43572542059451,0.0181976728150108,0.071577513072376,0.030864582362388,2482,"tags=26%, list=16%, signal=22%","4608/6863/7283/5130/2801/7709/5434/5886/10297/2052/3029/208/4248/3636/3671/4717/343/5602/210/1489/5774/1414/10290/1339/3033/1384/4902/5208/3667/3757/6442/5213/1158/147",0.352487857583619,"carmustine"
"YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP","YAO_HOXA10_TARGETS_VIA_PROGESTERONE_UP",76,-0.370546072290055,-1.40344730876782,0.0238738708148681,0.0880348986298262,0.0379610894943679,2440,"tags=32%, list=16%, signal=27%","4681/4199/5295/6926/23371/1628/8436/79447/26993/3908/376497/3164/687/358/1028/2621/5168/57447/3418/7069/1397/11185/7148/477",0.352487857583619,"progesterone"
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN","BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN",28,-0.465680440955687,-1.43825594314961,0.0417213620492135,0.138959052631654,0.0599198399169353,1619,"tags=29%, list=11%, signal=26%","2052/3636/343/513/70/4902/3667/147",0.321775918075361,"carmustine"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_0","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_0",69,-0.36702628529258,-1.36138095468862,0.0485606524789884,0.153095797510093,0.0660156751577525,3186,"tags=41%, list=21%, signal=32%","23452/6095/664/80760/3914/9975/23433/83719/1628/57146/23710/81631/153222/7008/2052/11152/9572/57104/316/27244/54800/5168/3977/3983/211/6253/8722/477",0.321775918075361,"progesterone"
"KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN","KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN",7,-0.688025975747134,-1.51110425863818,0.0576923076923077,0.167795232936078,0.0723541453827121,4716,"tags=100%, list=31%, signal=69%","9725/23196/9442/3077/2931/8801/29763",0.261663521711573,"tsa"
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA","DAIRKEE_CANCER_PRONE_RESPONSE_BPA",44,-0.409158452727563,-1.38204386136128,0.0591966173361522,0.169779187221048,0.0732096364133902,2280,"tags=32%, list=15%, signal=27%","5295/2475/7248/5860/10131/4708/3636/7134/2065/6389/2806/6652/1339/1158",0.271288554688953,"a"
"RUAN_RESPONSE_TO_TROGLITAZONE_DN","RUAN_RESPONSE_TO_TROGLITAZONE_DN",13,-0.611085614830786,-1.54196708473446,0.0678086034317036,0.187601870407482,0.0808948667254606,3113,"tags=46%, list=21%, signal=37%","8398/5997/79191/7263/8991/7069",0.287805130535564,"troglitazone"
"LEE_LIVER_CANCER_DENA_DN","LEE_LIVER_CANCER_DENA_DN",60,-0.363498779922223,-1.30239389946735,0.0776892430278884,0.20412422087372,0.0880193870516949,1214,"tags=22%, list=8%, signal=20%","5625/5825/51/2639/8800/5264/6097/8991/57447/10165/1376/2180/2053",0.227987202850442,"(dena)"
"MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_5","MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_5",20,-0.485961641521422,-1.37448596179999,0.111578947368421,0.269485995690982,0.116203711927014,2289,"tags=35%, list=15%, signal=30%","4199/132/3632/55466/8614/6609/35",0.193813302725311,"sulindac"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","KIM_GASTRIC_CANCER_CHEMOSENSITIVITY",77,-0.327092434518184,-1.24353400558879,0.116,0.27376,0.118046684005123,2680,"tags=30%, list=18%, signal=25%","5428/23030/7867/23357/26229/7866/29937/4209/80222/6449/91754/1674/50717/51222/65010/8890/51754/7374/11309/11194/4660/26548/5364",0.184706471207739,"cisplatin"
"LI_ADIPOGENESIS_BY_ACTIVATED_PPARG","LI_ADIPOGENESIS_BY_ACTIVATED_PPARG",18,-0.496830945398515,-1.3597489949483,0.117647058823529,0.274509803921569,0.118370003213902,3065,"tags=33%, list=20%, signal=27%","1675/10062/183/3991/5091/2180",0.184706471207739,"tzd"
"MOREIRA_RESPONSE_TO_TSA_DN","MOREIRA_RESPONSE_TO_TSA_DN",16,-0.498494216311295,-1.32716414360366,0.136363636363636,0.299564796905222,0.129173841756757,827,"tags=25%, list=5%, signal=24%","5915/249/954/4967",0.181383128498408,"tsa"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN","CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN",339,-0.249172692816396,-1.13396464241831,0.146586345381526,0.312062683724589,0.134562993189024,2498,"tags=22%, list=17%, signal=18%","83861/4781/4681/55890/367/79671/8313/9749/124936/169693/23731/7474/4774/7049/9217/93517/4286/154043/83451/23242/64788/22883/144165/9374/90362/90864/23095/55561/54869/2969/583/23341/6196/26137/23261/79191/5934/1525/55650/5493/80150/11145/22853/6443/64689/1629/29970/117177/124540/55466/57107/54463/670/2330/1829/316/4008/388135/285343/54681/64146/9053/783/341640/254295/127733/55902/115/10749/10449/5563/4324/4634",0.163180127180689,"e2"
"MCDOWELL_ACUTE_LUNG_INJURY_DN","MCDOWELL_ACUTE_LUNG_INJURY_DN",43,-0.35796396924744,-1.22577511827954,0.169354838709677,0.342408175069893,0.147648121139855,2323,"tags=30%, list=15%, signal=26%","124/23462/1012/4784/9351/2246/8425/3993/10462/211/9659/55504/4137",0.151148761385484,"sulfate"
"MASSARWEH_TAMOXIFEN_RESISTANCE_DN","MASSARWEH_TAMOXIFEN_RESISTANCE_DN",209,-0.256054495028429,-1.12017504443168,0.173076923076923,0.346994025392084,0.149625562781725,2667,"tags=26%, list=18%, signal=22%","23030/6478/7003/3487/221656/53834/10534/90956/267/7138/9727/5295/120/26001/55638/51015/1952/10265/1287/22882/6256/170689/9215/80339/23250/3176/5618/79191/7263/91272/1154/2309/1363/18/2674/900/744/55806/2644/7164/341640/115/55686/9886/221662/152926/4137/3667/3547/164832/440503/3760/51537/1949",0.14551614609036,"tamoxifen"
"KOBAYASHI_EGFR_SIGNALING_24HR_UP","KOBAYASHI_EGFR_SIGNALING_24HR_UP",79,-0.305123058537876,-1.17156829704768,0.186440677966102,0.366666666666667,0.158108504292855,1619,"tags=22%, list=11%, signal=19%","2052/54985/57326/5493/23177/1363/54800/4059/115/10529/1806/4329/8991/57658/113791/25840/2180",0.147331213699377,"cl-387785"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_8","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_8",45,-0.342674743320219,-1.19009842215544,0.191268191268191,0.37425649034522,0.161381274301025,1409,"tags=22%, list=9%, signal=20%","28232/509/900/4008/25953/249/8395/56172/7704/84525",0.143758989039275,"progesterone"
"MCCLUNG_COCAINE_REWARD_5D","MCCLUNG_COCAINE_REWARD_5D",71,-0.309494175526416,-1.15824961835764,0.193018480492813,0.37425649034522,0.161381274301025,2988,"tags=30%, list=20%, signal=24%","10382/6844/5819/6595/89781/6855/6397/7102/134/55294/5064/3728/757/482/22924/2803/55178/6391/5179/815/3751",0.142056643575821,"cocaine"
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR","HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR",37,-0.365707246508559,-1.20136357856549,0.194,0.374401869158879,0.161443962374071,4164,"tags=43%, list=28%, signal=31%","7376/29058/57035/1856/8829/7450/23635/23545/940/51554/7316/644096/3759/10449/3004/5213",0.139599673451922,"etoposide"
"GERHOLD_RESPONSE_TO_TZD_DN","GERHOLD_RESPONSE_TO_TZD_DN",13,-0.501770073663632,-1.26612854061105,0.197033898305085,0.378488372093023,0.163206082919633,3065,"tags=38%, list=20%, signal=31%","1675/1410/183/975/2690",0.142901149386948,"ad-5075"
"KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN","KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN",39,-0.359448642908687,-1.18442954376192,0.218556701030928,0.402963917525773,0.173760060774516,2997,"tags=33%, list=20%, signal=27%","2319/1410/9445/1183/6478/1676/4947/25970/23037/7374/1160/135293/622",0.132846300606183,"peroxyde"
"COLDREN_GEFITINIB_RESISTANCE_UP","COLDREN_GEFITINIB_RESISTANCE_UP",80,-0.303150624562845,-1.12601508380203,0.228744939271255,0.418016194331984,0.180250677970967,2549,"tags=24%, list=17%, signal=20%","29780/150465/8439/55312/8260/92609/9040/6832/1000/79591/1355/83856/5160/5442/56652/219/10105/55244/2805",0.128142916898415,"gefitinib"
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2","DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2",108,-0.276161638836341,-1.10564431157565,0.242971887550201,0.433402136959689,0.186885173541882,939,"tags=13%, list=6%, signal=12%","7168/5569/4722/7273/518/10449/26548/9099/79885/79041/5224/146862/283807/6442",0.123257226381337,"a"
"DOANE_RESPONSE_TO_ANDROGEN_UP","DOANE_RESPONSE_TO_ANDROGEN_UP",146,-0.268003610688877,-1.10241277835453,0.243460764587525,0.433402136959689,0.186885173541882,1423,"tags=16%, list=9%, signal=15%","54970/92579/9145/9513/51237/208/2330/51754/9472/10681/4059/55268/64087/6640/6652/7704/65018/5834/400451/4137/2021/8659/5864/5164",0.123257226381337,"r1881"
"BRACHAT_RESPONSE_TO_METHOTREXATE_UP","BRACHAT_RESPONSE_TO_METHOTREXATE_UP",21,-0.410042997010843,-1.1906696345555,0.251497005988024,0.441992610523634,0.190589428795598,1581,"tags=24%, list=10%, signal=21%","10140/900/3983/79442/23175",0.120433371642259,"methotrexate"
"DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN","DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN",89,-0.289079564358508,-1.10165912921086,0.273453093812375,0.46086402040491,0.198726875314396,2730,"tags=27%, list=18%, signal=22%","9891/55625/80303/23554/83716/57669/83719/619279/2202/153222/255488/29103/2034/4311/4008/57167/54800/27124/10449/2066/6445/2258/3694/2888",0.114750719227023,"estradiol"
"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP","BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP",25,-0.380149574312392,-1.12097558947838,0.294736842105263,0.481578969931323,0.207659265367459,1610,"tags=24%, list=11%, signal=21%","715/10140/8408/900/79442/23175",0.11331290842208,"camptothecin"
"HUMMERICH_BENIGN_SKIN_TUMOR_DN","HUMMERICH_BENIGN_SKIN_TUMOR_DN",16,-0.42428712012419,-1.12959916884983,0.311363636363636,0.504856838132743,0.217696798797785,340,"tags=12%, list=2%, signal=12%","1339/1158",0.114750719227023,"tpa"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_12","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_12",75,-0.284925904389703,-1.07254756783698,0.311715481171548,0.504856838132743,0.217696798797785,1802,"tags=23%, list=12%, signal=20%","55699/2222/118429/3028/29085/217/2768/192286/50626/56994/1666/10667/6271/5091/373156/5019/3418",0.109250039480711,"progesterone"
"MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7","MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7",11,-0.451602860670568,-1.11605278930512,0.316081330868762,0.50617397432362,0.218264754524393,71,"tags=9%, list=0%, signal=9%","5730",0.100633389423036,"sulindac"
"WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH","WEIGEL_OXIDATIVE_STRESS_BY_HNE_AND_TBH",56,-0.29779260989166,-1.08367905741379,0.32016632016632,0.509392789373814,0.219652723705797,1725,"tags=16%, list=11%, signal=14%","1191/6257/1028/1363/5915/6271/10922/2066/8991",0.107140237276725,"tbh"
"KOBAYASHI_RESPONSE_TO_ROMIDEPSIN","KOBAYASHI_RESPONSE_TO_ROMIDEPSIN",16,-0.411125599499488,-1.09455864545588,0.352272727272727,0.542868046132972,0.234087422188551,2019,"tags=31%, list=13%, signal=27%","55975/51277/379/117177/23175",0.106729884364606,"(fk228)"
"BILANGES_RAPAMYCIN_SENSITIVE_GENES","BILANGES_RAPAMYCIN_SENSITIVE_GENES",36,-0.335074235176897,-1.08008588547206,0.365344467640919,0.552269570613789,0.238141406662372,2484,"tags=22%, list=16%, signal=19%","10268/60625/5546/140707/283927/2180/125058/151742",0.0992333343771191,"(sirolimus)"
"STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA","STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA",17,-0.390817616522737,-1.06674336679452,0.37782340862423,0.565366187542779,0.24378873351857,2648,"tags=35%, list=18%, signal=29%","6478/3487/5979/18/115/2274",0.096240602328129,"estradiol"
"BRACHAT_RESPONSE_TO_CISPLATIN","BRACHAT_RESPONSE_TO_CISPLATIN",21,-0.364198800031451,-1.05754873342595,0.3812375249501,0.566370855411479,0.244221951338655,2386,"tags=33%, list=16%, signal=28%","83719/51015/9249/10140/900/3983/23175",0.0940503465727813,"cisplatin"
"RIGGINS_TAMOXIFEN_RESISTANCE_UP","RIGGINS_TAMOXIFEN_RESISTANCE_UP",62,-0.293956722372272,-1.05731653141403,0.380761523046092,0.566370855411479,0.244221951338655,2556,"tags=32%, list=17%, signal=27%","573/5217/5979/8406/7049/4038/1952/23092/2626/9754/3158/5625/23043/8869/7168/4259/720/2109/2104/131578",0.0943563635421779,"4-hydroxytamoxifen"
"MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN","MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN",38,-0.315633856727327,-1.04093717702609,0.382642998027613,0.566421355503241,0.244243727231315,3665,"tags=34%, list=24%, signal=26%","203523/23788/28964/51097/54623/23189/1638/4892/400961/7392/2621/4548/4967",0.0931454575337804,"tsa"
"HAEGERSTRAND_RESPONSE_TO_IMATINIB","HAEGERSTRAND_RESPONSE_TO_IMATINIB",9,-0.454834942037095,-1.05186054057249,0.394250513347023,0.581519507186858,0.250754125904815,3427,"tags=33%, list=23%, signal=26%","8516/5737/5348",0.0937465422491719,"imatinib"
"AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53","AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53",98,-0.262583307911816,-1.02946612003225,0.397205588822355,0.583793267557412,0.25173458277202,2302,"tags=23%, list=15%, signal=20%","56288/120/3795/8702/79575/1952/1857/5064/2767/3993/23295/54463/4756/10667/8913/7869/10529/10486/317762/3300/2180/58528/32",0.0916795246008379,"flavopiridol"
"MILI_PSEUDOPODIA","MILI_PSEUDOPODIA",46,-0.305701693631475,-1.03692043151779,0.406438631790744,0.593141890210521,0.255765755712606,4081,"tags=46%, list=27%, signal=33%","56947/648/50511/27336/8500/1059/8816/127703/894/221527/5609/23022/23034/493753/8502/25959/900/10749/140735/114907/58476",0.0908241419007155,"lpa"
"WILLIAMS_ESR1_TARGETS_DN","WILLIAMS_ESR1_TARGETS_DN",6,-0.523301970821078,-1.0592511317401,0.427165354330709,0.61901505732836,0.266922395042571,259,"tags=17%, list=2%, signal=16%","1543",0.086794975677172,"(e2)"
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP","BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP",9,-0.438012011746101,-1.012955489719,0.429158110882957,0.619728320960354,0.267229957895356,2950,"tags=44%, list=20%, signal=36%","2339/1842/6602/6610",0.088894528862045,"carmustine"
"KANG_CISPLATIN_RESISTANCE_DN","KANG_CISPLATIN_RESISTANCE_DN",7,-0.468320483307095,-1.02856738216078,0.430769230769231,0.619887429643527,0.267298566356946,3520,"tags=43%, list=23%, signal=33%","56255/10512/140461",0.0850427463764322,"cisplatin"
"ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN","ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN",64,-0.276009527938131,-1.01003635196812,0.43578947368421,0.624934210526316,0.269474763566596,3501,"tags=34%, list=23%, signal=27%","56951/29997/1939/5527/285672/79096/60686/5608/4781/9759/10040/3396/23392/23640/57570/11165/8801/79701/5188/4717/23229/28992",0.0894366833718621,"tsa"
"ELVIDGE_HYPOXIA_BY_DMOG_DN","ELVIDGE_HYPOXIA_BY_DMOG_DN",57,-0.279755159744987,-0.992841665853741,0.44327731092437,0.633472420109912,0.273156482330054,3318,"tags=30%, list=22%, signal=23%","9673/9289/84619/8775/11332/23545/5979/134/22845/28232/316/4726/57103/8884/55084/3419/8659",0.0883594442500905,"dmog"
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_UP","HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_UP",25,-0.336604669037648,-0.992571458163944,0.452631578947368,0.644609800362976,0.277958976512471,1751,"tags=20%, list=12%, signal=18%","5495/863/81606/171586/3780",0.0873098257637931,"vincristine"
