"drug_name","mean_NES","best_padj","n_sets","example_set"
"wy14643",-2.04612284772367,0.000434404281528113,1,"SANDERSON_PPARA_TARGETS"
"troglitazone",-1.81221627071924,0.000617067195544409,3,"RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN"
"cl-387785",-1.45099962814219,0.0412300808961997,2,"KOBAYASHI_EGFR_SIGNALING_6HR_UP"
"tzd",-1.3597489949483,0.274509803921569,1,"LI_ADIPOGENESIS_BY_ACTIVATED_PPARG"
"tpa",-1.35349480846609,0.0074672514278992,4,"HUMMERICH_SKIN_CANCER_PROGRESSION_DN"
"(dena)",-1.30239389946735,0.20412422087372,1,"LEE_LIVER_CANCER_DENA_DN"
"ad-5075",-1.26612854061105,0.378488372093023,1,"GERHOLD_RESPONSE_TO_TZD_DN"
"estradiol",-1.24589193756636,0.00301269289061759,6,"DAIRKEE_CANCER_PRONE_RESPONSE_E2"
"a",-1.24384408646847,0.169779187221048,2,"DAIRKEE_CANCER_PRONE_RESPONSE_BPA"
"sulfate",-1.22577511827954,0.342408175069893,1,"MCDOWELL_ACUTE_LUNG_INJURY_DN"
"etoposide",-1.20136357856549,0.374401869158879,1,"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR"
"peroxyde",-1.18442954376192,0.402963917525773,1,"KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN"
"cocaine",-1.15824961835764,0.37425649034522,1,"MCCLUNG_COCAINE_REWARD_5D"
"progesterone",-1.14864155304815,0.000359593375369112,11,"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17"
"e2",-1.13396464241831,0.312062683724589,1,"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN"
"gefitinib",-1.12601508380203,0.418016194331984,1,"COLDREN_GEFITINIB_RESISTANCE_UP"
"camptothecin",-1.12097558947838,0.481578969931323,1,"BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP"
"r1881",-1.10241277835453,0.433402136959689,1,"DOANE_RESPONSE_TO_ANDROGEN_UP"
"(fk228)",-1.09455864545588,0.542868046132972,1,"KOBAYASHI_RESPONSE_TO_ROMIDEPSIN"
