"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.51680770126459e-148,0.764963686780153,1,0.991,3.45155008151426e-144,"0","RPS12"
1.55386199311001e-145,0.646173577823814,0.999,0.995,2.13096633735106e-141,"0","RPL32"
4.85827006609251e-143,0.703955774854886,1,0.995,6.66263156863927e-139,"0","RPS6"
7.58070739971208e-141,0.750496920209321,0.999,0.991,1.03961821279651e-136,"0","RPS27"
2.18275675586249e-137,0.662160346004968,1,0.994,2.99343261498981e-133,"0","RPS14"
2.85019311143819e-129,0.820853304079873,0.999,0.962,3.90875483302633e-125,"0","RPL31"
6.11926083148594e-124,0.786386624256434,0.999,0.974,8.39195430429982e-120,"0","RPS25"
4.68319368585077e-120,1.26380980351622,0.923,0.576,6.42253182077575e-116,"0","LDHB"
6.83959855789384e-115,0.563878834268408,1,0.996,9.37982546229562e-111,"0","RPL13"
2.85993590445675e-114,0.632016970467119,0.997,0.995,3.92211609937199e-110,"0","RPL3"
1.06511263147197e-112,0.614313853344489,1,0.994,1.46069546280066e-108,"0","RPS3"
2.03579071889824e-111,0.677290660872051,0.997,0.982,2.79188339189705e-107,"0","RPS15A"
5.27972637351393e-111,0.754652392470272,0.997,0.97,7.240616748637e-107,"0","RPL9"
1.28429757404061e-109,0.806249072970997,0.999,0.973,1.76128569303929e-105,"0","RPS3A"
1.50736423744852e-108,0.686104882353887,1,0.979,2.0671993152369e-104,"0","RPL30"
3.42826842130607e-106,0.678079247954447,0.997,0.991,4.70152731297914e-102,"0","RPL21"
3.97629560931972e-104,0.614998428311726,1,0.989,5.45309179862107e-100,"0","RPLP2"
2.10124598196541e-102,0.743116750116465,0.99,0.959,2.88164873966736e-98,"0","RPS13"
7.46730167779504e-101,0.766276509499183,0.996,0.965,1.02406575209281e-96,"0","RPS27A"
1.5332523721493e-99,0.551085470610792,0.994,0.99,2.10270230316555e-95,"0","EEF1A1"
5.56310037996993e-95,0.533831374258627,1,0.996,7.62923586109077e-91,"0","RPS18"
1.3249168759804e-94,0.487535255514336,1,0.995,1.81699100371952e-90,"0","RPL11"
5.67849421997087e-92,2.44995067631783,0.452,0.099,7.78748697326804e-88,"0","CCR7"
6.16218255495424e-92,0.556951672528573,1,0.987,8.45081715586424e-88,"0","RPL27A"
1.16116246363716e-89,0.594017828679424,0.999,0.98,1.592418202632e-85,"0","RPL35A"
2.07209114340449e-89,0.591889797735081,1,0.976,2.84166579406492e-85,"0","RPS23"
4.18811993008218e-89,0.792553452685076,0.993,0.9,5.74358767211471e-85,"0","RPS29"
2.21881727032297e-87,0.473988996916538,1,0.999,3.04288600452092e-83,"0","RPL13A"
1.01679604267603e-86,0.646712354989323,0.994,0.966,1.39443409292591e-82,"0","RPS28"
3.53864816446366e-83,0.599965302103217,0.997,0.981,4.85290209274547e-79,"0","TPT1"
2.5356590851399e-82,1.13672401978055,0.857,0.389,3.47740286936086e-78,"0","CD3D"
6.13826905847519e-82,0.694493619821228,0.991,0.939,8.41802218679287e-78,"0","RPS20"
1.32833727309736e-81,0.623017846944559,1,0.999,1.82168173632572e-77,"0","MALAT1"
1.35104316724348e-81,0.574803312714828,0.996,0.981,1.8528205995577e-77,"0","RPS16"
1.71348650759415e-81,0.527218643318414,0.997,0.991,2.34987539651462e-77,"0","RPS4X"
5.88195607688507e-81,0.549956505015644,1,0.988,8.06651456384019e-77,"0","RPL23A"
8.54894894633533e-78,0.632152341356402,0.991,0.966,1.17240285850043e-73,"0","RPL5"
5.80692011490117e-76,0.415146113791424,0.999,0.993,7.96361024557547e-72,"0","RPL19"
3.89319319653238e-73,0.576712100794872,0.991,0.985,5.33912514972451e-69,"0","RPL10A"
1.21057152985003e-72,0.620424791410611,0.993,0.945,1.66017779603633e-68,"0","RPSA"
4.82146607906758e-72,0.365791033286876,1,0.997,6.61215858083328e-68,"0","RPL10"
9.26464731320599e-67,0.545304800314812,0.991,0.973,1.27055373253307e-62,"0","RPS5"
8.15050004876033e-66,0.840272022573478,0.931,0.787,1.11775957668699e-61,"0","NPM1"
9.61726316587467e-66,0.452372486378654,0.997,0.984,1.31891147056805e-61,"0","RPL14"
1.62227080744884e-64,0.550129095350004,0.994,0.966,2.22478218533534e-60,"0","RPS10"
1.07946787126958e-60,2.31389129524902,0.355,0.091,1.4803822386591e-56,"0","LEF1"
6.67029878013056e-59,1.31721661076779,0.653,0.338,9.14764774707105e-55,"0","NOSIP"
1.19920382663748e-58,0.570555800375643,0.993,0.945,1.64458812785064e-54,"0","RPL36"
2.56828966834254e-58,0.418022762600348,1,0.988,3.52215245116495e-54,"0","RPS15"
2.94501922621499e-57,0.479332393436674,0.999,0.978,4.03879936683124e-53,"0","RPL18"
2.89441652583338e-56,0.549075473029532,0.991,0.935,3.96940282352789e-52,"0","RPLP0"
2.05795140925444e-54,0.629087460342879,0.972,0.88,2.82227456265154e-50,"0","RPL36A"
2.32320402042269e-54,0.364192603460054,1,0.995,3.18604199360767e-50,"0","RPS2"
1.48209236800619e-53,1.01577127274514,0.732,0.386,2.03254147348369e-49,"0","CD3E"
6.18335216189593e-53,0.550929465858748,0.993,0.955,8.47984915482407e-49,"0","RPL4"
2.1953599131847e-52,0.594921666576395,0.985,0.963,3.01071658494149e-48,"0","RPL7"
3.87369850074411e-50,2.08497431779834,0.344,0.102,5.31239012392048e-46,"0","PRKCQ-AS1"
6.63394547562008e-50,0.741625976798331,0.92,0.767,9.09779282526537e-46,"0","RPL22"
1.83369001362324e-49,0.329315176270922,0.999,0.992,2.51472248468291e-45,"0","RPL18A"
2.28428307008771e-48,0.772649507546304,0.927,0.895,3.13266580231828e-44,"0","JUNB"
2.43489826682888e-48,0.597235138432536,0.949,0.861,3.33921948312913e-44,"0","EEF1B2"
3.72975512587003e-48,0.440938315826879,0.997,0.984,5.11498617961816e-44,"0","RPS8"
3.89036438602303e-46,1.52309797072807,0.447,0.177,5.33524571899198e-42,"0","PIK3IP1"
4.69118510670778e-46,0.667647631300851,0.952,0.851,6.43349125533904e-42,"0","BTG1"
3.01004585364737e-45,0.560920342026472,0.97,0.892,4.127976883692e-41,"0","RPS26"
4.90340282354129e-45,0.838525483265355,0.857,0.686,6.72452663220453e-41,"0","TMEM66"
7.79227668972217e-45,1.01637520870534,0.59,0.28,1.0686328252285e-40,"0","CD7"
1.58203911905992e-44,0.663669022003435,0.927,0.793,2.16960844787878e-40,"0","GLTSCR2"
7.23455719349969e-44,0.357871738601918,0.999,0.991,9.92147173516547e-40,"0","RPS19"
7.1025526137869e-43,0.458549743759527,0.982,0.954,9.74044065454736e-39,"0","RPL17"
1.9256371186367e-40,2.10100914921323,0.274,0.077,2.64081874449837e-36,"0","MAL"
3.00151726509682e-40,0.460014569535825,0.99,0.938,4.11628077735378e-36,"0","RPL24"
3.17640458606662e-39,1.43313708410429,0.396,0.162,4.35612124933176e-35,"0","TCF7"
4.63664936605565e-39,0.55234284855732,0.963,0.864,6.35870094060872e-35,"0","RPL38"
5.39465417634055e-39,1.09709804234823,0.423,0.168,7.39822873743342e-35,"0","CD27"
4.43429891201602e-37,0.308378618640683,1,0.989,6.08119752793877e-33,"0","RPL12"
1.02137291012976e-36,0.536545062625319,0.942,0.834,1.40071080895196e-32,"0","RPS21"
2.1453348228706e-36,0.459773831613386,0.988,0.94,2.94211217608474e-32,"0","RPL37"
3.82340269499017e-36,0.894196788986637,0.607,0.319,5.24341445590952e-32,"0","IL7R"
8.74787918414057e-36,0.394576844851098,0.997,0.961,1.19968415131304e-31,"0","RPL35"
5.04344126487765e-35,0.307225024502591,0.999,0.996,6.91657535065321e-31,"0","RPLP1"
7.85973111696683e-35,0.64294576666453,0.864,0.682,1.07788352538083e-30,"0","RPSAP58"
2.41966112708426e-34,0.991783218354703,0.702,0.476,3.31832326968335e-30,"0","C6orf48"
6.54874555872359e-34,0.411771479068393,0.99,0.941,8.98094965923353e-30,"0","RPL37A"
1.46429994164294e-31,0.39914579315116,0.984,0.947,2.00814093996913e-27,"0","RPL27"
3.16820583798942e-31,0.364197889698035,0.988,0.973,4.34487748621869e-27,"0","RPL7A"
1.69546306209514e-30,0.484912045802272,0.946,0.863,2.32515804335727e-26,"0","RPS4Y1"
1.80787191710066e-30,0.311022233549981,0.997,0.995,2.47931554711184e-26,"0","RPL15"
4.13085219206883e-30,0.427387543399164,0.909,0.622,5.66505069620319e-26,"0","LTB"
6.11199390020114e-30,0.310815627719641,0.997,0.993,8.38198843473584e-26,"0","RPL6"
2.78077937995738e-29,0.608977087487876,0.933,0.898,3.81356084167355e-25,"0","RPL34"
3.63419400943688e-29,1.19379746949046,0.413,0.202,4.98393366454174e-25,"0","LEPROTL1"
1.56706488191855e-28,0.738723816684144,0.665,0.421,2.1490727790631e-24,"0","AES"
9.69324566124647e-26,1.20044384413652,0.446,0.242,1.32933170998334e-21,"0","C12orf57"
6.68830195629012e-24,1.1921137140784,0.425,0.229,9.17233730285626e-20,"0","GIMAP5"
6.8279128654608e-24,1.09086873132965,0.367,0.178,9.36379970369294e-20,"0","RGCC"
2.31021105312316e-23,0.813067945452832,0.519,0.297,3.1682234382531e-19,"0","LCK"
6.37959153050936e-23,0.255421409266066,0.997,0.982,8.74897182494053e-19,"0","RPL29"
1.47671132380049e-22,0.767903798212191,0.559,0.37,2.02516190945999e-18,"0","TMEM123"
2.01582011494622e-22,1.08216740173587,0.458,0.273,2.76449570563725e-18,"0","NDFIP1"
4.15065689277483e-22,0.28783668195356,0.997,0.986,5.6922108627514e-18,"0","RPS7"
6.48339076731098e-22,1.00217209974424,0.419,0.235,8.89132209829028e-18,"0","GYPC"
5.08619351093403e-21,0.506999379291936,0.61,0.413,6.97520578089493e-17,"0","SELL"
8.24721182588097e-21,0.500073430997449,0.851,0.744,1.13102262980132e-16,"0","TOMM7"
2.28085386220484e-20,0.927769717700824,0.344,0.17,3.12796298662772e-16,"0","CD3G"
2.92673010613639e-20,0.278101737458898,0.999,0.985,4.01371766755544e-16,"0","RPS9"
3.43851161184829e-20,1.41300206813213,0.273,0.127,4.71557482448874e-16,"0","FLT3LG"
5.13974654675545e-19,0.330796019068297,0.963,0.914,7.04864841422042e-15,"0","HNRNPA1"
1.59857626718866e-18,0.538083319322934,0.747,0.593,2.19228749282253e-14,"0","HINT1"
3.23812184219304e-18,1.14089928263945,0.271,0.129,4.44076029438353e-14,"0","TRAT1"
4.52795338776124e-18,0.589413009116815,0.754,0.591,6.20963527597577e-14,"0","EIF4A2"
5.99956322168719e-18,0.69910498421162,0.534,0.363,8.22780100222181e-14,"0","RGS10"
6.51426781773961e-17,1.01317516482767,0.362,0.203,8.9336668852481e-13,"0","RHOH"
7.1712452422855e-17,0.596357463663326,0.656,0.479,9.83464572527034e-13,"0","EVL"
3.69202527754269e-16,0.343111127684301,0.909,0.835,5.06324346562204e-12,"0","RPL23"
4.34941731993029e-16,0.260014184208738,0.991,0.976,5.9647909125524e-12,"0","GNB2L1"
8.0134139552068e-16,0.527582369640973,0.751,0.608,1.09895958981706e-11,"0","ZFP36L2"
4.58044787320091e-15,0.925250538717585,0.393,0.248,6.28162621330772e-11,"0","DNAJB1"
1.55813852240268e-14,0.757839291367817,0.499,0.355,2.13683116962303e-10,"0","ST13"
2.31064047361721e-14,0.816787225152468,0.349,0.209,3.16881234551864e-10,"0","SLC2A3"
3.61118569203395e-14,0.779646607077827,0.325,0.183,4.95238005805536e-10,"0","OCIAD2"
6.63810480914882e-14,0.751951951712224,0.387,0.246,9.10349693526669e-10,"0","PRDX2"
1.53438951795948e-13,0.739264986048585,0.568,0.44,2.10426178492963e-09,"0","TRAF3IP3"
3.25573897342627e-13,0.586961203511277,0.429,0.269,4.46492042815679e-09,"0","CD2"
3.45432866558178e-13,0.860258781455153,0.25,0.13,4.73726633197885e-09,"0","AQP3"
6.34317501221825e-13,0.482537189596784,0.69,0.564,8.69903021175611e-09,"0","COMMD6"
6.8749649576231e-13,0.276128756032798,0.969,0.964,9.42832694288433e-09,"0","EEF1D"
1.3541876992476e-12,0.637585969648145,0.461,0.327,1.85713301074816e-08,"0","FYB"
1.65597115490475e-12,0.574914132358753,0.605,0.471,2.27099884183637e-08,"0","SOD1"
3.61932418256502e-12,0.54900664129655,0.48,0.336,4.96354118396967e-08,"0","PEBP1"
3.63245522353109e-12,0.745312698540392,0.31,0.18,4.98154909355053e-08,"0","LAT"
5.47043557217462e-12,0.316412247683633,0.802,0.701,7.50215534368028e-08,"0","SRSF5"
1.01433345161886e-11,0.365187780558144,0.633,0.495,1.39105689555011e-07,"0","GIMAP7"
1.05802022924542e-11,0.271204415914115,0.984,0.967,1.45096894238716e-07,"0","NACA"
1.12194735274344e-11,0.323687194724797,0.706,0.553,1.53863859955236e-07,"0","CXCR4"
1.42771077388423e-11,0.348310061294358,0.894,0.843,1.95796255530483e-07,"0","PABPC1"
1.67856713660724e-11,0.69834255952195,0.398,0.272,2.30198697114316e-07,"0","PPA1"
