"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.67849421997087e-92,2.44995067631783,0.452,0.099,7.78748697326804e-88,"0","CCR7"
1.07946787126958e-60,2.31389129524902,0.355,0.091,1.4803822386591e-56,"0","LEF1"
1.9256371186367e-40,2.10100914921323,0.274,0.077,2.64081874449837e-36,"0","MAL"
3.87369850074411e-50,2.08497431779834,0.344,0.102,5.31239012392048e-46,"0","PRKCQ-AS1"
3.89036438602303e-46,1.52309797072807,0.447,0.177,5.33524571899198e-42,"0","PIK3IP1"
7.12724824097242e-133,7.40136872786197,0.292,0.003,9.77430823766957e-129,"1","FOLR3"
4.32089183308711e-115,6.70818188415512,0.273,0.007,5.92567105989566e-111,"1","S100A12"
0,6.64322029362818,0.972,0.12,0,"1","S100A8"
0,6.18962191722122,0.996,0.213,0,"1","S100A9"
8.29168793002985e-289,5.98776704934289,0.671,0.027,1.13712208272429e-284,"1","CD14"
3.42982900119156e-54,2.17028911321291,0.425,0.112,4.70366749223411e-50,"2","AQP3"
4.88298883288252e-36,2.00989887877898,0.278,0.069,6.69653088541508e-32,"2","CD40LG"
2.66464992093304e-35,1.61709275830882,0.388,0.133,3.65430090156757e-31,"2","TRADD"
1.13820658736684e-23,1.56968713508548,0.307,0.109,1.56093651391488e-19,"2","OPTN"
1.36308163559287e-67,1.54609028720697,0.767,0.324,1.86933015505206e-63,"2","IL7R"
2.11077495432459e-186,5.08757542159072,0.558,0.041,2.89471677236074e-182,"3","GZMK"
1.40294894001046e-217,3.44610896822368,0.955,0.213,1.92400417633034e-213,"3","CCL5"
2.63454824010285e-71,3.41381160244767,0.364,0.06,3.61301945647705e-67,"3","GZMH"
4.63680525984719e-100,3.35440518222483,0.454,0.065,6.35891473335444e-96,"3","CD8A"
5.58264247300837e-90,3.025399825635,0.424,0.065,7.65603588748368e-86,"3","KLRG1"
1.45348337868208e-266,7.647206983965,0.559,0.007,1.99330710552461e-262,"4","LINC00926"
5.33099891140674e-237,7.25365076799931,0.495,0.005,7.3109319071032e-233,"4","VPREB3"
0,7.03629879615635,0.934,0.039,0,"4","CD79A"
1.29657470843205e-266,6.81346756351702,0.622,0.02,1.77812255514371e-262,"4","TCL1A"
9.22498192670487e-132,6.80916629595973,0.297,0.005,1.26511402142831e-127,"4","FCRLA"
3.16949657616728e-226,6.30242099678853,0.516,0.007,4.3466476045558e-222,"5","CDKN1C"
2.79621081728404e-167,6.13727744035238,0.371,0.004,3.83472351482334e-163,"5","CKB"
6.58398830020451e-213,5.15100558726632,0.597,0.018,9.02928155490046e-209,"5","HES4"
3.78582489775843e-98,4.94094143487251,0.289,0.01,5.19188026478591e-94,"5","BATF3"
8.16853660231713e-124,4.93808600950623,0.365,0.012,1.12023310964177e-119,"5","MS4A4A"
1.04370652693835e-188,6.43789192186029,0.493,0.011,1.43133913104325e-184,"6","AKR1C3"
1.98211347509659e-116,6.24875469053062,0.3,0.006,2.71827041974747e-112,"6","SH2D1B"
5.19652276530279e-262,6.06604004183433,0.986,0.068,7.12651132033625e-258,"6","GZMB"
5.62737817576524e-235,5.7869390699681,0.786,0.038,7.71738643024445e-231,"6","SPON2"
3.60378450988775e-177,5.70425932628171,0.964,0.13,4.94223007686006e-173,"6","GNLY"
2.33900281556977e-193,8.00262019591291,0.5,0.002,3.20770846127238e-189,"7","SERPINF1"
2.06130257827296e-198,7.64196630280861,0.821,0.012,2.82687035584353e-194,"7","FCER1A"
2.94386772963251e-123,6.95697277317657,0.321,0.002,4.03722020441802e-119,"7","CLIC2"
7.59145888722416e-133,6.35981356315054,0.464,0.005,1.04109267179392e-128,"7","ENHO"
1.96627272017532e-130,5.84166541255289,0.714,0.016,2.69654640844843e-126,"7","CLEC10A"
8.14467974436252e-300,14.2623292435691,0.538,0,1.11696138014188e-295,"8","LY6G6F"
5.16913841378275e-172,13.8345624240733,0.308,0,7.08895642066166e-168,"8","RP11-879F14.2"
5.12192607185961e-179,13.1119516398777,0.385,0,7.02420941494827e-175,"8","CLDN5"
0,12.8077510459751,0.923,0.001,0,"8","GP9"
0,12.4257366030068,0.846,0.001,0,"8","AP001189.4"
