"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","drug_name"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP",4,0.753392451561643,1.67652380820264,0.0291810823791181,0.422357771276709,0.422357771276709,25,"tags=50%, list=5%, signal=48%","440/350",0.352487857583619,"hernandez_mitotic_arrest_by_docetaxel_2_up"
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","KOBAYASHI_EGFR_SIGNALING_24HR_DN",10,0.488676076754909,1.66655914561567,0.0225010753726757,0.422357771276709,0.422357771276709,56,"tags=50%, list=11%, signal=45%","9319/79019/4830/990/5982",0.352487857583619,"kobayashi_egfr_signaling_24hr_dn"
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN","BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN",4,-0.849755734893535,-1.63277081514594,0.00291546019450067,0.214427909766484,0.214427909766484,11,"tags=50%, list=2%, signal=49%","55812/5166",0.431707695803346,"bhat_esr1_targets_not_via_akt1_dn"
"LEE_LIVER_CANCER_CIPROFIBRATE_UP","LEE_LIVER_CANCER_CIPROFIBRATE_UP",3,-0.895372233400402,-1.6029385196769,0.00603384550140302,0.285618417501511,0.285618417501511,56,"tags=100%, list=11%, signal=89%","5372/5166/224",0.407017918923954,"lee_liver_cancer_ciprofibrate_up"
"BHAT_ESR1_TARGETS_VIA_AKT1_DN","BHAT_ESR1_TARGETS_VIA_AKT1_DN",3,-0.89228078746203,-1.59740406418313,0.00623167456366934,0.285618417501511,0.285618417501511,11,"tags=67%, list=2%, signal=66%","55812/5166",0.407017918923954,"bhat_esr1_targets_via_akt1_dn"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13",5,0.620948437620913,1.55327902469592,0.0645430973958613,0.639110225763612,0.639110225763612,27,"tags=40%, list=5%, signal=38%","3956/5721",0.287805130535564,"yao_temporal_response_to_progesterone_cluster_13"
"KANG_DOXORUBICIN_RESISTANCE_UP","KANG_DOXORUBICIN_RESISTANCE_UP",2,0.905622489959839,1.5066481249563,0.0263606156248395,0.422357771276709,0.422357771276709,49,"tags=100%, list=10%, signal=91%","79019/990",0.352487857583619,"kang_doxorubicin_resistance_up"
"DARWICHE_SKIN_TUMOR_PROMOTER_UP","DARWICHE_SKIN_TUMOR_PROMOTER_UP",5,-0.719501826898595,-1.4844929605225,0.0332005312084993,0.456507304116866,0.456507304116866,74,"tags=60%, list=15%, signal=52%","5607/11345/6376",0.287857117255149,"darwiche_skin_tumor_promoter_up"
"MCDOWELL_ACUTE_LUNG_INJURY_DN","MCDOWELL_ACUTE_LUNG_INJURY_DN",2,-0.937208184168933,-1.4713360906363,0.00729267377238991,0.286497898201032,0.286497898201032,3,"tags=50%, list=1%, signal=50%","3993",0.407017918923954,"mcdowell_acute_lung_injury_dn"
"BLUM_RESPONSE_TO_SALIRASIB_UP","BLUM_RESPONSE_TO_SALIRASIB_UP",17,-0.520350881612011,-1.46055671185001,0.0413492927094668,0.494393717178408,0.494393717178408,128,"tags=53%, list=26%, signal=41%","4792/8621/5898/54700/2101/2734/9741/1983/10175",0.231126709673834,"blum_response_to_salirasib_up"
"FRASOR_RESPONSE_TO_ESTRADIOL_DN","FRASOR_RESPONSE_TO_ESTRADIOL_DN",2,0.876527569982053,1.45824406353306,0.0444718043184584,0.509572757815669,0.509572757815669,1,"tags=50%, list=0%, signal=50%","9052",0.321775918075361,"frasor_response_to_estradiol_dn"
"WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2","WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2",2,0.853413654618474,1.41979036165505,0.075187969924812,0.66334991708126,0.66334991708126,75,"tags=100%, list=15%, signal=85%","3691/4320",0.261663521711573,"weigel_oxidative_stress_by_tbh_and_h2o2"
"HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP","HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP",11,-0.553167373713485,-1.41278112893423,0.0793465577596266,0.66334991708126,0.66334991708126,77,"tags=45%, list=15%, signal=39%","9517/928/51382/57185/55650",0.169570644405628,"heller_hdac_targets_silenced_by_methylation_up"
"DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2","DAIRKEE_CANCER_PRONE_RESPONSE_BPA_E2",5,-0.679270275258448,-1.40148628428078,0.0650730411686587,0.639110225763612,0.639110225763612,103,"tags=60%, list=21%, signal=48%","79041/11198/55973",0.20207170902116,"dairkee_cancer_prone_response_bpa_e2"
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN","CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN",7,-0.612851287224057,-1.38845676973462,0.0674157303370786,0.639287098024022,0.639287098024022,77,"tags=57%, list=15%, signal=49%","9517/7049/55650/224",0.191892240384838,"chemnitz_response_to_prostaglandin_e2_dn"
"ELVIDGE_HYPOXIA_BY_DMOG_UP","ELVIDGE_HYPOXIA_BY_DMOG_UP",3,0.702296492750278,1.38697874939332,0.0927536231884058,0.689385037211124,0.689385037211124,33,"tags=67%, list=7%, signal=63%","9052/8839",0.252961123069611,"elvidge_hypoxia_by_dmog_up"
"YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17","YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17",10,-0.54802320666235,-1.38367515458692,0.0909090909090909,0.689385037211124,0.689385037211124,68,"tags=40%, list=14%, signal=35%","10175/7419/55973/55334",0.158514105424824,"yao_temporal_response_to_progesterone_cluster_17"
"AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53","AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53",2,-0.873493975903614,-1.37131027386411,0.0354767880961509,0.464576986973404,0.464576986973404,66,"tags=100%, list=13%, signal=87%","2767/3993",0.321775918075361,"ambrosini_flavopiridol_treatment_tp53"
"WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP","WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP",2,0.815728989342522,1.35709588254584,0.120300751879699,0.769365273649239,0.769365273649239,27,"tags=50%, list=5%, signal=47%","5721",0.204294756516886,"wunder_inflammatory_response_and_cholesterol_up"
"MARSON_FOXP3_TARGETS_STIMULATED_DN","MARSON_FOXP3_TARGETS_STIMULATED_DN",2,-0.861340812525033,-1.35223085458849,0.0464344941956882,0.51077943615257,0.51077943615257,15,"tags=50%, list=3%, signal=49%","23368",0.271288554688953,"marson_foxp3_targets_stimulated_dn"
"FERRARI_RESPONSE_TO_FENRETINIDE_UP","FERRARI_RESPONSE_TO_FENRETINIDE_UP",1,1,1.34984064065136,0.00305731205876179,0.214427909766484,0.214427909766484,1,"tags=100%, list=0%, signal=100%","9052",0.431707695803346,"ferrari_response_to_fenretinide_up"
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP","JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP",1,1,1.34984064065136,0.00305731205876179,0.214427909766484,0.214427909766484,1,"tags=100%, list=0%, signal=100%","9052",0.431707695803346,"joseph_response_to_sodium_butyrate_up"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN",2,-0.857649708792386,-1.3464361397878,0.0514096185737977,0.543755581069014,0.543755581069014,9,"tags=50%, list=2%, signal=49%","7049",0.257206466468838,"hernandez_mitotic_arrest_by_docetaxel_2_dn"
"MALONEY_RESPONSE_TO_17AAG_UP","MALONEY_RESPONSE_TO_17AAG_UP",1,-1,-1.34355758142773,0.00311895141478522,0.214427909766484,0.214427909766484,2,"tags=100%, list=0%, signal=100%","6767",0.431707695803346,"maloney_response_to_17aag_up"
"LEE_LIVER_CANCER_DENA_UP","LEE_LIVER_CANCER_DENA_UP",1,0.993987975951904,1.34172536625867,0.0139211558120995,0.422357771276709,0.422357771276709,4,"tags=100%, list=1%, signal=99%","11015",0.380730400722792,"lee_liver_cancer_dena_up"
"SANDERSON_PPARA_TARGETS","SANDERSON_PPARA_TARGETS",1,-0.995991983967936,-1.33817258110137,0.00986436409226245,0.339087515671522,0.339087515671522,4,"tags=100%, list=1%, signal=99%","224",0.380730400722792,"sanderson_ppara_targets"
"SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP","SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_UP",1,0.98997995991984,1.33631518333021,0.0212479656662427,0.422357771276709,0.422357771276709,6,"tags=100%, list=1%, signal=99%","4830",0.352487857583619,"schlingemann_skin_carcinogenesis_tpa_up"
"KRIGE_AMINO_ACID_DEPRIVATION","KRIGE_AMINO_ACID_DEPRIVATION",2,0.801750890133108,1.33384107472271,0.137844611528822,0.788608739770145,0.788608739770145,8,"tags=50%, list=2%, signal=49%","440",0.190023305279108,"krige_amino_acid_deprivation"
"UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN","UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN",1,-0.991983967935872,-1.332787580775,0.0180097387821462,0.422357771276709,0.422357771276709,6,"tags=100%, list=1%, signal=99%","5166",0.352487857583619,"uzonyi_response_to_leukotriene_and_thrombin"
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN","APPIERTO_RESPONSE_TO_FENRETINIDE_DN",1,0.985971943887776,1.33090500040175,0.0276457276397365,0.422357771276709,0.422357771276709,8,"tags=100%, list=2%, signal=99%","440",0.352487857583619,"appierto_response_to_fenretinide_dn"
"CAFFAREL_RESPONSE_TO_THC_UP","CAFFAREL_RESPONSE_TO_THC_UP",1,0.985971943887776,1.33090500040175,0.0276457276397365,0.422357771276709,0.422357771276709,8,"tags=100%, list=2%, signal=99%","440",0.352487857583619,"caffarel_response_to_thc_up"
"POS_HISTAMINE_RESPONSE_NETWORK","POS_HISTAMINE_RESPONSE_NETWORK",1,0.985971943887776,1.33090500040175,0.0276457276397365,0.422357771276709,0.422357771276709,8,"tags=100%, list=2%, signal=99%","440",0.352487857583619,"pos_histamine_response_network"
"POS_RESPONSE_TO_HISTAMINE_DN","POS_RESPONSE_TO_HISTAMINE_DN",1,0.985971943887776,1.33090500040175,0.0276457276397365,0.422357771276709,0.422357771276709,8,"tags=100%, list=2%, signal=99%","440",0.352487857583619,"pos_response_to_histamine_dn"
"CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN","CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN",1,-0.987975951903808,-1.32740258044864,0.0230753574696772,0.422357771276709,0.422357771276709,8,"tags=100%, list=2%, signal=99%","8814",0.352487857583619,"cheok_response_to_mercaptopurine_and_ld_mtx_dn"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN",2,0.79718875502008,1.32625123194601,0.145363408521303,0.788608739770145,0.788608739770145,103,"tags=100%, list=21%, signal=80%","990/6591",0.184706471207739,"hernandez_mitotic_arrest_by_docetaxel_1_dn"
