"drug_name","NES","pvalue","setSize"
"bhat_esr1_targets_not_via_akt1_dn",-1.63277081514594,0.00291546019450067,4
"lee_liver_cancer_ciprofibrate_up",-1.6029385196769,0.00603384550140302,3
"bhat_esr1_targets_via_akt1_dn",-1.59740406418313,0.00623167456366934,3
"darwiche_skin_tumor_promoter_up",-1.4844929605225,0.0332005312084993,5
"mcdowell_acute_lung_injury_dn",-1.4713360906363,0.00729267377238991,2
"blum_response_to_salirasib_up",-1.46055671185001,0.0413492927094668,17
"heller_hdac_targets_silenced_by_methylation_up",-1.41278112893423,0.0793465577596266,11
"dairkee_cancer_prone_response_bpa_e2",-1.40148628428078,0.0650730411686587,5
"chemnitz_response_to_prostaglandin_e2_dn",-1.38845676973462,0.0674157303370786,7
"yao_temporal_response_to_progesterone_cluster_17",-1.38367515458692,0.0909090909090909,10
