"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.89689389744059e-18,0.585726149143815,0.778,0.696,3.1704684601822e-14,"0","ACTA1"
6.87840929962614e-303,0.339401394897893,1,1,1.14965733033951e-298,"0","MT-ND4"
2.62363761982136e-246,0.334440922888454,1,1,4.38514791776943e-242,"0","MT-ND2"
7.3924525634125e-130,0.331230224524965,1,1,1.23557452144876e-125,"0","MT-ND5"
2.39682234214081e-234,0.330486966357935,1,1,4.00604886265414e-230,"0","MT-ND1"
1.57807362361938e-07,0.482899377010094,0.278,0.204,0.00263759225451743,"1","CCDC59"
1.74441853092337e-05,0.442389424456214,0.284,0.224,0.291562113258533,"1","GNG7"
1.93998397279325e-36,0.441799309589678,0.928,0.844,3.24248921212664e-32,"1","AC107068.2"
2.03183346589221e-05,0.437183993137832,0.266,0.207,0.339600645489225,"1","WDR34"
7.61420678668941e-06,0.40743664974378,0.298,0.234,0.127263852232727,"1","AC100756.4"
2.58070298856889e-45,1.30331454349189,0.429,0.223,4.31338697509405e-41,"2","PTN"
1.17357315444062e-26,1.27030344937759,0.379,0.229,1.96151017033206e-22,"2","C1QB"
2.48449303540247e-21,1.26723426998938,0.404,0.28,4.15258165937169e-17,"2","C1QA"
4.5713009002792e-42,1.2608182271424,0.408,0.214,7.64047232472666e-38,"2","FBLN5"
2.81598489598906e-176,1.23843036377357,0.98,0.906,4.70663715515612e-172,"2","CFD"
5.62246704967339e-321,3.70098712511482,1,0.615,9.3973914268241e-317,"3","HBA1"
0,3.56208590527118,1,0.827,0,"3","HBA2"
0,3.51156502287137,1,0.926,0,"3","HBB"
1.30496326317436e-36,1.68100256408211,0.327,0.132,2.18111559806963e-32,"3","SLC25A37"
1.79321716636815e-07,0.725314070743048,0.258,0.171,0.00299718317186772,"3","SLC25A39"
9.10885681622501e-46,2.4997608339957,1,0.991,1.52245432826385e-41,"4","MALAT1"
1.21975382519662e-07,1.77961925960427,0.29,0.099,0.00203869654343364,"4","TOGARAM2"
6.79777915195699e-08,1.6928374751848,0.29,0.095,0.00113618080745809,"4","NPTX2"
9.10920405894435e-09,1.66730238307766,0.304,0.095,0.000152251236641196,"4","DPY19L2"
2.12795684332618e-06,1.53086122685798,0.304,0.119,0.0355666706793538,"4","RNF207"
9.27523186491532e-141,5.94505625139377,0.431,0.012,1.55026225390195e-136,"5","PHLDA2"
2.23695708278561e-139,5.86826181343837,0.846,0.061,3.73885006816788e-135,"5","MYH11"
4.44937994665743e-141,5.39674763300107,0.754,0.046,7.43669364284322e-137,"5","CCDC3"
7.25890134920633e-101,5.37050353375054,0.292,0.007,1.21325277150635e-96,"5","LCN1"
6.93030782300367e-78,5.24377984875385,0.508,0.037,1.15833164953683e-73,"5","NR4A2"
5.41858673945889e-162,6.68784207319838,0.622,0.014,9.05662587633159e-158,"6","ADIPOQ"
2.05108570231045e-90,6.47091486237363,0.541,0.021,3.42818464284169e-86,"6","PLIN1"
7.58448618344794e-70,6.42459232367572,0.865,0.084,1.26767102070149e-65,"6","SCD"
3.15315286703422e-149,6.28477721558562,0.595,0.014,5.270179701961e-145,"6","RBP4"
1.62775268120614e-77,6.14727369183568,0.405,0.013,2.72062583136794e-73,"6","THRSP"
