"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",187,0.707115237491759,2.14221917817158,1e-10,5.875e-10,3.41860685990849e-10,2623,"tags=52%, list=17%, signal=44%","3164/6364/3569/2354/3491/9021/3976/8870/3726/2669/2919/6347/2353/1844/6372/4609/57007/467/3725/150094/1960/80149/8013/597/9314/23764/1026/1843/10365/7538/5054/5743/7832/1839/7127/51278/969/80176/4616/6446/595/5971/3914/5328/4929/3383/9308/23645/9242/1959/2152/6515/2355/7124/23529/1847/5209/3553/4791/602/4794/22822/23135/4814/23308/5341/5791/24147/1316/5734/8878/941/5187/3601/79155/3949/9034/1846/8877/3627/10938/11182/7185/182/5271/1051/650/1052/25816/6776/2114/8553/3280/6373/960/330/2150/6890",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",179,0.678247486510315,2.07148416450989,1e-10,5.875e-10,3.41860685990849e-10,2937,"tags=51%, list=19%, signal=42%","3569/3976/4318/43/6347/7076/7070/822/4050/3689/7535/972/5552/3665/6363/3117/4689/6891/4283/3383/6688/973/7040/2316/3109/3122/27240/7186/7124/1230/2268/3553/9466/914/925/3111/915/3662/3108/602/9450/23308/5699/1445/114548/916/10261/1234/2149/3001/3394/7454/23166/926/941/207/1520/2000/3105/3561/896/6203/50852/8477/3932/5788/6223/5551/942/3059/5777/3937/917/3586/2213/919/2069/10225/3625/4065/6890/3133/1029/5199/11184/2533/322/3560/729230/7903/3559",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",188,0.652931891008957,1.97978390812063,1e-10,5.875e-10,3.41860685990849e-10,2718,"tags=46%, list=18%, signal=38%","3576/51330/3569/3491/2669/2919/1277/6696/6372/7076/3725/9235/5999/7058/7070/7057/822/50509/1490/10272/4016/1307/1282/5054/6535/1292/1284/1462/1289/30008/2817/4616/1281/5768/4060/2014/4313/2199/7431/1278/7040/2316/6678/2191/871/1809/3918/10516/10398/1296/4256/8038/6876/1004/1294/2331/7052/7171/4323/3956/1634/633/2200/1290/7045/5159/2026/7980/7412/10409/1293/7169/6424/649/11010/6382/57692/3908/2882/960/1303/7078/7456/1893/5654/7424",NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",78,0.671469953075371,1.96530866267154,6.70871260855812e-09,3.50343880669146e-08,2.03861786175746e-08,1887,"tags=36%, list=12%, signal=32%","51330/3569/9021/2919/3725/4050/1438/4283/7040/10148/7124/578/1439/1230/3553/1271/23533/5292/94/27242/929/3601/1441/3561/7133/3162/3627/3563",0.761460801445585
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",186,0.645275124224706,1.95068367067031,1e-10,5.875e-10,3.41860685990849e-10,2131,"tags=39%, list=14%, signal=34%","3576/6364/3569/3976/5996/6004/6347/6372/7076/4609/2769/1026/3037/5054/133/7832/1839/3665/969/4283/2014/3383/2719/6504/6369/2152/8578/10148/1236/719/3553/4061/3249/391/558/5724/962/23308/114548/5732/23533/5791/8685/1316/4323/5734/23166/3587/64127/929/3601/6324/1441/3759/3949/2357/7133/9034/1536/3932/8877/3627/6402/2867/5739/6376/29933/3937/11047/3586/8519/9435/1240",NA
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",33,0.727487117947307,1.94554800856111,6.12911391957738e-06,2.21591041707798e-05,1.2894172855771e-05,456,"tags=36%, list=3%, signal=35%","6696/6372/7076/4023/3714/6781/5154/1462/6275/1281/4060/7056",0.610526878385931
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",155,0.628167186217126,1.89708730592144,1e-10,5.875e-10,3.41860685990849e-10,2654,"tags=41%, list=17%, signal=34%","51330/3569/8870/7076/467/3725/2012/1960/706/2769/3958/1026/7832/581/969/2934/4616/595/3489/4000/4060/3315/3875/4313/2876/7124/3553/301/914/7153/89941/150209/2149/5366/7077/1634/633/8878/51176/929/2232/5330/5159/4739/2026/10410/3162/5551/5664/5327/4092/2069/2064/650/2878/3082/8682/8567/960/330/6890/834/7078",NA
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",166,0.61001353893523,1.85222988741585,1e-10,5.875e-10,3.41860685990849e-10,2014,"tags=35%, list=13%, signal=31%","4622/6649/624/43/1277/8614/165/1026/4046/1346/9260/6535/1292/1284/1839/11156/6300/2934/4616/1281/1837/8557/22808/7040/26353/6678/2548/3490/1152/375790/274/8038/10278/6525/6876/4634/8912/5569/4641/25970/4851/9144/5740/6442/203/1146/1760/4209/2314/10174/8877/4151/2049/1293/5664/2027/7169/10014",NA
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",185,0.606389356885811,1.84225968873123,1e-10,5.875e-10,3.41860685990849e-10,2377,"tags=36%, list=15%, signal=31%","3569/3491/8870/2353/57007/467/6781/3725/7852/8614/1490/771/23764/1026/4282/1843/54541/7538/5054/133/6275/1289/2817/6533/1837/2719/226/5155/23645/2152/6515/5214/9672/2355/2548/5209/51129/3098/10994/284119/5211/2239/7052/302/55577/1316/5292/1634/633/4502/25819/7045/7043/2026/3162/2027/56925/3099/6513/9435/5313/23327/9469/26136/2821/8553/5228",NA
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",185,0.595594051884754,1.80946268297054,1e-10,5.875e-10,3.41860685990849e-10,2817,"tags=39%, list=18%, signal=32%","3976/8870/6004/2353/467/3714/3725/5154/9314/23612/1026/54541/30851/1509/7832/6275/1839/581/51278/6768/1969/55766/5900/23645/10437/7040/64782/578/57799/1263/64787/3265/3654/7421/975/4814/10608/2149/5791/4071/4851/50619/2232/203/896/3162/25873/10544/8877/64393/7378/2872/29946/7704/79651/100/5883/650/6382/3275/3625/10397/57761/3691/6890/834/10458/1029/6256/10399/5912/8851",NA
