"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa00982","Drug metabolism - cytochrome P450",63,-0.598952082668191,-2.74055661049976,6.32642419436093e-10,1.45929518083259e-08,3.85023014948759e-09,3307,"tags=63%, list=15%, signal=54%","221357/54490/1548/1559/125/54577/54600/2328/2941/124/7364/1577/4128/2948/1571/54658/316/2953/4129/54578/1549/7365/7363/10720/4257/2939/4258/127/2938/54657/2329/130/54576/1558/131/7367/10941/1576/1557/574537",0.801215574617779
"hsa05204","Chemical carcinogenesis - DNA adducts",63,-0.596224673888643,-2.72807711777134,1.03190935056595e-09,2.10023903115187e-08,5.54130771147885e-09,3307,"tags=60%, list=15%, signal=51%","221357/54490/1548/1559/54577/54600/3290/2941/1562/7364/2052/1577/2948/1571/54658/2953/54578/1549/7365/1543/7363/10720/4257/2939/4258/9/2938/54657/10/54576/1558/1646/7367/10941/1576/64816/1557/574537",0.788186810800237
"hsa00053","Ascorbate and aldarate metabolism",29,-0.696142995564836,-2.55834262305463,3.97432771316725e-07,2.80636201786912e-06,7.40435505681019e-07,3155,"tags=59%, list=15%, signal=50%","54490/54577/54600/7364/501/54658/54578/7365/7363/10720/224/54657/7358/54576/7367/10941/574537",0.674962860011025
"hsa00040","Pentose and glucuronate interconversions",33,-0.646244319651912,-2.45261803743181,8.20061204081336e-07,5.38893569038191e-06,1.4218262995236e-06,3155,"tags=61%, list=15%, signal=52%","54490/54577/54600/55277/7364/28970/54658/54578/9942/7365/7363/10720/729920/54657/441282/7358/54576/7367/10941/574537",0.659444398037935
"hsa00140","Steroid hormone biosynthesis",55,-0.566298940170794,-2.40805671260025,9.62285670686394e-08,8.32377105143731e-07,2.19615843871909e-07,3155,"tags=55%, list=15%, signal=47%","54490/54577/3293/54600/3290/6715/1109/7364/1577/1571/54658/51144/54578/7365/1543/9420/7363/8644/10720/51170/54657/8630/6718/54576/1646/7367/6783/10941/1576/574537",0.704975715167238
"hsa00830","Retinol metabolism",61,-0.499471962853109,-2.32996610477618,3.20755899078939e-06,1.79002485615021e-05,4.72283315946369e-06,3155,"tags=48%, list=15%, signal=41%","54490/1548/1559/125/54577/54600/124/1562/7364/1577/54658/316/54578/1549/7365/1543/7363/10720/127/54657/130/8630/54576/1558/131/7367/10941/1576/574537",0.627256739718528
"hsa00980","Metabolism of xenobiotics by cytochrome P450",68,-0.501816809060822,-2.28256647592507,3.69540161241362e-07,2.66376866228149e-06,7.0281342318453e-07,3307,"tags=53%, list=15%, signal=45%","221357/54490/1548/1559/125/54577/54600/3290/2941/124/7364/2052/1577/2948/1571/54658/2953/54578/1549/7365/1543/7363/10720/4257/2939/4258/127/2938/54657/130/54576/131/7367/10941/1576/574537",0.674962860011025
"hsa05150","Staphylococcus aureus infection",59,0.747955136938845,2.0626757492838,6.45469279532239e-09,8.58970656608287e-08,2.26632333405738e-08,2882,"tags=56%, list=13%, signal=49%","25984/1667/3127/712/2209/3689/3120/714/713/3117/3875/3383/6404/3123/3113/2359/3109/3122/3115/719/3111/5724/3108/3880/2357/2358/2214/3119/3586/2213/3684/2212/1672",0.761460801445585
"hsa04657","IL-17 signaling pathway",73,0.74364850465017,2.0520816224385,1e-10,3.84444444444444e-09,1.01432500445763e-09,1218,"tags=32%, list=6%, signal=30%","3576/6364/3569/2354/4318/2919/6347/2353/6372/3725/6280/6279/3934/5743/6300/727897/5600/3727/7186/7124/3553/8717/5598",NA
"hsa05219","Bladder cancer",38,0.768701444130952,2.02041602302249,4.40366320009628e-07,2.98758326908493e-06,7.88249240306037e-07,3025,"tags=50%, list=14%, signal=43%","3576/4318/4609/7057/1869/1026/1839/595/4313/1613/3265/2261/1890/6714/11186/5595/1871/2064/1029",0.674962860011025
