"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",182,0.631344326019987,2.47779534661179,1e-10,1.25e-09,4.21052631578947e-10,3013,"tags=47%, list=19%, signal=39%","972/7124/3460/3122/3553/602/3383/4318/5699/1984/8915/4067/5579/5552/7334/8477/8672/942/3665/4050/2833/6688/7070/973/3105/3117/6351/4065/27240/914/3111/10006/6347/3091/5777/6890/941/1520/3394/2533/2149/8560/3109/5788/2000/822/8767/1230/3001/2589/6363/3689/1234/4689/2268/7076/3937/9734/9450/356/3108/6775/6892/10261/3059/3606/5199/7903/4830/3600/3932/114548/7098/50852/6885/7097/6223/7535/3459/6772/11146/4283/43/23308/3624/3586",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",195,0.571491676109493,2.25538653170984,1e-10,1.25e-09,4.21052631578947e-10,3126,"tags=45%, list=20%, signal=36%","3959/840/7127/972/6737/9961/10437/3383/3123/5699/1026/9111/23424/10875/6774/5770/3627/942/5696/5698/3665/3659/57169/834/3105/3117/3106/6347/10124/64761/3091/969/5777/3663/6890/3394/684/10791/25939/5721/7378/6373/8767/3001/27348/9830/10628/837/3429/9246/3937/3587/317649/5720/8638/3108/6775/6892/2357/81894/9636/10410/669/79132/7903/8673/3600/219285/4790/4939/256586/10797/129607/1439/4261/9021/6772/6398/5771/4283/10616/9688/2209/1240/5371/10581/6352",NA
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,0.547978754616505,2.16309615456495,1e-10,1.25e-09,4.21052631578947e-10,3516,"tags=50%, list=23%, signal=40%","811/10652/4199/5230/23753/10437/5704/10213/60481/11151/2181/1026/2821/6713/10875/226/6184/5641/7283/10097/2232/2023/3099/10452/3157/54541/9136/2058/47/5861/11333/8503/3422/26136/5701/7852/6510/9415/5211/10989/10212/908/8553/6241/5693/6319/3689/2597/6503/6533/5464/3308/57761/5685/516/3939/1717/2717/2107/81873/699/7296/51569/1075/8615/5199/8878/56902/5478/51109/2936/7832/10197/3309/27071/1595/10797/8894/10987/79071/7184/10963/7436/821/23645/23165/80777/1649/10096/3949/3992/5719/3156/2539/2745/488/7167/10682/7108/31/10962",NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",190,0.544200037884097,2.14053684191585,1e-10,1.25e-09,4.21052631578947e-10,3476,"tags=48%, list=22%, signal=38%","3725/5054/57007/8848/2150/6446/7127/7124/9308/467/3460/5341/3553/4791/602/3383/5971/80176/6364/2526/1026/7071/960/8303/3627/5791/650/330/3659/6351/3914/6347/3726/5328/7280/4814/969/6890/941/2354/8553/1959/150094/10318/3280/6373/8767/8870/597/1843/23258/4082/51278/10769/50486/127544/4794/3606/9314/79693/5329/8878/1960/1647/9242/7832/2919/4790/2353/5970/80149/55332/7097/9021/1844/23645/23308/3398/3624/6352/4084/3949/9034/9592/3976/1847/5271/7185/595/5734/2355/11182",NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,0.59140873890001,2.13732952241652,7.40626943371225e-08,5.29019245265161e-07,1.78195956299844e-07,2469,"tags=40%, list=16%, signal=34%","3959/972/8519/6737/10437/9111/23424/1267/3627/1997/5696/5698/3665/3659/834/10161/64761/6890/684/5721/6373/8767/9830/10628/3429/9246/5720/8638/7318/81894/9636/10410/79132/3600/219285/4938/27074/54809/129607",0.704975715167238
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",154,0.547580907657946,2.11259615547174,1.25178518690563e-09,1.25178518690563e-08,4.21653957694527e-09,3490,"tags=53%, list=23%, signal=42%","3725/840/51330/7124/467/3005/5538/3875/10134/3553/552/7153/1026/8915/960/4092/2232/650/330/581/3659/834/301/5526/3162/914/2876/10059/969/6890/5664/8682/2149/8870/56616/10628/2012/837/2769/3301/7076/598/2064/356/2107/5330/3606/5914/4060/10410/7077/8878/1960/839/2936/1647/7832/1540/56172/2878/5970/1634/637/5663/3958/3082/4313/3459/706/351/4739/1649/2934/3148/665/836/1499/5159/150209/595/10682/5366",0.788186810800237
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",77,0.602262336140927,2.10963414142712,3.47372866170436e-07,1.92984925650242e-06,6.50054486400815e-07,2815,"tags=45%, list=18%, signal=37%","3725/83729/51330/7124/7133/64109/3460/3553/960/6774/5770/3627/4050/3659/91/3676/3162/2885/3588/948/578/6373/1230/867/27242/2919/1439/7850/7097/9021/3690/3459/6772/5771/4283",0.674962860011025
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",189,0.503721076884821,1.97253445213013,1.47337576411795e-08,1.22781313676496e-07,4.13579161857671e-08,2896,"tags=40%, list=19%, signal=33%","3725/1509/8848/2760/29927/6004/6281/9618/30851/10437/467/29946/1026/6275/1050/2232/6382/2877/5900/5791/4013/54541/650/581/91/834/5111/3275/64393/51447/3162/10057/3654/4814/49856/6890/2149/578/64782/22824/7378/3714/100/8870/3265/10628/57761/51278/3006/10769/203/63874/5925/127544/5912/10608/9314/8673/1647/7039/8851/7832/23612/81566/2353/975/55332/1030/57799/10544/351/26207/23645/8518/27244",0.747739663149885
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",185,0.490307745909181,1.93067409468964,1.09213031749773e-07,6.82581448436078e-07,2.29922172104784e-07,3537,"tags=43%, list=23%, signal=34%","5054/719/6004/8519/7133/3460/3553/3383/6364/1026/9111/962/4067/3627/1536/5791/3665/3659/91/10006/2773/6347/5029/3091/969/684/6504/9435/2014/3576/558/6373/8767/2769/7076/3937/1236/3587/6892/2357/3606/5329/5996/3600/7832/3932/1604/4790/114548/27074/5970/7098/7097/6098/5724/5663/11047/4323/3690/4283/391/23308/3624/3586/1240/6352/4084/3949/6541/9034/3976/9966/488/8685/55829/10148/5734/2015/6717/133",0.704975715167238
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",101,0.523439484009313,1.90817995882322,1.55735919865608e-05,5.98984307175414e-05,2.01763135048561e-05,2638,"tags=37%, list=17%, signal=31%","811/5594/6195/1072/983/1026/1213/5579/10097/7334/8503/156/7529/5602/2885/5499/7852/375/79109/3265/1173/6503/57761/356/396/5563/5879/1869/8878/51135/3932/10094/466/27071/10451/6885/7184",0.575610261071129
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",73,0.548964857377394,1.90249489601044,2.7970338320548e-05,9.98940654305286e-05,3.36485273029149e-05,3753,"tags=59%, list=24%, signal=45%","94241/308/51330/22809/467/4023/552/6713/6282/5641/4597/2171/50814/3157/2194/6811/3422/9415/6319/4598/2222/57761/1717/6721/2731/5329/1595/3958/2224/230/23474/3949/4047/3156/1499/10682/58191/114569/7108/26270/39/312/134429",0.575610261071129
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",147,0.485809606436543,1.85854114925733,8.02949773155976e-06,3.34562405481657e-05,1.12694705004347e-05,3004,"tags=39%, list=19%, signal=32%","2326/10652/682/467/5538/5979/6782/1175/3383/2237/226/6184/5045/4067/1267/3363/54107/650/3659/11333/5702/3162/1212/6535/898/3726/6890/2354/9818/1054/9392/578/5504/8692/3301/9296/7263/5243/5984/8878/2744/7832/2353/3306/2878/637/1030/10963/262/4323/6415/9188/27295/4245/3337/80777/6697",0.593325476396405
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",186,0.47189631887744,1.85846714305356,1.02831999453408e-06,5.14159997267041e-06,1.7319073592153e-06,3029,"tags=36%, list=20%, signal=29%","9235/5654/3725/5054/6443/51330/11010/960/50509/1290/3956/6382/813/8985/1284/1282/7070/7052/2247/4314/1281/6535/2201/8038/1289/2014/3576/822/5479/5999/1278/8325/3909/3685/1462/1307/1296/7058/7980/7045/7076/2191/5768/5351/4060/5329/4016/6678/966/10409/1647/3600/2919/2817/1292/1634/1277/10272/6444/4323/3690/4313/7431/2619/3398/3624/7456",0.643551836150722
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",52,0.554814584298309,1.79467870926222,0.000327241928475036,0.000861162969671146,0.000290075947678702,2967,"tags=40%, list=19%, signal=33%","5054/3460/7071/3399/5045/4092/11031/650/6498/5499/3726/3397/6711/7046/999/387/6885/2022/4053/23645/3398",0.49849310876659
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",188,0.452966899633392,1.79256519262975,3.84240717838404e-06,1.74654871744729e-05,5.88311146929613e-06,2938,"tags=34%, list=19%, signal=28%","5054/1509/308/840/4199/4324/2219/5341/2771/27445/5641/3988/4067/23348/5698/55619/1284/3665/3659/834/712/2885/10019/2773/5547/3920/948/1520/6280/337/3001/837/7980/714/7076/51548/3937/2207/6714/5550/2793/1075/7077/5329/8445/966/8851/2820/7511/2764/3932/3309/2919/3684/1604/5531/60489/5663/3958/4323/54331/391/25801/3003",0.610526878385931
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",94,0.482656116469382,1.75072819867499,0.000507908007720074,0.00118238660338886,0.000398277592720458,2341,"tags=36%, list=15%, signal=31%","5594/10652/5538/3875/1175/9276/10959/1213/11311/286451/81542/11316/10067/9570/9554/10059/3920/375/5868/2778/26286/858/1173/2717/8729/1075/1315/51606/8615/11079/372/9871/7251/10972",0.477270815362862
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",188,0.419998866692078,1.66209793692542,0.000109366354331354,0.000364554514437847,0.000122797310126433,1990,"tags=27%, list=13%, signal=24%","6004/9144/3655/9308/7133/84230/990/962/960/10875/4839/5045/9261/3627/123/152007/8477/3099/942/4953/650/22807/4050/7052/898/6510/10124/2027/3394/974/8553/822/51284/8611/2012/23258/4643/3685/64866/1522/8829/57045/6271/55509/3587/598/27242/5243/4135/10410/29851",0.538434096309916
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",185,0.419523209011194,1.65194737084371,0.000209706367219119,0.000639049921648494,0.000215258920976335,3747,"tags=35%, list=24%, signal=27%","4478/140885/7791/8751/7533/2771/3383/4318/9019/9672/10487/5880/7283/9344/7106/4597/347902/6624/942/6237/6464/8503/7070/3914/10109/7410/2533/5788/8517/10205/3265/3909/87/5818/1462/1307/91624/7045/6714/60/999/103910/51466/26119/1384/6850/4313/4771/143903/3680/4627/10000/23114/58/2200/1009/7185/1004/4902/1366/8910/5216/3384/7408/81",0.518848077743792
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,0.407006825261448,1.60662232100742,0.000237506288418787,0.000659739690052186,0.000222228106122841,5223,"tags=50%, list=34%, signal=33%","10312/3418/840/54205/2821/537/9927/533/1738/788/4728/581/10440/8402/506/527/10989/4190/5162/529/7386/51660/1737/3052/516/3939/9296/27089/1632/498/1727/518/5447/51606/5160/9550/4191/64960/38/4714/51318/92609/4967/4712/4708/3421/1351/50/27429/26521/37/5250/528/64963/3032/1374/4702/9377/515/6183/64981/7385/5435/54704/4710/292/4720/593/4719/7384/4701/81689/1892/56945/7419/1666/4706/1340/51382/1537/4723/2271/4729/11331/6392/2806/10935/1352/4709/521/4696/2230/3028/4704/2746/29088/1327/6834/10975",0.518848077743792
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",186,0.407905620249816,1.60645286342667,0.000441594463837059,0.00110398615959265,0.000371869022178576,3336,"tags=37%, list=22%, signal=29%","2150/719/6004/3936/7133/7805/3553/4318/10320/6364/51199/3627/51311/5696/4013/51704/650/330/6616/23136/23531/7852/5328/1520/3394/10205/51012/3689/2012/8829/867/9734/3587/2207/57332/2048/4674/50856/5243/50486/9314/669/79693/5329/5284/2982/56172/25960/23080/10912/2022/1794/27299/80380/6868/54462/3800/23645/6662/3398/685/3624/1240/9358/2995/101/3976/2745/9949",0.49849310876659
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",186,0.404972503006819,1.59490138102519,0.000520250105491099,0.00118238660338886,0.000398277592720458,3305,"tags=38%, list=21%, signal=30%","3725/5054/57007/771/5230/467/1837/9672/1026/2821/6275/226/123/2023/3099/54541/7052/3162/26136/7852/1289/5211/901/2027/8553/9435/25819/5313/8870/1843/2597/6533/7045/3939/1907/126792/2645/55577/5329/839/302/7511/3309/2817/2239/8497/2353/25824/1634/949/9469/112464/26118/10994/7436/2203/230/2131/23645/5228/4627/3098/1649/8406/9957/11015/665/5214/7043/2745",0.477270815362862
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",196,0.404466569012912,1.5946117939921,0.000217276973360488,0.000639049921648494,0.000215258920976335,3406,"tags=34%, list=22%, signal=27%","3838/3799/22809/983/602/94239/7153/6713/990/3149/10951/10036/1874/4953/1810/3159/29127/6632/11065/8318/890/1164/3091/10212/996/85236/4288/9462/25/4172/1871/7514/4082/55872/9055/10592/699/8317/4605/3015/991/1869/11004/9184/4085/81539/5885/8438/3312/9232/9133/22974/10664/262/51155/387893/5371/10146/6541/10051/3832/2146/7090/2935/10024/595",0.518848077743792
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",49,0.484193955239812,1.56194490166005,0.0132632632847266,0.0240820799711796,0.00811185851660788,4417,"tags=57%, list=29%, signal=41%","5524/112398/140809/4046/4363/4353/1032/3726/7296/2936/2878/10549/26034/5621/2068/9943/51022/5214/2539/2745/55829/4482/10494/9124/4710/4720/7001/3163",0.380730400722792
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,0.429027418509796,1.55767841408477,0.00188504600368229,0.00377009200736457,0.00126992572879649,2666,"tags=31%, list=17%, signal=26%","811/9114/5832/7534/3799/10113/58477/467/10130/10897/9570/27257/54541/9136/6464/55770/60559/6347/7280/1973/1054/25804/64859/9531/55033/6734/9451/3309/10797/55738/79094/4189/7184/64924/9797",0.45505986738723
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",191,0.387320508273631,1.52736146194767,0.00147654506012637,0.00307613554192993,0.0010361719720185,3772,"tags=40%, list=24%, signal=31%","5223/4199/5230/5704/1999/983/10007/9276/9672/960/54480/226/7264/8996/26229/56052/55635/6382/2023/1738/3099/5834/50814/54541/10327/29926/6120/7852/1289/4190/9435/5315/2673/8870/1462/7045/50808/3939/5768/126792/5351/8704/839/5478/7039/3309/2817/2239/4200/8497/9514/1634/4191/7436/2131/10616/6662/64077/1824/8534/79586/25796/11015/7033/5214/3425/2539/2745/7167/5516/51129/8912/3669/2584/3161/10461/55276",0.45505986738723
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.384684733831487,1.51850790100991,0.00140367521455002,0.00305146785771744,0.0010278628573364,3656,"tags=32%, list=24%, signal=25%","3838/5230/5704/10213/5707/22948/10921/7965/5901/54107/1478/5713/4953/3608/9136/2058/5111/6632/8318/890/6723/1973/7514/51690/7411/5685/3939/2107/6428/3015/991/5245/5984/3326/9184/5478/4085/4830/10971/5688/10549/6418/8894/10987/7332/9188/5496/6741/5691/821/10576/6633/10907/10146/7203/7284/5250/3376/2935/6150/9377/6950/1665/3178/5425",0.45505986738723
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",33,0.511008758107528,1.50720285682951,0.0293705292587843,0.0458914519668505,0.015458173294097,3493,"tags=52%, list=23%, signal=40%","6252/1808/2735/7070/6585/8829/8861/1021/8851/1400/7436/43/23462/4627/5371/7090/8633",0.352487857583619
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",33,0.49831927421971,1.46977565805068,0.0391116665798042,0.0592601008784912,0.0199612971380181,1972,"tags=36%, list=13%, signal=32%","4023/6275/1290/1281/7410/3714/3685/1462/8829/7076/27242/4060",0.321775918075361
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",109,-0.366665173234776,-1.40912415675517,0.0170570073371001,0.0284283455618334,0.00957586376819652,2741,"tags=28%, list=18%, signal=23%","51268/10998/2730/1582/5189/9962/6647/8856/6310/189/9420/83752/10350/2053/10351/55825/114327/5824/10858/366/6579/4306/5190/4734/24/367/51302/51170/27232/23460",0.352487857583619
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",196,0.355794508383099,1.40272191269088,0.00714970914401395,0.0137494406615653,0.00463139053863252,3021,"tags=29%, list=20%, signal=23%","977/4199/10113/25979/4023/11343/226/11194/23344/7532/123/10313/1738/1282/47/92840/6510/10124/5211/948/10989/901/23788/64859/1737/7905/130814/1717/27089/7263/1376/5447/51635/56246/1647/483/1147/2820/25813/2878/2101/7086/949/4191/4189/79071/1384/3459/26353/58472/7316/3421/1351/2167/369/50",0.407017918923954
