"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04820","Cytoskeleton in muscle cells",218,0.900400998142999,2.52256717969845,1e-10,1.735e-08,4.47218208316159e-09,334,"tags=25%, list=2%, signal=25%","1158/58/4606/4604/29895/7136/4620/7125/4619/7134/7140/4632/26287/8557/58529/51778/270/4634/88/89/7273/8048/7135/442721/7138/4892/7169/4703/9499/2318/11155/27295/57159/84676/2273/51332/23439/1837/50509/91977/1462/84665/477/6443/2275/1282/56203/1289/84033/7791/3655/1284/200539/1290",NA
"hsa04814","Motor proteins",170,0.81172738336879,2.28349998737695,1e-10,1.735e-08,4.47218208316159e-09,475,"tags=11%, list=3%, signal=11%","58/29895/7136/4620/7125/4619/7134/7140/84700/4632/4634/7135/7138/7169/140465/347240/3833/7170/10383",NA
"hsa04260","Cardiac muscle contraction",72,0.887125912697204,2.25092667381264,5.18543591686997e-10,5.9978208771796e-08,1.5460142400539e-08,568,"tags=21%, list=4%, signal=20%","7134/779/10345/4634/7169/1346/487/55799/782/3270/23439/477/7170/489/10479",0.801215574617779
"hsa05414","Dilated cardiomyopathy",88,0.825590067020339,2.18159097141808,1.08408920705674e-07,9.40447387121721e-06,2.424122164174e-06,521,"tags=17%, list=3%, signal=17%","7134/779/4634/7273/7169/487/55799/782/7124/1837/6443/5350/3655/7170/489",0.704975715167238
"hsa05410","Hypertrophic cardiomyopathy",84,0.822303817659341,2.12765042026545,5.91572932184834e-07,4.10551614936275e-05,1.05824874728015e-05,521,"tags=17%, list=3%, signal=16%","7134/779/4634/7273/7169/487/55799/782/7124/1837/6443/3655/7170/489",0.659444398037935
"hsa00380","Tryptophan metabolism",41,-0.699013626067828,-2.11084384900376,7.59448334812587e-06,0.000424985859347167,0.000109545483906019,1688,"tags=39%, list=11%, signal=35%","4129/7166/6999/56267/8942/316/224/501/55526/130013/23498/4128/51166/2639/1544/1543",0.610526878385931
"hsa00670","One carbon pool by folate",36,-0.708658631238384,-2.07155742757655,4.71827973903995e-05,0.00204655383680858,0.00052752515280697,1912,"tags=47%, list=12%, signal=41%","471/2618/4144/160428/200895/275/55349/10840/4522/29958/501/191/875/4143/1757/635/27232",0.557332238758646
"hsa00591","Linoleic acid metabolism",24,-0.754392767146938,-2.04660579068325,7.16126965869909e-05,0.00225905506506235,0.000582300033824051,128,"tags=17%, list=1%, signal=17%","8398/8399/1544/1557",0.538434096309916
"hsa05204","Chemical carcinogenesis - DNA adducts",59,-0.611504677139596,-2.00679930922679,6.22725394040622e-05,0.00216085711732096,0.000556988269991642,2724,"tags=31%, list=18%, signal=25%","1558/6818/54657/54490/1571/1548/64816/1576/10941/6799/119391/9/2948/2946/1544/1557/54659/1543",0.538434096309916
"hsa04020","Calcium signaling pathway",208,0.680235640425833,1.95020087521328,8.57320177357397e-06,0.000424985859347167,0.000109545483906019,753,"tags=10%, list=5%, signal=10%","7125/7134/779/10345/85366/844/487/5979/6261/552/5737/3270/5350/57118/3363/5579/489/5331/80271/3708/113026",0.593325476396405
