"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.92016874594666,0.762,0.211,0,"Hepatocyte","SERPINA1"
0,3.48986976513458,0.631,0.087,0,"Hepatocyte","ATP1B1"
0,3.44073402715685,0.594,0.064,0,"Hepatocyte","HNMT"
0,2.07018742670986,0.789,0.297,0,"Hepatocyte","FCGRT"
0,3.13593096321796,0.771,0.285,0,"Hepatocyte","CTSB"
0,0.911021635841433,0.708,0.223,0,"Hepatocyte","LYZ"
0,2.15099116241007,0.621,0.143,0,"Hepatocyte","RNF130"
0,2.15805631074295,0.704,0.228,0,"Hepatocyte","GLUL"
0,2.31152612789848,0.626,0.158,0,"Hepatocyte","CTSH"
0,2.4497762922236,0.637,0.174,0,"Hepatocyte","BLVRB"
0,3.24383393221417,0.67,0.208,0,"Hepatocyte","SEPP1"
0,4.1893279269402,0.548,0.086,0,"Hepatocyte","MS4A7"
0,2.12888422886332,0.725,0.264,0,"Hepatocyte","GRN"
0,2.51717424370311,0.572,0.112,0,"Hepatocyte","ALDH2"
0,1.54450494898151,0.79,0.337,0,"Hepatocyte","ANXA5"
0,2.06386431477159,0.663,0.215,0,"Hepatocyte","AIF1"
0,2.99504663842983,0.597,0.151,0,"Hepatocyte","MS4A6A"
0,5.77349983855902,0.53,0.087,0,"Hepatocyte","C1QC"
0,2.85818060498416,0.537,0.094,0,"Hepatocyte","SPINT2"
0,3.09788296346453,0.555,0.116,0,"Hepatocyte","CD68"
0,2.42638483689651,0.563,0.129,0,"Hepatocyte","FGL2"
0,4.50356086387749,0.458,0.025,0,"Hepatocyte","GATM"
0,3.00869856754252,0.52,0.09,0,"Hepatocyte","CPVL"
0,2.13248799516307,0.584,0.156,0,"Hepatocyte","CTSZ"
0,2.79163978621992,0.936,0.513,0,"Hepatocyte","CST3"
0,4.15279520426166,0.563,0.141,0,"Hepatocyte","APOC1"
0,3.0644102755837,0.629,0.208,0,"Hepatocyte","HLA-DQA1"
0,5.09844579329603,0.597,0.176,0,"Hepatocyte","C1QA"
0,4.29173030968607,0.512,0.095,0,"Hepatocyte","SLC40A1"
0,2.59027853694531,0.547,0.131,0,"Hepatocyte","SERPING1"
0,1.64765485297302,0.661,0.246,0,"Hepatocyte","IER3"
