"condition","donor","cell_type","n","proportion"
"Cirrhosis","Cirrhotic1","B Cell",42,2.26293103448276
"Cirrhosis","Cirrhotic1","Endothelial",378,20.3663793103448
"Cirrhosis","Cirrhotic1","Hepatocyte",559,30.1185344827586
"Cirrhosis","Cirrhotic1","Macrophage",109,5.87284482758621
"Cirrhosis","Cirrhotic1","NK Cell",384,20.6896551724138
"Cirrhosis","Cirrhotic1","Stellate",99,5.33405172413793
"Cirrhosis","Cirrhotic1","T Cell",285,15.3556034482759
"Cirrhosis","Cirrhotic2","B Cell",95,4.32999088422972
"Cirrhosis","Cirrhotic2","Endothelial",460,20.9662716499544
"Cirrhosis","Cirrhotic2","Hepatocyte",450,20.510483135825
"Cirrhosis","Cirrhotic2","Macrophage",117,5.33272561531449
"Cirrhosis","Cirrhotic2","NK Cell",672,30.6289881494986
"Cirrhosis","Cirrhotic2","Stellate",38,1.73199635369189
"Cirrhosis","Cirrhotic2","T Cell",362,16.4995442114859
"Cirrhosis","Cirrhotic3","B Cell",56,3.16742081447964
"Cirrhosis","Cirrhotic3","Cholangiocyte",29,1.64027149321267
"Cirrhosis","Cirrhotic3","Endothelial",776,43.8914027149321
"Cirrhosis","Cirrhotic3","Hepatocyte",329,18.6085972850679
"Cirrhosis","Cirrhotic3","Macrophage",164,9.27601809954751
"Cirrhosis","Cirrhotic3","NK Cell",179,10.1244343891403
"Cirrhosis","Cirrhotic3","Stellate",80,4.52488687782805
"Cirrhosis","Cirrhotic3","T Cell",155,8.76696832579185
"Cirrhosis","Cirrhotic4","B Cell",160,9.95024875621891
"Cirrhosis","Cirrhotic4","Endothelial",16,0.995024875621891
"Cirrhosis","Cirrhotic4","Hepatocyte",195,12.1268656716418
"Cirrhosis","Cirrhotic4","Macrophage",148,9.20398009950249
"Cirrhosis","Cirrhotic4","NK Cell",498,30.9701492537313
"Cirrhosis","Cirrhotic4","Stellate",3,0.186567164179104
"Cirrhosis","Cirrhotic4","T Cell",588,36.5671641791045
"Cirrhosis","Cirrhotic5","B Cell",116,11.8852459016393
"Cirrhosis","Cirrhotic5","Endothelial",15,1.53688524590164
"Cirrhosis","Cirrhotic5","Hepatocyte",97,9.93852459016393
"Cirrhosis","Cirrhotic5","Macrophage",114,11.6803278688525
"Cirrhosis","Cirrhotic5","NK Cell",108,11.0655737704918
"Cirrhosis","Cirrhotic5","Stellate",5,0.512295081967213
"Cirrhosis","Cirrhotic5","T Cell",521,53.3811475409836
"Healthy","Healthy1","B Cell",38,3.85786802030457
"Healthy","Healthy1","Endothelial",148,15.0253807106599
"Healthy","Healthy1","Hepatocyte",155,15.7360406091371
"Healthy","Healthy1","Macrophage",245,24.8730964467005
"Healthy","Healthy1","NK Cell",170,17.258883248731
"Healthy","Healthy1","Stellate",68,6.90355329949239
"Healthy","Healthy1","T Cell",161,16.3451776649746
"Healthy","Healthy2","B Cell",78,2.04724409448819
"Healthy","Healthy2","Endothelial",50,1.31233595800525
"Healthy","Healthy2","Hepatocyte",545,14.3044619422572
"Healthy","Healthy2","Macrophage",220,5.7742782152231
"Healthy","Healthy2","NK Cell",1965,51.5748031496063
"Healthy","Healthy2","Stellate",242,6.35170603674541
"Healthy","Healthy2","T Cell",710,18.6351706036745
"Healthy","Healthy3","B Cell",115,4.78170478170478
"Healthy","Healthy3","Endothelial",656,27.2765072765073
"Healthy","Healthy3","Hepatocyte",246,10.2286902286902
"Healthy","Healthy3","Macrophage",101,4.1995841995842
"Healthy","Healthy3","NK Cell",840,34.9272349272349
"Healthy","Healthy3","Stellate",226,9.3970893970894
"Healthy","Healthy3","T Cell",221,9.18918918918919
"Healthy","Healthy4","B Cell",90,3.36574420344054
"Healthy","Healthy4","Endothelial",192,7.18025430067315
"Healthy","Healthy4","Hepatocyte",351,13.1264023934181
"Healthy","Healthy4","Macrophage",180,6.73148840688108
"Healthy","Healthy4","NK Cell",1330,49.738219895288
"Healthy","Healthy4","Stellate",6,0.224382946896036
"Healthy","Healthy4","T Cell",525,19.6335078534031
"Healthy","Healthy5","B Cell",14,0.812064965197216
"Healthy","Healthy5","Endothelial",1,0.0580046403712297
"Healthy","Healthy5","Hepatocyte",259,15.0232018561485
"Healthy","Healthy5","Macrophage",248,14.385150812065
"Healthy","Healthy5","NK Cell",665,38.5730858468677
"Healthy","Healthy5","Stellate",1,0.0580046403712297
"Healthy","Healthy5","T Cell",536,31.0904872389791
