"condition","sample","n_cells"
"Cirrhosis","GSM4041161",752
"Cirrhosis","GSM4041162",515
"Cirrhosis","GSM4041163",589
"Cirrhosis","GSM4041164",1065
"Cirrhosis","GSM4041165",1129
"Cirrhosis","GSM4041166",601
"Cirrhosis","GSM4041167",1167
"Cirrhosis","GSM4041168",1608
"Cirrhosis","GSM4041169",976
"Healthy","GSM4041150",593
"Healthy","GSM4041151",273
"Healthy","GSM4041152",119
"Healthy","GSM4041153",2188
"Healthy","GSM4041154",1622
"Healthy","GSM4041155",1120
"Healthy","GSM4041156",970
"Healthy","GSM4041157",315
"Healthy","GSM4041158",1611
"Healthy","GSM4041159",1063
"Healthy","GSM4041160",1724
