"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.51240673790623,0.381,0.027,0,"Hepatocyte","FXYD2"
0,6.12770685754266,0.386,0.037,0,"Hepatocyte","TM4SF4"
0,6.1203517506714,0.277,0.009,0,"Hepatocyte","EPCAM"
0,6.10023857843217,0.283,0.009,0,"Hepatocyte","CLDN3"
0,6.03039031842333,0.274,0.033,0,"Hepatocyte","CD5L"
0,7.10960733274288,0.48,0.018,0,"Macrophage","S100A12"
0,6.75688541233642,0.826,0.161,0,"Macrophage","S100A8"
0,6.57372588231326,0.903,0.197,0,"Macrophage","S100A9"
0,6.179034717101,0.595,0.041,0,"Macrophage","VCAN"
0,5.84802707546888,0.32,0.009,0,"Macrophage","APOBEC3A"
0,5.37844181972051,0.503,0.043,0,"NK Cell","KLRF1"
0,4.96491266588318,0.273,0.019,0,"NK Cell","KLRC1"
0,4.71089273996925,0.677,0.078,0,"NK Cell","KLRD1"
0,4.68598939742532,0.401,0.198,0,"NK Cell","GNLY"
0,4.67561650821803,0.498,0.07,0,"NK Cell","XCL2"
0,8.5074099289278,0.468,0.004,0,"B Cell","VPREB3"
0,7.98365193107227,0.384,0.003,0,"B Cell","FCRLA"
0,7.86428502504987,0.915,0.023,0,"B Cell","CD79A"
0,7.505413602369,0.294,0.003,0,"B Cell","FCRL5"
0,7.36705853127001,0.255,0.003,0,"B Cell","CD19"
0,4.43713157531065,0.404,0.026,0,"T Cell","CD40LG"
0,3.78044522671507,0.759,0.094,0,"T Cell","IL7R"
0,2.79163912982028,0.908,0.35,0,"T Cell","LTB"
0,2.45497039686317,0.331,0.068,0,"T Cell","GPR171"
0,2.42107973707007,0.303,0.072,0,"T Cell","FLT3LG"
0,9.52425488329851,0.348,0.001,0,"Stellate","FOXS1"
0,9.00349345453343,0.591,0.005,0,"Stellate","RERGL"
0,8.98165739200562,0.336,0.001,0,"Stellate","TCF21"
0,8.80804062112765,0.706,0.02,0,"Stellate","RGS5"
0,8.76945967569194,0.289,0.001,0,"Stellate","NTF3"
0,7.87212411169878,0.542,0.006,0,"Endothelial","SOX18"
0,7.45398116020546,0.568,0.005,0,"Endothelial","MYCT1"
0,7.45376625346031,0.793,0.019,0,"Endothelial","CLEC14A"
0,7.4393350215625,0.259,0.003,0,"Endothelial","FAM107A"
0,7.4318317880555,0.441,0.006,0,"Endothelial","SOX17"
0,13.6718092083904,0.483,0,0,"Cholangiocyte","EPGN"
0,12.9398671880429,0.345,0,0,"Cholangiocyte","BRINP2"
0,11.9668790791167,0.966,0.002,0,"Cholangiocyte","PRG4"
0,11.6829970973635,0.517,0,0,"Cholangiocyte","CPA4"
0,11.6634763892067,0.276,0,0,"Cholangiocyte","REG3G"
