"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"RODWELL_AGING_KIDNEY_UP",1.68061289913024e-18,4.59815689202035e-15,1.11466447751729,0.810394177589184,1.41011792556152,474,"RODWELL_AGING_KIDNEY","UP",FALSE
"JIANG_MELANOMA_TRM8_CD4",3.58999081932582e-13,4.91110744083772e-10,0.932595211336209,0.790638142780977,1.37497763686422,420,"JIANG_MELANOMA_TRM8_CD4","BOTH",FALSE
"MCLACHLAN_DENTAL_CARIES_UP",1.12039421456113e-12,1.02179952367975e-09,0.910119734774459,0.839768853254614,1.45770521416413,237,"MCLACHLAN_DENTAL_CARIES","UP",FALSE
"ENK_UV_RESPONSE_KERATINOCYTE_UP",5.22852118843176e-12,3.16941958920391e-09,0.887074988399873,0.771963097733827,1.34314788398904,479,"ENK_UV_RESPONSE_KERATINOCYTE","UP",FALSE
"SMID_BREAST_CANCER_NORMAL_LIKE_UP",5.79206796272644e-12,3.16941958920391e-09,0.887074988399873,0.77535549180431,1.34903448991364,457,"SMID_BREAST_CANCER_NORMAL_LIKE","UP",FALSE
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",8.33012068029327e-12,3.40059067498799e-09,0.875325132024659,0.800129054109265,1.39127617710648,341,"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE","UP",FALSE
"DELYS_THYROID_CANCER_UP",8.70034163922366e-12,3.40059067498799e-09,0.875325132024659,0.781111815587994,1.35842461317869,419,"DELYS_THYROID_CANCER","UP",FALSE
"WALLACE_PROSTATE_CANCER_RACE_UP",2.75628652027038e-11,9.4264998993247e-09,0.863415391606693,0.811708127528434,1.41074854582841,279,"WALLACE_PROSTATE_CANCER_RACE","UP",FALSE
"LINDGREN_BLADDER_CANCER_CLUSTER_2B",4.19431902251668e-11,1.27507298284507e-08,0.851339057116899,0.785505629719683,1.36584713015437,376,"LINDGREN_BLADDER_CANCER_CLUSTER_2B","BOTH",FALSE
"GENGQIU_LUAD_CAF_MARKER_GENES",6.47141451708678e-11,1.77057901187494e-08,0.839088935621274,0.833896391436649,1.44676927975831,220,"GENGQIU_LUAD_CAF_MARKER_GENES","BOTH",FALSE
"JIANG_MELANOMA_TRM3_CD8",7.0513545539268e-10,1.75386418723125e-07,0.801215574617779,0.765977068696455,1.33213385933781,417,"JIANG_MELANOMA_TRM3_CD8","BOTH",FALSE
"MARTENS_BOUND_BY_PML_RARA_FUSION",1.33270326335008e-09,2.89482142127413e-07,0.788186810800237,0.763459628277598,1.32800820930589,432,"MARTENS_BOUND_BY_PML_RARA_FUSION","BOTH",FALSE
"POOLA_INVASIVE_BREAST_CANCER_UP",1.37546339461125e-09,2.89482142127413e-07,0.788186810800237,0.798208868870956,1.38734272687582,273,"POOLA_INVASIVE_BREAST_CANCER","UP",FALSE
"HOSHIDA_LIVER_CANCER_SUBCLASS_S1",2.65465056586133e-09,5.18794567728328e-07,0.774939030136436,0.819369091643544,1.42187764446455,227,"HOSHIDA_LIVER_CANCER_SUBCLASS_S1","BOTH",FALSE
"TARTE_PLASMA_CELL_VS_PLASMABLAST_UP",4.89973798027906e-09,8.93712207602901e-07,0.761460801445585,0.775152881519586,1.34788532797784,336,"TARTE_PLASMA_CELL_VS_PLASMABLAST","UP",FALSE
"MCBRYAN_PUBERTAL_BREAST_4_5WK_UP",5.28728390487014e-09,9.04125547732795e-07,0.761460801445585,0.811915152483821,1.40956126658162,243,"MCBRYAN_PUBERTAL_BREAST_4_5WK","UP",FALSE
"REN_ALVEOLAR_RHABDOMYOSARCOMA_DN",1.25804426804706e-08,2.02471124551574e-06,0.747739663149885,0.765609165570548,1.3314750114806,400,"REN_ALVEOLAR_RHABDOMYOSARCOMA","DN",FALSE
"NABA_CORE_MATRISOME",3.0727693794997e-08,4.37748574684167e-06,0.719512826338911,0.79588359451395,1.38161007449642,242,"NABA_CORE_MATRISOME","BOTH",FALSE
"HELLER_SILENCED_BY_METHYLATION_UP",3.11515173809229e-08,4.37748574684167e-06,0.719512826338911,0.796946513616985,1.38398879660325,249,"HELLER_SILENCED_BY_METHYLATION","UP",FALSE
"OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN",3.1999164816094e-08,4.37748574684167e-06,0.719512826338911,0.78690409837662,1.36740177146231,268,"OISHI_CHOLANGIOMA_STEM_CELL_LIKE","DN",FALSE
"VERHAAK_GLIOBLASTOMA_MESENCHYMAL",3.66612309696712e-08,4.76442625341648e-06,0.719512826338911,0.807087083518988,1.40010946345706,215,"VERHAAK_GLIOBLASTOMA_MESENCHYMAL","BOTH",FALSE
"QI_PLASMACYTOMA_UP",3.920417912572e-08,4.76442625341648e-06,0.719512826338911,0.799047380880583,1.3871526271963,239,"QI_PLASMACYTOMA","UP",FALSE
"LIM_MAMMARY_STEM_CELL_UP",4.00518288847146e-08,4.76442625341648e-06,0.719512826338911,0.747532153983332,1.3006321365145,454,"LIM_MAMMARY_STEM_CELL","UP",FALSE
"SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1",5.30420715976987e-08,6.04679616213766e-06,0.719512826338911,0.771178186350836,1.34109100408345,361,"SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1","BOTH",FALSE
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP",6.13949928643478e-08,6.63776686210566e-06,0.704975715167238,0.73884368251595,1.28566485101216,472,"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS","UP",FALSE
"MA_RAT_AGING_DN",6.30781938650391e-08,6.63776686210566e-06,0.704975715167238,0.834579532211228,1.44339443212369,146,"MA_RAT_AGING","DN",FALSE
"GRUETZMANN_PANCREATIC_CANCER_UP",7.14185214057565e-08,7.23707683578333e-06,0.704975715167238,0.765654067162573,1.33137544770585,349,"GRUETZMANN_PANCREATIC_CANCER","UP",FALSE
"BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP",1.76881596070253e-07,1.72838588160075e-05,0.690132458796796,0.840128211863246,1.45251250764382,141,"BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS","UP",FALSE
"LI_INDUCED_T_TO_NATURAL_KILLER_UP",2.2225123717141e-07,2.09682546517578e-05,0.690132458796796,0.773711352556225,1.34478454344238,296,"LI_INDUCED_T_TO_NATURAL_KILLER","UP",FALSE
"RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",2.38473676920475e-07,2.12217112559404e-05,0.674962860011025,0.745081571393717,1.29577370261191,399,"RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4","UP",FALSE
"GAL_LEUKEMIC_STEM_CELL_DN",2.48207149192286e-07,2.12217112559404e-05,0.674962860011025,0.797248346886961,1.38304153045669,215,"GAL_LEUKEMIC_STEM_CELL","DN",FALSE
"SWEET_LUNG_CANCER_KRAS_DN",2.48207149192286e-07,2.12217112559404e-05,0.674962860011025,0.75600649217256,1.31480078285039,390,"SWEET_LUNG_CANCER_KRAS","DN",FALSE
"MOREAUX_MULTIPLE_MYELOMA_BY_TACI_UP",2.64429614777071e-07,2.1923618970608e-05,0.674962860011025,0.766809353704503,1.33305153702979,329,"MOREAUX_MULTIPLE_MYELOMA_BY_TACI","UP",FALSE
"CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN",3.74154970508692e-07,3.01084705679936e-05,0.674962860011025,0.812800767858755,1.4065274776729,166,"CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1","DN",FALSE
"BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP",3.93263288587618e-07,3.07419530735921e-05,0.674962860011025,0.74603934658647,1.29741954338171,410,"BOQUEST_STEM_CELL_CULTURED_VS_FRESH","UP",FALSE
"MULLIGHAN_MLL_SIGNATURE_2_UP",4.38024027959144e-07,3.3289826124895e-05,0.674962860011025,0.74226773575227,1.29084935061863,402,"MULLIGHAN_MLL_SIGNATURE_2","UP",FALSE
"JIANG_MELANOMA_TRM4",4.7643808123904e-07,3.52306646018922e-05,0.674962860011025,0.80788361570555,1.4000723292624,193,"JIANG_MELANOMA_TRM4","BOTH",FALSE
"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP",6.04278776890538e-07,4.28410738596074e-05,0.659444398037935,0.742463500153604,1.29130386160618,412,"BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB","UP",FALSE
