"gene","metabolite","r","p_value","FDR"
"TREM2","Phenylalanine",0.819120249574637,3.59400299413016e-13,6.57702547925819e-11
"TREM2","Glycodeoxycholate",0.78825743198193,1.08382583547906e-11,9.9170063946334e-10
"TREM2","Isoleucine",0.768516494373426,7.22223123996214e-11,3.96520043181457e-09
"TREM2","Taurodeoxycholate",0.76650963303758,8.66710476899359e-11,3.96520043181457e-09
"COL1A1","Glycodeoxycholate",0.742111965545703,6.9491843692336e-10,2.5434014791395e-08
"COL1A1","Isoleucine",0.728205822696381,2.05809735701513e-09,6.27719693889613e-08
"COL1A1","Taurodeoxycholate",0.723897821634325,2.84288967402072e-09,7.43212586208273e-08
"TREM2","Glycocholate",0.701948941273756,1.34866916269851e-08,3.08508070967284e-07
"TREM2","Deoxycholate",0.69839858443022,1.71239031524497e-08,3.48186030766478e-07
"COL1A1","Tyrosine",0.691389342077761,2.71649801761864e-08,4.97119137224212e-07
"COL1A1","Phenylalanine",0.684524077275728,4.216434213232e-08,7.01461328201324e-07
"TREM2","Chenodeoxycholate",0.67048677890246,9.99481128204825e-08,1.40726642006272e-06
"TREM2","Tyrosine",0.670483162258344,9.99697456875156e-08,1.40726642006272e-06
"TREM2","Cholate",0.666656687247399,1.25484692454649e-07,1.64026419422862e-06
"COL1A1","Glutamine",-0.654469500575279,2.53349783147669e-07,3.09086735440156e-06
"TREM2","SM_34.1",0.63658295045853,6.72180487284207e-07,7.68806432331311e-06
"TREM2","Ceramide_d18.1_16.0",0.634779164353589,7.39132501658082e-07,7.956543988437e-06
"ALB","Leucine",-0.629696365049639,9.6273554104601e-07,9.78781133396777e-06
"COL1A1","Deoxycholate",0.622534780184786,1.38605632959783e-06,1.32490886793108e-05
"COL1A1","Glycocholate",0.621663586524512,1.44798783380446e-06,1.32490886793108e-05
"TREM2","EPA_C20.5n3",-0.619491351863897,1.61379842372893e-06,1.40631005496378e-05
"COL1A1","Cholate",0.61083690716721,2.46580108497782e-06,2.05109817523155e-05
"TREM2","Myristoylcarnitine",0.608472825630591,2.7625041048014e-06,2.19799239642894e-05
"TREM2","Leucine",0.603981751641015,3.41942199717343e-06,2.60730927284474e-05
"COL1A1","Myristoylcarnitine",0.595197574428797,5.1420498582532e-06,3.53177507336928e-05
"COL1A1","Palmitoleate_C16.1",0.59509305390419,5.16669818946396e-06,3.53177507336928e-05
"ALB","Isoleucine",-0.594326254725508,5.35090229097198e-06,3.53177507336928e-05
"COL1A1","Chenodeoxycholate",0.594110537233723,5.40380885542841e-06,3.53177507336928e-05
"TREM2","Glutamine",-0.592028239647702,5.94001928582789e-06,3.74835699760863e-05
"TREM2","Stearoylcarnitine",0.588742063094411,6.8873352486115e-06,4.13456279482527e-05
"TREM2","Taurocholate",0.588367047847397,7.00390418795537e-06,4.13456279482527e-05
"COL1A1","SM_34.1",0.585647098690191,7.90560310182574e-06,4.52101677385659e-05
"COL1A1","Taurocholate",0.578202559726973,1.0951827427279e-05,6.07328611876382e-05
"ALB","Taurodeoxycholate",-0.57421824093559,1.29966179393183e-05,6.99523847910368e-05
"ALB","Chenodeoxycholate",-0.561650439569693,2.19834073630522e-05,0.000114941815641101
"ALB","Glycocholate",-0.559441533584094,2.4058128494074e-05,0.000122295486511543
"ALB","Phenylalanine",-0.55723869052065,2.63053625661883e-05,0.000123848495511221
"TREM2","Palmitoylcarnitine",0.557164783352599,2.63840044132198e-05,0.000123848495511221
"TREM2","Palmitoleate_C16.1",0.557155458809884,2.63939416663257e-05,0.000123848495511221
