Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SH0004	Extraction		SH0004	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0004	FILES/1.zip	Data transformation	SH0004		Metabolite identification	SH0004	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0007	Extraction		SH0007	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0007	FILES/2.zip	Data transformation	SH0007		Metabolite identification	SH0007	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0008	Extraction		SH0008	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0008	FILES/3.zip	Data transformation	SH0008		Metabolite identification	SH0008	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0009	Extraction		SH0009	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0009	FILES/4.zip	Data transformation	SH0009		Metabolite identification	SH0009	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0011	Extraction		SH0011	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0011	FILES/5.zip	Data transformation	SH0011		Metabolite identification	SH0011	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0018	Extraction		SH0018	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0018	FILES/6.zip	Data transformation	SH0018		Metabolite identification	SH0018	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0021	Extraction		SH0021	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0021	FILES/7.zip	Data transformation	SH0021		Metabolite identification	SH0021	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0022	Extraction		SH0022	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0022	FILES/8.zip	Data transformation	SH0022		Metabolite identification	SH0022	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0024	Extraction		SH0024	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0024	FILES/9.zip	Data transformation	SH0024		Metabolite identification	SH0024	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
SH0025	Extraction		SH0025	NMR sample	4.25 mm (Bruker BioSpin)			0.07 M phosphate buffered D2O			7.4	313.4	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker 600 MHz spectrometer			5 mm CPTCI			64	1D CPMG with presaturation (cpmgpr1d)	14.1	Tesla	NCIT			NMR assay	SH0025	FILES/10.zip	Data transformation	SH0025		Metabolite identification	SH0025	m_MTBLS174_hna_fld_metabolite_profiling_NMR_spectroscopy_v2_maf.tsv
