"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-4.68805470175441,11.0252357222222,-14.8706252900198,2.9325919481941e-22,5.3039025950333e-18,40.0293281809288,"FOSB","Down"
-2.11441101973687,11.9220382619048,-14.6000337571481,7.20754760518614e-22,5.3039025950333e-18,39.1664432714819,"MIR21","Down"
-1.81646765570179,13.2050295,-14.5824828555615,7.64287803693737e-22,5.3039025950333e-18,39.1101301773646,"AXUD1","Down"
-1.66496658552635,12.289231515873,-13.9599173973107,6.27638017430924e-21,3.2666989712236e-17,37.0852517918719,"AGPAT9","Down"
-1.41994649671057,13.1988630873016,-13.3188726150558,5.77820054758327e-20,2.40592714400272e-16,34.9444878400481,"CEBPD","Down"
-2.23169584210529,11.8522873492064,-13.219805890117,8.18130862046156e-20,2.83877773615649e-16,34.6086021255995,"FAM107A","Down"
-1.48326024780705,13.5271651587302,-13.0814398659881,1.33253880216003e-19,3.96316076030996e-16,34.1372125630331,"GADD45B","Down"
-2.85550138815792,11.4738221507937,-12.8936675662245,2.59349901128556e-19,6.74925698949426e-16,33.4933005709127,"JUNB","Down"
-3.21117884429827,11.0147719444444,-12.644496483507,6.31938807566055e-19,1.46181489274641e-15,32.6313928940757,"SOCS3","Down"
-1.88149692434213,11.0014109365079,-12.2310095974061,2.81887078227883e-18,5.38877887317374e-15,31.1825064579432,"EPHA2","Down"
-2.211790316886,12.5094526428571,-12.2211688106344,2.92175964948971e-18,5.38877887317374e-15,31.1477431972917,"MYC","Down"
1.56164480482453,10.2693077698413,12.2043843185622,3.10607360959147e-18,5.38877887317374e-15,31.088420916107,"TYMS","Up"
-1.97683242324565,12.8594298809524,-12.1220532273399,4.19518110895567e-18,6.71842119287294e-15,30.7968889248464,"SOCS2","Down"
-0.943601802631614,13.813195484127,-11.9978180517336,6.61339764101028e-18,9.83459467772807e-15,30.3552681721776,"ADRB2","Down"
-1.48641008333337,12.7477459365079,-11.9746198145854,7.20158664557799e-18,9.99532215828588e-15,30.272578379649,"PPRC1","Down"
-2.43198143421056,11.6835719365079,-11.944116073819,8.05617331736101e-18,1.04825920183837e-14,30.1637400316321,"ADAMTS1","Down"
-1.74361124561407,12.0001676507937,-11.6801848507064,2.13591217405889e-17,2.61573856186659e-14,29.2169261269149,"PPP1R15A","Down"
2.34103861513155,10.5169120396825,11.5593942110927,3.34666594101178e-17,3.87079101255134e-14,28.7805874958034,"FMO1","Up"
-1.21025963706144,12.9655987936508,-11.4630599216651,4.79404261629934e-17,5.2530091173019e-14,28.4312509454201,"ARID5B","Down"
-1.11896127412284,13.550552484127,-11.4180298836671,5.67321482378442e-17,5.90553297081839e-14,28.2675530409899,"PELI1","Down"
