"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04740","Olfactory transduction",403,-0.514757068072653,-2.90932343828684,1e-10,8.675e-09,4.29406518151577e-09,6215,"tags=75%, list=37%, signal=49%","138803/390157/390197/127077/504189/128368/5136/403277/401993/254879/4994/390059/283189/391109/341276/196335/128366/26595/120065/219968/403244/79290/26707/390327/138883/256892/219438/390154/26341/390275/81327/81282/390648/26476/119682/5137/390081/81050/79345/442194/338662/284521/26494/26686/219875/338751/403274/8590/128372/81168/219982/391114/120776/127069/283365/441639/119772/119679/26245/128371/57101/128367/138804/283694/387748/219958/219473/283093/390168/390436/219428/81448/219437/143503/219432/346525/134083/390199/51806/109/282775/119774/81127/119694/5593/390148/401994/403284/343406/120066/390431/125962/219447/403282/390162/135946/390072/138882/441670/26212/283092/392309/815/391107/341152/26659/26496/389090/390195/79310/390271/283159/26692/390429/8387/26246/26339/8386/10798/504190/219956/390260/81061/390054/391194/390433/219464/390083/26188/126541/120787/127074/391191/8383/26529/119692/441608/391192/219869/441933/81318/26696/219453/341568/1262/26533/347168/343172/81697/2774/219870/81470/121275/79295/219865/390058/283297/126370/26219/128360/219952/8392/403273/283162/219874/219981/390167/219469/390142/26737/403257/284433/127059/122742/391112/390037/4993/390036/219965/403239/120793/338674/390201/341418/26532/143502/390323/81099/343173/127385/26338/138805/390063/123041/390093/121364/81696/254973/392391/390261/402317/219436/393046/79317/219960/338755/81469/26648/390191/390882/26248/120586/346528/440153/653166/390061/338675/81797/124538/390321/392390/26539/442186/283160/125958/219493/340980/390190/119764/816/390113/442191/26531/79324/119687/26735/135948/391190/255725/254786/392392/286365/219986/390326/285659/4995/79544/120796/26683/26658/122748/81392/56656/256144/26493/729759/26664/26538/26534/390445/403253/283111/127623/26689/119749/390064/81328/390181/390649/390892/122740/79473/219959/441308/119695/79541/125963/4992/341799/26211/391211/219484/6547/162998/219477/390144/390439/219983/1261/390038/79501/158131/81442/81309/391189/401427/26716/83988/121130/6543/1258/284383/5997",NA
"hsa04657","IL-17 signaling pathway",86,-0.569003135574481,-2.62347229305814,1e-10,8.675e-09,4.29406518151577e-09,1555,"tags=31%, list=9%, signal=29%","4314/4318/6374/7128/9618/6356/6364/5596/4790/2919/3727/4792/6354/6280/1051/10758/6279/1440/3553/3725/3569/2920/8061/5743/6347/2353/2354",NA
"hsa04668","TNF signaling pathway",114,-0.544296668498326,-2.59577590556177,1e-10,8.675e-09,4.29406518151577e-09,1555,"tags=33%, list=9%, signal=30%","4314/4318/84699/468/6374/7128/64127/8809/6364/7133/4790/3383/2919/4792/3659/5606/6416/1051/197259/7424/9252/330/1906/9020/3976/3553/9586/3725/3569/7132/2920/5743/6347/602/2353/1326/9021/3726",NA
"hsa04146","Peroxisome",80,0.601033752866014,2.57558246445462,1e-10,8.675e-09,4.29406518151577e-09,4226,"tags=64%, list=25%, signal=48%","8528/11264/1610/51268/23600/8799/8443/4598/283927/5052/196743/55825/1384/23417/26061/8309/3417/51179/5191/10005/10901/5189/30/5192/10654/3418/8504/570/5827/25824/9409/10478/3155/54363/2053/373156/6342/5195/1962/7498/92960/5193/225/847/5825/8540/1891/51/8800/55711/83594",NA
"hsa00620","Pyruvate metabolism",48,0.572382570062143,2.19834221339238,5.00416998557227e-06,0.000133572844999506,6.61176372228682e-05,2917,"tags=48%, list=17%, signal=40%","4199/10327/134526/31/55902/128/219/97/2739/4190/98/151313/5162/51011/224/197257/3029/130/1738/131/5313/5106/127",0.610526878385931
"hsa04380","Osteoclast differentiation",132,-0.436611301663768,-2.15538957035035,9.95362427352992e-08,4.3173845286436e-06,2.13707557114275e-06,937,"tags=18%, list=6%, signal=17%","3552/4773/10326/11025/4790/3727/4792/353514/3708/488/9020/140885/3553/4791/3459/3725/8651/7132/8061/2353/2355/9021/3726/2354",0.704975715167238
"hsa03410","Base excision repair",42,0.580926764295393,2.14160174729638,6.57640419543207e-06,0.000163000875415352,8.06843093576546e-05,5250,"tags=74%, list=31%, signal=51%","5111/4968/10038/5985/5427/252969/5984/7515/5981/11232/5423/10039/5428/3978/55247/5424/5425/7374/23583/5983/2237/79661/57804/56655/328/4913/55775/10714/54107/4350/27343",0.610526878385931
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",92,-0.450707155552867,-2.09633963369084,4.16601564637551e-06,0.000120467285774358,5.96304757758366e-05,1935,"tags=33%, list=11%, signal=29%","1236/10344/388372/8794/10563/6374/6355/8809/414062/11009/6356/6364/4055/7133/3559/2919/7852/6348/50604/6354/3577/8807/8795/8793/8740/3586/3569/7132/2920/6347",0.610526878385931
"hsa01040","Biosynthesis of unsaturated fatty acids",23,0.650904749785382,2.0907581773027,8.56665880473372e-05,0.00103298055056499,0.000511318249609696,3058,"tags=52%, list=18%, signal=43%","54898/11332/3992/64834/9415/79071/60481/30/6319/570/10965/6342",0.538434096309916
"hsa00280","Valine, leucine and isoleucine degradation",47,0.552464447502246,2.08423704218147,2.00264755905884e-05,0.00031587213772428,0.000156354530076402,4051,"tags=53%, list=24%, signal=41%","65985/5096/219/1629/56922/27034/3028/549/64902/30/3157/224/3033/3712/26275/35/3032/1738/84693/3155/1962/594/34/5095/38",0.575610261071129
