"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04740","Olfactory transduction",403,-0.511796464894969,-3.02621608173769,1e-10,5.78333333333333e-09,2.29193410140258e-09,5499,"tags=69%, list=33%, signal=48%","138804/135924/26686/219428/23538/128368/219438/26245/26707/219417/401993/390113/390148/128366/390167/283162/390437/256892/138883/119774/26341/653166/390154/401665/120586/79339/393046/5137/284433/390892/390142/390197/343406/10798/390083/26529/219482/127074/26532/441670/504190/81448/8386/390063/26338/403284/1261/341416/403273/283093/390157/127385/138803/119679/79324/81050/390195/121364/120793/109/389090/26659/390066/346528/390078/255725/128367/341568/81697/391107/815/26188/122742/390649/219447/391191/390323/219493/26494/343173/390429/390162/390327/390538/121275/392392/284521/1260/79295/390054/158131/26212/26737/1258/4995/390199/119692/390275/26219/283297/219869/219473/392309/26538/4993/120775/26696/219986/390648/196335/403239/390081/26246/126370/138805/387748/26248/390072/26689/341418/343172/390431/124538/26496/79290/283365/403277/219436/127059/26533/219874/390036/390144/403257/390261/219484/390064/26531/219453/143502/391192/26339/219959/81061/338755/135946/441639/283111/81168/120066/390058/128371/81327/219437/81127/81318/341152/6546/119687/26539/219981/8392/390181/81442/219865/347168/81470/79310/120787/122740/390271/390168/390093/2774/390439/390433/79541/340980/338674/441933/390445/8383/128372/81099/219464/392391/219432/346525/81328/441608/403282/26658/219968/286365/390061/805/391112/282775/135941/79544/79317/125958/83988/5593/123041/26692/392390/390436/254973/816/390326/442191/81309/120065/219982/81696/283092/390191/26664/403253/79473/56656/283160/390201/119695/219477/440153/119694/390190/81469/26648/120796/254786/338675/119764/391211/284383/122748/26493/283159/441308/79501/390037/219952/6547/729759/219983/26211/125963/26735/283189/81392/26683/391190/390321/219870/390038/135948/81797/256144/442186/219965/4992/341799/403274/128360/127623/219960/26716/401427/401994/391189/162998/121130/285659/119749/6543/5997",NA
"hsa03010","Ribosome",162,0.582996068851934,2.97922357283423,1e-10,5.78333333333333e-09,2.29193410140258e-09,5408,"tags=74%, list=32%, signal=51%","64975/84545/63931/23521/65003/51650/54460/55173/51642/29074/116832/740/64928/28998/10573/51258/6157/6147/116541/6165/9553/6182/64976/51264/6129/6209/64951/64981/6227/84311/6193/51023/51373/2197/6156/64965/6150/6231/6144/29093/25873/64960/51081/6122/65993/6130/6187/6164/51318/11224/6134/56945/128308/6202/51065/9349/64949/28957/6203/65008/64979/9801/6224/51121/55168/55052/51253/23107/6154/6205/64963/54148/6218/6136/219927/28973/6168/124995/4736/6132/6188/6137/3921/57129/6175/7818/6171/6123/6229/51263/6135/64968/6189/6207/6192/6210/26589/6146/79590/6206/6235/6233/122704/64978/6160/51649/63875/64969/6208/6176/6194/6167/6159/6138/6228/6133/6234/54948/6139/29088",NA
"hsa04657","IL-17 signaling pathway",86,-0.612526994493392,-2.90131021921399,1e-10,5.78333333333333e-09,2.29193410140258e-09,1164,"tags=35%, list=7%, signal=33%","5602/8517/23765/4792/4790/7128/6356/4314/5596/6279/6372/6374/6280/6354/4318/2919/10758/1440/1051/2920/6364/3553/3569/5743/3727/8061/6347/2353/3725/2354",NA
"hsa04668","TNF signaling pathway",114,-0.57994629558227,-2.88203044136808,1e-10,5.78333333333333e-09,2.29193410140258e-09,1269,"tags=35%, list=8%, signal=33%","7133/5291/5602/8517/4792/4790/3659/84699/7128/64127/4314/3383/1435/6372/197259/9020/6374/6416/1906/4318/9252/2919/1051/3976/7424/2920/6364/7132/3553/9586/3569/5743/330/602/1326/6347/2353/3725/3726/9021",NA
"hsa04380","Osteoclast differentiation",132,-0.522071582719544,-2.69027716766022,1e-10,5.78333333333333e-09,2.29193410140258e-09,1313,"tags=28%, list=8%, signal=26%","11026/27035/5291/10288/5602/4772/8517/4792/3552/7042/4790/2274/4773/10326/1435/9020/2209/5971/4982/353514/488/140885/3708/7132/3553/4791/8651/2212/3727/3459/8061/2353/2355/3725/3726/9021/2354",NA
"hsa04146","Peroxisome",80,0.541763735658362,2.47347046831492,6.5616309759236e-09,2.06989631695045e-07,8.20299588793024e-08,4033,"tags=59%, list=24%, signal=45%","8528/1610/283927/11264/8799/5827/9409/196743/51268/10901/8309/8443/23600/4598/10005/26061/5192/10654/92960/23417/3417/55825/51179/25824/5191/3155/5052/10478/30/8800/1384/2053/373156/847/3418/570/8504/6647/8540/5195/83594/5824/54677/5189/26063/5830/54363",0.761460801445585
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",92,-0.512383258618179,-2.44537614692663,3.32914261216003e-09,1.15521248641953e-07,4.57810528874522e-08,1576,"tags=35%, list=9%, signal=32%","1236/1230/8809/7133/10563/6367/8794/6355/3577/4055/6348/6356/1435/11009/6372/6374/3572/6354/50604/2919/8740/3559/8807/3586/8795/8793/7852/2920/6364/7132/3569/6347",0.774939030136436
"hsa04933","AGE-RAGE signaling pathway in diabetic complications",98,-0.487442722929669,-2.3551430206556,7.74619768414691e-09,2.23994216366581e-07,8.87688731425098e-08,2211,"tags=35%, list=13%, signal=30%","581/23236/3717/1285/7048/1286/27035/5291/5602/4772/3552/7042/1278/4790/4846/4313/3383/3845/185/1282/1906/2152/6774/7424/7043/2308/5054/3553/3569/1958/7056/6347/5292/3725",0.747739663149885
"hsa03420","Nucleotide excision repair",58,0.553949795373495,2.34655293523576,1.6897894982193e-07,3.65440769133619e-06,1.44824120026535e-06,2810,"tags=47%, list=17%, signal=39%","5985/6117/5427/5436/1069/404672/9978/5435/5981/5111/2068/6119/548644/7507/5441/1161/5438/5434/6118/246721/3978/5439/56655/4331/1022/57804/5425",0.690132458796796
"hsa04630","JAK-STAT signaling pathway",162,-0.435866313143431,-2.33118879828747,2.40721195551623e-10,1.19328935509162e-08,4.72900386012997e-09,4197,"tags=43%, list=25%, signal=32%","3568/896/596/3445/3444/3575/3440/1438/29949/3594/4170/149233/122809/3456/3460/2689/116379/1950/56832/3449/3716/1270/3562/3589/1443/2688/3567/3581/1489/2057/3565/3717/3448/50616/894/5771/5291/1439/5156/9466/3953/7066/598/2273/11009/1441/3718/5008/3572/3601/50604/5155/1440/3559/3976/3566/3586/6774/1026/23529/1154/8651/3569/9180/3459/5292/8835/9021/4609",0.814035837847908
"hsa03410","Base excision repair",42,0.591896846488319,2.29710560204336,2.02666528100968e-06,2.51161733039414e-05,9.9535355778744e-06,2810,"tags=50%, list=17%, signal=42%","4968/5985/5427/10038/4913/5423/23583/5981/252969/11232/5111/10039/7515/79661/27343/4350/7374/3978/56655/57804/5425",0.627256739718528
