"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",194,-0.773322995677789,-4.00664610545011,1e-10,8.33333333333333e-10,3.15789473684211e-10,1632,"tags=60%, list=10%, signal=55%","7262/5328/8877/9322/5271/490/2683/8848/3398/3604/7128/5971/4088/8744/5966/3552/5055/1026/6890/1827/51278/6364/6648/2152/3601/4790/3383/79693/2919/597/10010/8660/4792/3659/5606/7832/23135/4780/10209/23258/7050/7071/7097/1051/24147/25976/3280/650/687/19/9334/5329/1843/2669/8767/5791/330/4084/1906/9945/5806/57018/7130/10365/5054/10135/3976/80176/3553/1960/5142/4791/6446/1958/1316/10950/23529/9314/8870/2114/8013/4929/5209/3725/23764/6385/3949/6515/7538/3569/150094/1847/2920/388/8061/5743/6347/3164/602/604/467/1839/10221/80149/10957/2353/4783/22822/2355/1326/23645/4609/9021/3726/4616/1052/2354",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",197,-0.542361819371341,-2.80219556545573,1e-10,8.33333333333333e-10,3.15789473684211e-10,1533,"tags=36%, list=9%, signal=33%","8877/6542/4693/4891/490/10630/23601/3604/2867/8744/196/64127/2769/7076/3552/8809/1026/6364/2152/3386/3601/7133/2014/4790/3383/6004/3656/3696/929/4792/3659/7832/6354/6402/9180/166929/7097/488/5008/6541/19/5329/8767/5791/4084/1440/1906/7130/5054/10135/8807/1441/3976/3553/5142/5732/1902/728/2357/3586/1316/60675/3037/3566/3949/3569/5996/6347/1839/133/4609",NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,-0.580522029346512,-2.69554546722152,1e-10,8.33333333333333e-10,3.15789473684211e-10,1169,"tags=34%, list=7%, signal=32%","6774/928/8809/2/4055/3601/7133/1439/3559/2919/3953/929/3659/6354/9180/7097/5770/51330/1441/3553/3162/3459/3566/3725/8651/3569/7132/5292/1326/9021",NA
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",188,-0.491097776063873,-2.52751375058624,1e-10,8.33333333333333e-10,3.15789473684211e-10,1836,"tags=32%, list=11%, signal=29%","9308/27242/26018/333/3099/64375/7371/10888/6484/943/3394/8829/28960/64866/3482/152007/3604/4839/196/1493/80760/8809/5359/7133/6004/3559/7372/4953/6402/23258/158219/650/5621/9261/4084/55509/8728/80324/3976/2012/5732/3586/3459/1154/1316/3566/23764/8651/81848/9173/6515/5033/388/4783/22822/5292/64332/1326/8835/4609/4616",NA
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",185,-0.47769254613034,-2.47555350035419,1e-10,8.33333333333333e-10,3.15789473684211e-10,2247,"tags=33%, list=13%, signal=29%","3906/7162/6533/123/3219/3798/6820/6513/26118/3098/3099/8614/5155/5105/9469/3423/7128/2542/5214/1026/5228/2152/2131/7852/8660/8819/23210/4502/25976/3036/5329/9590/1843/55276/857/6781/2309/3484/7043/5054/51129/3162/10891/1316/8870/5209/3725/23764/6385/6515/7538/5033/3569/467/10957/2353/4783/133/5292/2355/23645",NA
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",55,-0.586316302727312,-2.43096505781827,6.40481962101629e-08,2.9112816459165e-07,1.10322251845257e-07,2070,"tags=44%, list=12%, signal=38%","6723/26354/51491/6832/79711/3329/3099/9221/2193/9238/9136/81887/4839/51154/8886/705/51388/80324/10199/56342/23223/10171/23082/4609",0.704975715167238
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",151,0.495759542421205,2.30470028354562,1e-10,8.33333333333333e-10,3.15789473684211e-10,4788,"tags=57%, list=28%, signal=41%","2326/4199/2819/5720/218/8608/3422/51109/84263/873/3248/1384/4190/5465/2027/23417/670/1371/2194/8802/50814/3028/728294/3417/549/51179/5162/10005/11343/5910/60481/30/2752/3157/224/92840/3033/1376/912/50/26275/35/7389/3032/210/8803/3421/79602/1738/23173/131/84693/3155/6296/10965/5092/658/6584/1962/594/10961/158/948/54884/34/2110/2954/9246/1429/29781/6389/1891/51/3420/3956/328/4282/644/2052/4913/1666/1718/6392/7390/5160/33",NA
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",111,0.507296140049804,2.27059968448694,1.30832468187178e-08,6.54162340935892e-08,2.47893097617812e-08,4226,"tags=54%, list=25%, signal=41%","8412/1581/2030/9963/10133/3932/64241/51268/23600/3992/8443/3422/9415/20/196743/3283/55825/64577/23417/26061/3417/5191/8424/5189/8856/2232/5213/347734/8431/3418/4306/21/1733/866/5827/25824/23461/9409/27284/54363/2053/5947/373156/6310/6342/9971/92960/5193/2638/54884/225/8630/847/5825/6256/8800/23460/4734/1593/83594",0.747739663149885
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",183,0.453162879996087,2.19361870152966,1.19782372225042e-09,7.4863982640651e-09,2.8369509211194e-09,2981,"tags=40%, list=18%, signal=33%","3161/7283/10635/1033/7083/6941/9232/6790/5111/4436/4171/9918/672/991/4085/3070/29089/29980/11200/7153/4175/7514/10535/9212/4174/3835/25842/3925/5981/147841/6117/1111/4292/5889/203068/9319/23649/994/9833/11004/10460/204/8914/1434/1633/10606/55723/1163/5931/701/3978/5424/9837/29028/5425/7374/1062/8726/64785/197335/23468/10733/6119/10664/9700/5983/29127/1031/64858/55635/5885/3149/1854",0.788186810800237
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,-0.420082500218901,-2.17706965060279,3.53285669752427e-10,2.52346906966019e-09,9.56261963239651e-10,1776,"tags=27%, list=11%, signal=24%","2192/333/627/2303/4314/4256/3398/4313/10398/7128/8038/966/7078/7076/3673/11167/5396/10272/25878/22943/5744/5021/7169/3918/10409/5118/2014/1462/1809/59/2919/2006/4487/5376/5352/6876/5329/2669/7424/2697/5806/4837/51330/5054/3485/3725/6385/3569/388/7049/7057/4616",0.814035837847908
