"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",194,-0.78935435544161,-4.17674166028641,1e-10,7.14285714285714e-10,2.55639097744361e-10,1121,"tags=60%, list=7%, signal=56%","5055/4792/9242/3552/79693/4790/3659/25816/25976/7128/7127/3398/8848/10365/3383/597/5966/3280/1435/3604/6372/7097/687/8660/57018/1906/4780/24147/5971/9308/3572/4973/23135/23258/6890/3601/1847/2919/10950/19/5328/650/2152/51278/1051/10209/8767/3976/7050/9945/1827/6648/5329/5142/7071/1026/4929/5806/1843/5791/9334/4084/7130/9314/5271/1960/23529/2920/6364/5054/3553/4791/7538/7832/23764/2669/3569/8013/3164/5743/1958/6385/2114/10135/5209/330/8870/604/4783/6446/6515/8061/80176/10221/80149/1839/388/150094/602/3949/1316/10957/1326/6347/2353/1052/2355/467/3725/23645/4616/3726/9021/2354/4609/22822",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",197,-0.580393437161589,-3.16301683447739,1e-10,7.14285714285714e-10,2.55639097744361e-10,1873,"tags=41%, list=11%, signal=37%","196/970/10148/8744/6542/1236/6869/8809/969/2867/10630/7133/8877/3386/8578/5817/6367/4792/3552/4790/3659/929/3656/64127/3383/1435/2014/1441/3604/6372/7097/4067/23601/5008/1906/166929/6354/4973/3601/3091/19/1440/2152/3696/8767/3976/3566/8807/7076/3586/6402/1902/6004/5329/488/5142/1026/6541/5732/5791/2357/4084/7130/60675/3037/6364/5054/3553/7832/3569/9180/10135/133/5996/1839/3949/728/1316/6347/4609",NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,-0.634657118319788,-2.94746212282875,1e-10,7.14285714285714e-10,2.55639097744361e-10,1814,"tags=44%, list=11%, signal=39%","10148/5771/1230/8809/7133/1439/10563/23765/4055/3659/929/3953/928/27242/2/1435/1441/7097/3572/6354/3601/2919/3559/3566/6774/3162/7132/3553/8651/3569/51330/9180/3459/5770/1326/5292/3725/9021",NA
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,-0.53474130792229,-2.88816464224238,1e-10,7.14285714285714e-10,2.55639097744361e-10,1896,"tags=35%, list=11%, signal=31%","3371/7169/1314/10516/284217/10398/4015/56937/333/6678/627/3908/5817/813/8038/22943/7431/7058/1278/50863/2006/7128/1292/5396/3398/7052/59/3688/4313/4314/1282/2014/3673/5744/6372/5999/6876/11167/4982/966/5352/10409/4256/2919/10272/3918/3485/2697/7076/5376/5329/1809/4837/4487/1462/5806/7424/7049/7078/5054/2669/3569/51330/6385/388/3725/4616/7057",NA
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",185,-0.521076969461444,-2.84445492321511,1e-10,7.14285714285714e-10,2.55639097744361e-10,1461,"tags=32%, list=9%, signal=30%","4015/23210/226/4502/3099/2239/2542/5228/3098/9469/3669/25976/7128/23327/7052/8614/9957/857/5214/9590/8660/3036/8819/8406/2131/3423/123/5155/2152/5329/10891/7852/1026/2309/1843/6781/55276/3162/5033/7043/3484/51129/5054/7538/23764/3569/6385/5209/8870/4783/133/6515/1316/10957/2353/5292/2355/467/3725/23645",NA
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",188,-0.522473976468566,-2.80485787206288,1e-10,7.14285714285714e-10,2.55639097744361e-10,1569,"tags=34%, list=9%, signal=31%","975/3662/23075/943/4839/8809/64375/333/7133/3099/5727/10875/3482/1493/4953/28996/64866/7052/27242/598/1435/3604/55509/152007/1291/8829/9308/5359/23258/123/158219/9261/650/3559/5621/3976/3566/3586/7372/6402/6004/5732/4084/80324/5033/81848/8728/1154/8651/23764/64332/3459/2012/4783/6515/9173/388/1316/1326/5292/8835/4616/4609/22822",NA
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",158,-0.481473834643313,-2.48909139371796,1e-10,7.14285714285714e-10,2.55639097744361e-10,1414,"tags=30%, list=8%, signal=28%","5526/8900/969/3082/835/4000/3482/3552/7042/6709/8915/3659/3669/929/4313/857/598/2878/1017/6890/10950/10018/5327/650/7076/552/6648/1026/7049/1960/7078/3162/301/3553/7832/6574/3569/4739/51330/3459/330/8870/2012/388/467/3725/4616",NA
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",151,-0.455408409692655,-2.39794640948787,1.77394654163312e-10,1.01365917073837e-09,3.62783282158996e-10,1470,"tags=27%, list=9%, signal=25%","4916/226/528/4072/4792/10482/3337/7037/3659/682/3383/5873/211/4067/2878/3572/1017/6890/4885/3192/262/10950/10018/3306/27295/3485/650/9188/6648/8692/4487/3162/2920/7832/3569/3164/388/2353/467/3726/2354",0.826657301178302
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",178,0.440936125684106,2.25084148065406,1.82458650732907e-10,1.01365917073837e-09,3.62783282158996e-10,4893,"tags=54%, list=29%, signal=39%","4700/4835/4708/9167/5435/4695/65003/3028/7419/4702/11331/26519/4713/4711/27089/27429/8402/3417/4728/55288/1337/4709/788/4724/2879/4259/8992/4717/4722/23479/6834/9617/26521/26517/30/64981/4712/51382/4704/4707/64960/51606/1349/4710/5162/1355/8802/51318/7384/4706/56945/1329/4723/3418/4694/4720/4701/2108/10063/9131/1340/7381/23530/7388/292/1892/38/1537/1351/64963/3420/7385/22/1738/1345/9377/4190/1666/1353/7417/9296/10651/293/5160/6390/4696/9927/2109/5264/56898/6391/56993/6392/4129/5018/92609/10939",0.826657301178302
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",55,-0.50590542137766,-2.15154907668571,2.01280099808518e-05,5.59111388356993e-05,2.0010302320145e-05,1480,"tags=27%, list=9%, signal=25%","4839/3099/26354/8886/6723/10171/9221/705/51388/10199/56342/80324/23223/23082/4609",0.575610261071129
