"gene","logFC","AveExpr","t","adj.P.Val","sig"
"FOSB",-4.68805470175441,11.0252357222222,-14.8706252900198,5.3039025950333e-18,"Down"
"MIR21",-2.11441101973687,11.9220382619048,-14.6000337571481,5.3039025950333e-18,"Down"
"AXUD1",-1.81646765570179,13.2050295,-14.5824828555615,5.3039025950333e-18,"Down"
"AGPAT9",-1.66496658552635,12.289231515873,-13.9599173973107,3.2666989712236e-17,"Down"
"CEBPD",-1.41994649671057,13.1988630873016,-13.3188726150558,2.40592714400272e-16,"Down"
"FAM107A",-2.23169584210529,11.8522873492064,-13.219805890117,2.83877773615649e-16,"Down"
"GADD45B",-1.48326024780705,13.5271651587302,-13.0814398659881,3.96316076030996e-16,"Down"
"JUNB",-2.85550138815792,11.4738221507937,-12.8936675662245,6.74925698949426e-16,"Down"
"SOCS3",-3.21117884429827,11.0147719444444,-12.644496483507,1.46181489274641e-15,"Down"
"EPHA2",-1.88149692434213,11.0014109365079,-12.2310095974061,5.38877887317374e-15,"Down"
"MYC",-2.211790316886,12.5094526428571,-12.2211688106344,5.38877887317374e-15,"Down"
"TYMS",1.56164480482453,10.2693077698413,12.2043843185622,5.38877887317374e-15,"Up"
"SOCS2",-1.97683242324565,12.8594298809524,-12.1220532273399,6.71842119287294e-15,"Down"
"ADRB2",-0.943601802631614,13.813195484127,-11.9978180517336,9.83459467772807e-15,"Down"
"PPRC1",-1.48641008333337,12.7477459365079,-11.9746198145854,9.99532215828588e-15,"Down"
"ADAMTS1",-2.43198143421056,11.6835719365079,-11.944116073819,1.04825920183837e-14,"Down"
"PPP1R15A",-1.74361124561407,12.0001676507937,-11.6801848507064,2.61573856186659e-14,"Down"
"FMO1",2.34103861513155,10.5169120396825,11.5593942110927,3.87079101255134e-14,"Up"
"ARID5B",-1.21025963706144,12.9655987936508,-11.4630599216651,5.2530091173019e-14,"Down"
"PELI1",-1.11896127412284,13.550552484127,-11.4180298836671,5.90553297081839e-14,"Down"
