"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.39017128170717,0.732,0.194,0,"0","IL7R"
0,1.97329723555306,0.87,0.451,0,"0","LTB"
0,1.02371516396228,0.764,0.398,0,"0","CD3D"
0,0.812078641720964,0.775,0.449,0,"0","TRAC"
0,0.933660847661876,0.891,0.589,0,"0","CD52"
0,0.884741007822912,0.686,0.392,0,"0","CD3E"
0,2.56225249444286,0.326,0.076,0,"0","CD40LG"
0,1.68333880688874,0.494,0.251,0,"0","AC092580.4"
0,0.572934653704153,0.937,0.699,0,"0","IL32"
0,0.804398397906066,0.942,0.715,0,"0","S100A4"
0,0.820735601802554,0.862,0.699,0,"0","AC090498.1"
0,0.741642040530944,0.873,0.759,0,"0","NBEAL1"
0,0.70054929265727,0.953,0.883,0,"0","RPL36A"
0,0.651927477838828,0.93,0.875,0,"0","RPLP0"
0,0.50809629408809,0.956,0.919,0,"0","RPSA"
0,0.497564393516465,0.981,0.953,0,"0","RPL14"
0,0.507236428011846,0.977,0.949,0,"0","RPS21"
0,0.446347284605137,0.983,0.957,0,"0","RPL18"
0,0.495149421157529,0.972,0.947,0,"0","RPS5"
0,0.506432248782694,0.975,0.951,0,"0","RPL38"
0,0.489080062058848,0.987,0.964,0,"0","RPS13"
0,0.515690990667723,0.978,0.957,0,"0","RPL10A"
0,0.446583355909925,0.982,0.962,0,"0","RPL9"
0,0.499701669151753,0.988,0.971,0,"0","RPS4X"
0,0.469937584554108,0.993,0.976,0,"0","RPL30"
0,0.596187682779781,0.994,0.977,0,"0","RPL36"
0,0.531885232933726,0.996,0.982,0,"0","RPL35A"
0,0.518193482392649,0.993,0.979,0,"0","RPL12"
0,0.593260952891386,0.995,0.981,0,"0","RPS25"
0,0.562510539724739,0.994,0.981,0,"0","RPL31"
0,0.461044317384061,0.991,0.978,0,"0","RPL35"
0,0.459960273242907,0.997,0.986,0,"0","RPS8"
0,0.423462528030844,0.994,0.983,0,"0","RPS3A"
0,0.428383418317718,0.996,0.985,0,"0","RPL28"
0,0.577380391961297,0.997,0.987,0,"0","RPL39"
0,0.478931532322472,0.997,0.987,0,"0","RPS3"
0,0.449806244989809,0.997,0.987,0,"0","RPL23A"
0,0.499119083542015,0.998,0.989,0,"0","RPL11"
0,0.568057303193718,0.999,0.991,0,"0","RPS6"
0,0.531365279958121,0.997,0.989,0,"0","RPS2"
0,0.449287988980183,0.994,0.986,0,"0","RPL19"
0,0.501613097672746,0.997,0.989,0,"0","RPL3"
0,0.60331289306828,1,0.993,0,"0","RPS12"
0,0.450829397756713,0.996,0.989,0,"0","RPL18A"
