"cell_type","total","dbl_n","dbl_pct"
"Proliferating cells",345,59,17.1
"gdT/NK cells",463,67,14.47
"Cholangiocytes",189,18,9.52
"Hepatocytes",736,48,6.52
"B cells",1132,73,6.45
"Monocytes",2470,139,5.63
"CD8+ T cells (exhausted)",3155,164,5.2
"Dendritic cells",1052,54,5.13
"NK/NKT cells",5166,265,5.13
"NK cells (cytotoxic)",2658,129,4.85
"Hepatic stellate cells",932,41,4.4
"CD4+ T cells",8746,381,4.36
"Kupffer cells",1027,39,3.8
"CD8+ T cells",3706,118,3.18
"LSEC",1061,28,2.64
"Mast cells",77,2,2.6
"Endothelial cells",1162,28,2.41
"Naive T cells",362,5,1.38
"NK cells (liver-resident)",238,2,0.84
"Plasma cells",373,3,0.8
