"geo_accession","title","organism_ch1","group","source_name_ch1","donor","fraction","etiology"
"GSM4041150","Healthy1_Cd45+","Homo sapiens","Healthy liver","Liver","Healthy1","CD45pos","None (healthy)"
"GSM4041151","Healthy1_Cd45-A","Homo sapiens","Healthy liver","Liver","Healthy1","CD45neg","None (healthy)"
"GSM4041152","Healthy1_Cd45-B","Homo sapiens","Healthy liver","Liver","Healthy1","CD45neg","None (healthy)"
"GSM4041153","Healthy2_Cd45+","Homo sapiens","Healthy liver","Liver","Healthy2","CD45pos","None (healthy)"
"GSM4041154","Healthy2_Cd45-","Homo sapiens","Healthy liver","Liver","Healthy2","CD45neg","None (healthy)"
"GSM4041155","Healthy3_Cd45+","Homo sapiens","Healthy liver","Liver","Healthy3","CD45pos","None (healthy)"
"GSM4041156","Healthy3_Cd45-A","Homo sapiens","Healthy liver","Liver","Healthy3","CD45neg","None (healthy)"
"GSM4041157","Healthy3_Cd45-B","Homo sapiens","Healthy liver","Liver","Healthy3","CD45neg","None (healthy)"
"GSM4041158","Healthy4_Cd45+","Homo sapiens","Healthy liver","Liver","Healthy4","CD45pos","None (healthy)"
"GSM4041159","Healthy4_Cd45-","Homo sapiens","Healthy liver","Liver","Healthy4","CD45neg","None (healthy)"
"GSM4041160","Healthy5_Cd45+","Homo sapiens","Healthy liver","Liver","Healthy5","CD45pos","None (healthy)"
"GSM4041161","Cirrhotic1_Cd45+","Homo sapiens","Cirrhotic liver","Liver","Cirrhotic1","CD45pos","NAFLD"
"GSM4041162","Cirrhotic1_Cd45-A","Homo sapiens","Cirrhotic liver","Liver","Cirrhotic1","CD45neg","NAFLD"
"GSM4041163","Cirrhotic1_Cd45-B","Homo sapiens","Cirrhotic liver","Liver","Cirrhotic1","CD45neg","NAFLD"
"GSM4041168","Cirrhotic4_Cd45+","Homo sapiens","Cirrhotic liver","Liver","Cirrhotic4","CD45pos","NAFLD"
