"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
5.37095871078633e-56,3.12367666001368,0.517,0.117,1.20937877290776e-51,"MTRNR2L1","B cells"
2.30821655186794e-10,2.86173432175411,0.107,0.019,5.19741120984103e-06,"TIGIT","B cells"
1.95265073094284e-15,2.77436804752758,0.155,0.025,4.39678365086398e-11,"FAM118A","B cells"
1.6869476772697e-36,2.66133776210577,0.352,0.06,3.79850008490817e-32,"RGCC","B cells"
2.46524965171146e-35,2.58663126616374,0.394,0.091,5.55100264075869e-31,"RGS1","B cells"
4.74021171677669e-19,2.45516218499221,0.262,0.074,1.06735347226661e-14,"CD2","B cells"
2.53148647796235e-13,2.33320873939384,0.139,0.024,5.70014810242783e-09,"CD3G","B cells"
3.47143781644811e-14,2.29705203842642,0.247,0.088,7.8166365312962e-10,"GZMK","B cells"
1.39421097366287e-24,2.27860053076629,0.272,0.055,3.13934484939669e-20,"HLA-DQB2","B cells"
7.76707616142653e-16,2.09747983591163,0.245,0.079,1.74891253926841e-11,"PYHIN1","B cells"
3.02826477091645e-21,-1.58427777563437,0.249,0.498,6.81874378467256e-17,"TCL1A","B cells"
3.71257207753946e-10,-1.59102783350606,0.064,0.197,8.3595985469956e-06,"CHPT1","B cells"
5.40649293621697e-50,-1.60777817590777,0.39,0.822,1.21738001444798e-45,"AC090498.1","B cells"
7.0965944951202e-08,-1.60834156813421,0.06,0.165,0.00159794018246622,"C16orf74","B cells"
4.54586841376346e-18,-1.82978388224933,0.04,0.224,1.02359319072712e-13,"GNLY","B cells"
2.20008069924424e-07,-1.8960635181223,0.04,0.129,0.00495392171048826,"PPP1R14A","B cells"
3.93035732016042e-08,-1.90756760699904,0.078,0.191,0.000884998557780522,"YBX3","B cells"
9.067514579934e-29,-2.16274044623839,0.131,0.435,2.04173225796374e-24,"EIF5A","B cells"
3.9901199511115e-09,-2.44593791544328,0.044,0.15,8.98455309391776e-05,"PCDH9","B cells"
3.03857282093567e-15,-2.98166232928827,0.03,0.18,6.84195442090086e-11,"RP11-164H13.1","B cells"
1.16238865290193e-283,3.47353141420409,0.31,0.041,2.61735052973927e-279,"MTRNR2L1","CD4+ T cells"
5.84744724533445e-269,3.23544583447831,0.288,0.034,1.31666969623196e-264,"IGHG3","CD4+ T cells"
2.65520439773288e-128,2.67849943665395,0.175,0.03,5.97872374237512e-124,"IGHG1","CD4+ T cells"
7.46938189732166e-120,2.21385249658576,0.194,0.041,1.68188072181992e-115,"FAM118A","CD4+ T cells"
2.55802387087521e-302,2.02526472415568,0.477,0.116,5.7599023500497e-298,"IGLC3","CD4+ T cells"
7.69274519182086e-127,2.00320658976839,0.277,0.086,1.7321754348423e-122,"CCR7","CD4+ T cells"
1.71433356301137e-56,1.81857088065496,0.159,0.056,3.86016488383271e-52,"TIGIT","CD4+ T cells"
0,1.8108960271001,0.974,0.542,0,"IGKC","CD4+ T cells"
9.24703270147896e-118,1.80247031082086,0.282,0.096,2.08215435339202e-113,"IGHM","CD4+ T cells"
2.00457674695877e-180,1.66569596202479,0.516,0.218,4.51370546112706e-176,"RGS1","CD4+ T cells"
1.41704738996626e-33,-2.02205299176146,0.051,0.139,3.19076560798702e-29,"MYBL1","CD4+ T cells"
2.45323304763568e-42,-2.03006692703925,0.144,0.261,5.52394485336125e-38,"C1orf56","CD4+ T cells"
2.9181351357437e-208,-2.05213032672971,0.238,0.569,6.57076488515409e-204,"AC092580.4","CD4+ T cells"
2.06175104705192e-32,-2.20925118933586,0.038,0.119,4.6424448326468e-28,"TRGC1","CD4+ T cells"
9.48355588131861e-70,-2.21133130201365,0.059,0.213,2.13541227779651e-65,"CEBPD","CD4+ T cells"
9.598801803333e-76,-2.67081064779502,0.033,0.183,2.16136220205649e-71,"CD160","CD4+ T cells"
3.07601952185632e-29,-2.79313302088339,0.031,0.101,6.92627315736388e-25,"ATXN8OS","CD4+ T cells"
4.06393235052126e-57,-2.93958096176027,0.03,0.148,9.15075647366873e-53,"SLC4A10","CD4+ T cells"
1.7109599222765e-110,-2.98498113203998,0.054,0.264,3.85256845699001e-106,"GNLY","CD4+ T cells"
