"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.56225249444286,0.326,0.076,0,"0","CD40LG"
0,2.39017128170717,0.732,0.194,0,"0","IL7R"
0,1.97329723555306,0.87,0.451,0,"0","LTB"
0,1.68333880688874,0.494,0.251,0,"0","AC092580.4"
8.67733040675744e-210,1.58997450652673,0.273,0.122,1.95387448768957e-205,"0","GPR171"
0,3.98156584179161,0.286,0.03,0,"1","TOX2"
0,3.43349599605755,0.899,0.221,0,"1","XCL1"
0,3.36486784680786,0.738,0.153,0,"1","XCL2"
0,3.34395776740226,0.496,0.065,0,"1","KLRC1"
0,3.33955618412655,0.751,0.156,0,"1","IL2RB"
7.59628075582926e-298,2.10809883809808,0.343,0.133,1.71045453779007e-293,"2","CD8B"
6.68445146807592e-130,1.5969238748942,0.366,0.235,1.50513793706666e-125,"2","CD3G"
3.88719632749095e-189,1.55390249689019,0.376,0.196,8.75279997061138e-185,"2","GZMH"
8.10904807076381e-190,1.49658562883981,0.378,0.195,1.82591435409389e-185,"2","CD8A"
1.68336338766702e-82,1.39416834249992,0.37,0.284,3.79042934000984e-78,"2","CLEC2D"
0,1.94897454927693,0.4,0.087,0,"3","CD40LG"
0,1.81372015437323,0.795,0.228,0,"3","IL7R"
1.08917572909794e-302,1.65082902388649,0.301,0.087,2.45249698920983e-298,"3","AQP3"
0,1.59731340044807,0.967,0.454,0,"3","TRAC"
0,1.59222519902801,0.968,0.649,0,"3","CXCR4"
0,2.53707706475633,0.635,0.108,0,"4","CD8B"
0,2.47547072297646,0.76,0.161,0,"4","CD8A"
0,2.46752821656281,0.33,0.058,0,"4","CRTAM"
0,2.13582765957727,0.424,0.091,0,"4","LAG3"
0,2.0752431325786,0.477,0.122,0,"4","TRGC2"
0,5.74039582540984,0.793,0.036,0,"5","FGFBP2"
0,5.27077183723798,0.988,0.222,0,"5","GNLY"
0,4.67008652795856,0.941,0.113,0,"5","GZMB"
0,4.42174374397687,0.378,0.031,0,"5","CX3CR1"
0,4.40681078123696,0.705,0.085,0,"5","SPON2"
0,7.08703579726257,0.461,0.015,0,"6","S100A12"
0,6.74219370374973,0.917,0.162,0,"6","S100A9"
0,6.71760142691024,0.838,0.149,0,"6","S100A8"
0,6.70921403652202,0.905,0.04,0,"6","FCN1"
0,6.64490308399748,0.602,0.021,0,"6","VCAN"
0,7.22511447686568,0.26,0.002,0,"7","AQP7"
0,7.0967231903798,0.358,0.004,0,"7","AIF1L"
0,6.97084387046231,0.279,0.004,0,"7","GPIHBP1"
0,6.93221580002372,0.624,0.011,0,"7","PODXL"
0,6.79263311061132,0.298,0.004,0,"7","HSPA12B"
0,8.23001767437759,0.502,0.004,0,"8","VPREB3"
0,7.90149726708909,0.284,0.003,0,"8","CD19"
0,7.7700342678491,0.476,0.004,0,"8","LINC00926"
0,7.70275385247159,0.399,0.005,0,"8","FCRLA"
0,7.38394358182998,0.92,0.024,0,"8","CD79A"
0,8.78875635907604,0.583,0.009,0,"9","CLEC1B"
0,8.56955203897819,0.575,0.006,0,"9","OIT3"
0,8.55706424274199,0.621,0.012,0,"9","FCN2"
0,8.35115716768603,0.644,0.018,0,"9","CLEC4G"
0,8.09391160796604,0.892,0.062,0,"9","FCN3"
0,5.98337133891511,0.516,0.019,0,"10","FCER1A"
