"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.76481608705268e-164,1.68820848239207,0.254,0.128,1.74840363832165e-159,"0","CD8B"
6.49718283298836e-172,1.66045562089143,0.344,0.218,1.46297065850399e-167,"0","CD3G"
2.61339908328679e-83,1.52472779465503,0.305,0.23,5.88459071583686e-79,"0","PRDM1"
5.18301406760406e-198,1.52325560894981,0.4,0.255,1.16705927760241e-193,"0","AC092580.4"
4.01791451086311e-119,1.39114006338297,0.401,0.323,9.04713810411048e-115,"0","RP11-347P5.1"
0,2.67182756579092,0.383,0.056,0,"1","CD40LG"
0,2.55462105791339,0.797,0.163,0,"1","IL7R"
0,1.88281873670018,0.26,0.072,0,"1","AQP3"
0,1.74444403639005,0.897,0.428,0,"1","LTB"
0,1.64454036577282,0.282,0.087,0,"1","FLT3LG"
0,4.07717016087837,0.286,0.028,0,"2","TOX2"
0,3.49387174801395,0.899,0.212,0,"2","XCL1"
0,3.432383000839,0.495,0.061,0,"2","KLRC1"
0,3.42099104931931,0.736,0.146,0,"2","XCL2"
0,3.39319798126936,0.746,0.148,0,"2","IL2RB"
0,2.67487910008812,0.63,0.095,0,"3","CD8B"
0,2.57510134071666,0.751,0.146,0,"3","CD8A"
0,2.53519881015976,0.692,0.154,0,"3","GZMH"
0,2.36455411582851,0.303,0.055,0,"3","CRTAM"
0,2.3103799217255,0.497,0.11,0,"3","TRGC2"
0,7.11626160945105,0.462,0.015,0,"4","S100A12"
0,6.78288450430386,0.92,0.159,0,"4","S100A9"
0,6.76780852863282,0.844,0.146,0,"4","S100A8"
0,6.72378859777533,0.908,0.039,0,"4","FCN1"
0,6.66875176607421,0.601,0.021,0,"4","VCAN"
0,5.8738251397812,0.265,0.013,0,"5","MYOM2"
0,5.04327451792484,0.789,0.048,0,"5","FGFBP2"
0,4.6009071561103,0.987,0.229,0,"5","GNLY"
0,4.43442524165536,0.936,0.123,0,"5","GZMB"
0,4.37615124868977,0.719,0.092,0,"5","SPON2"
0,5.80564817877649,0.301,0.006,0,"6","IL1R2"
0,5.73510784920763,0.422,0.017,0,"6","FCER1A"
0,5.37825373065926,0.403,0.017,0,"6","CD1C"
0,5.0831299072861,0.601,0.031,0,"6","CLEC10A"
0,4.83718171265672,0.427,0.018,0,"6","HLA-DQB2"
0,7.18650034044198,0.258,0.002,0,"7","AQP7"
0,7.05882011247888,0.356,0.004,0,"7","AIF1L"
0,6.947123674239,0.277,0.004,0,"7","GPIHBP1"
0,6.90463877345546,0.622,0.011,0,"7","PODXL"
0,6.80762056603945,0.265,0.003,0,"7","VWA1"
0,8.32437922995755,0.505,0.003,0,"8","VPREB3"
0,7.92906606159849,0.281,0.003,0,"8","CD19"
0,7.88178668979588,0.48,0.004,0,"8","LINC00926"
0,7.83042571950866,0.408,0.005,0,"8","FCRLA"
0,7.42020278602828,0.923,0.024,0,"8","CD79A"
0,8.74790986460175,0.589,0.009,0,"9","CLEC1B"
0,8.59012420423658,0.582,0.006,0,"9","OIT3"
0,8.54861256139836,0.626,0.012,0,"9","FCN2"
0,8.36569462403927,0.648,0.018,0,"9","CLEC4G"
0,8.10153378097523,0.895,0.063,0,"9","FCN3"
0,9.44547593716626,0.267,0,0,"10","NTF3"
0,9.33042229717081,0.316,0.001,0,"10","TCF21"
0,9.25607933533954,0.707,0.013,0,"10","RGS5"
0,8.97488386829373,0.47,0.005,0,"10","DCN"
0,8.94603635160421,0.288,0.001,0,"10","FOXS1"
9.35259661132669e-249,3.54893710804306,0.258,0.032,2.10592417897243e-244,"11","CCL20"
0,2.97360621839667,0.816,0.14,0,"11","NCR3"
0,2.68242056379915,0.335,0.028,0,"11","SLC4A10"
2.47463488795099e-221,2.47070857693097,0.392,0.078,5.57213537719924e-217,"11","CH17-373J23.1"
0,2.35570868333718,0.742,0.151,0,"11","KLRG1"
0,7.80947828159132,0.923,0.031,0,"12","CD5L"
0,7.41870794328921,0.26,0.002,0,"12","NDST3"
0,7.28800825741593,0.295,0.004,0,"12","SUCNR1"
0,6.91217610670007,0.766,0.021,0,"12","SDC3"
0,6.81721775654042,0.785,0.038,0,"12","MARCO"
0,9.51135292073315,0.503,0.002,0,"13","UGT2B15"
0,9.38420623322497,0.304,0.001,0,"13","CH17-360D5.2"
0,8.69874512834612,0.275,0.001,0,"13","UGT2A3"
0,8.51415594158604,0.442,0.002,0,"13","DCDC2"
0,8.49659482090283,0.267,0.001,0,"13","PKHD1"
0,3.57741666055253,0.996,0.26,0,"14","GNLY"
0,3.46733685152312,0.888,0.077,0,"14","FGFBP2"
0,3.41669706568904,0.525,0.048,0,"14","CX3CR1"
2.15770908788013e-311,3.04977498515575,0.373,0.04,4.85851355317969e-307,"14","CHST2"
0,2.93703347803207,0.975,0.156,0,"14","GZMB"
0,10.7653688670139,0.562,0.024,0,"15","IGHGP"
0,10.6506576023224,0.408,0.004,0,"15","IGLL5"
0,10.355927062079,0.584,0.037,0,"15","IGHA2"
0,10.0281742110873,0.505,0.028,0,"15","IGHG2"
0,10.0212889681633,0.262,0,0,"15","AMPD1"
5.56685408757491e-262,3.02913965569927,0.438,0.037,1.25348853489924e-257,"16","MAL"
7.44590885982523e-121,2.61177057969325,0.251,0.026,1.67659529796685e-116,"16","TRABD2A"
2.89268137496534e-139,2.28780533109106,0.351,0.042,6.51345065200946e-135,"16","RP11-18H21.1"
2.76995361533166e-123,2.28572652203688,0.301,0.035,6.23710455564229e-119,"16","LEF1"
1.67038430002267e-265,2.27323786128942,0.324,0.02,3.76120432836104e-261,"16","IGLC7"
0,7.66835938302946,0.421,0.003,0,"17","ASPM"
0,7.62982529512604,0.442,0.003,0,"17","RRM2"
0,7.47567009334703,0.613,0.006,0,"17","TYMS"
0,7.42929347528732,0.575,0.004,0,"17","MKI67"
0,7.38767205604071,0.257,0.002,0,"17","CDCA5"
3.87623445075082e-173,2.48644871713692,0.933,0.231,8.72811711275561e-169,"18","IL2RB"
5.15770175449638e-175,2.38250987826966,0.938,0.215,1.16135970405995e-170,"18","CD160"
5.65908461131556e-144,2.25924408296392,0.983,0.308,1.27425608192993e-139,"18","XCL1"
8.25219094466654e-113,2.23495170767923,0.392,0.052,1.85814583501057e-108,"18","NCR1"
1.51670903352995e-81,2.21624507086265,0.308,0.044,3.41517373079939e-77,"18","BCO2"
0,14.6183869522729,0.275,0,0,"19","RP11-73G16.2"
0,10.7364422735495,0.696,0.001,0,"19","SCT"
0,10.053540017542,0.327,0,0,"19","SHD"
0,9.97196575078247,0.637,0.001,0,"19","LRRC26"
0,9.90150668376596,0.655,0.001,0,"19","PTCRA"
0,12.4713503464815,0.974,0.011,0,"20","TPSAB1"
0,12.37166935686,0.597,0,0,"20","TPSD1"
0,12.3298025691838,0.974,0.015,0,"20","TPSB2"
0,11.6853773698402,0.338,0,0,"20","AC004791.2"
0,11.1517670158401,0.909,0.001,0,"20","CPA3"
