"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
1.75374420383717e-76,-0.798939742169025,1,1,3.94890582378015e-72,"RPS29","B cells"
3.31979553798417e-63,0.551096061777881,1,1,7.47518361287896e-59,"B2M","B cells"
1.19317229855249e-57,-0.46215580038335,1,1,2.68666606465065e-53,"RPL41","B cells"
2.3356173432683e-57,-0.405171236920958,1,1,5.25910957183724e-53,"RPS27","B cells"
7.71530219954062e-57,-0.557091270377311,1,0.998,1.73725459627056e-52,"RPL37A","B cells"
9.1388706249404e-57,-0.655089333259211,0.996,0.987,2.05779949861783e-52,"RPL29","B cells"
5.37095871078633e-56,3.12367666001368,0.517,0.117,1.20937877290776e-51,"MTRNR2L1","B cells"
1.55493082091481e-51,-0.507826534560238,1,0.998,3.50123772945387e-47,"RPL37","B cells"
5.40649293621697e-50,-1.60777817590777,0.39,0.822,1.21738001444798e-45,"AC090498.1","B cells"
2.56720790387224e-44,-0.541392665692191,0.998,0.992,5.78058203714913e-40,"RPS21","B cells"
1.79953118160394e-42,0.434379636723665,1,1,4.05200436161759e-38,"TMSB4X","B cells"
9.53243106798531e-42,0.839328950253678,0.992,0.869,2.14641750357825e-37,"CXCR4","B cells"
1.08783295366266e-41,-0.881893881055979,0.946,0.946,2.44947346176222e-37,"RPL36A","B cells"
3.59962962417802e-41,0.877948320800531,0.96,0.811,8.10528602476165e-37,"UBC","B cells"
1.45319480699329e-39,-0.73834582818318,0.982,0.992,3.27215874690678e-35,"TMSB10","B cells"
1.6869476772697e-36,2.66133776210577,0.352,0.06,3.79850008490817e-32,"RGCC","B cells"
2.22486334964752e-35,-1.15022786408443,0.724,0.91,5.00972480440133e-31,"NBEAL1","B cells"
2.46524965171146e-35,2.58663126616374,0.394,0.091,5.55100264075869e-31,"RGS1","B cells"
1.04049043925132e-33,-0.996267728680647,0.767,0.887,2.34287232206221e-29,"RPL17","B cells"
3.92485449510281e-31,2.06285637912763,0.491,0.203,8.837594866623e-27,"TRAC","B cells"
3.23814420395969e-30,-0.455947746639194,0.988,0.989,7.29132930405604e-26,"RPL38","B cells"
7.67998846718919e-29,-0.411618354611031,0.998,0.992,1.72930300315699e-24,"MT-CO2","B cells"
9.067514579934e-29,-2.16274044623839,0.131,0.435,2.04173225796374e-24,"EIF5A","B cells"
3.57141365704591e-28,-0.328995886433869,1,0.998,8.04175213157028e-24,"RPL39","B cells"
2.14304808528805e-27,-0.28081891071335,1,1,4.82550137364309e-23,"RPL34","B cells"
5.55059293945853e-27,-0.327349000463788,1,0.998,1.24982701217788e-22,"MT-CO1","B cells"
9.55992710255892e-26,1.14821513817198,0.7,0.46,2.15260878568319e-21,"COTL1","B cells"
3.90849697639906e-25,0.770283843791513,0.942,0.762,8.80076264175777e-21,"HLA-DRB5","B cells"
4.17313268404841e-25,0.856745669984204,0.825,0.625,9.3966428646718e-21,"HSP90AB1","B cells"
1.39421097366287e-24,2.27860053076629,0.272,0.055,3.13934484939669e-20,"HLA-DQB2","B cells"
3.07862202348365e-24,0.26256954151453,1,1,6.93213321027814e-20,"MALAT1","B cells"
2.041919377996e-23,0.597189153140502,0.982,0.932,4.59778986343359e-19,"JUNB","B cells"
5.08766344525919e-23,-0.366424656154484,1,0.992,1.14558917796901e-18,"RPL12","B cells"
1.20694965202335e-22,0.72904957637813,0.861,0.666,2.71768853146098e-18,"TSC22D3","B cells"
2.5749064574203e-22,-0.55268066348529,0.958,0.945,5.79791687017328e-18,"CD37","B cells"
3.02826477091645e-21,-1.58427777563437,0.249,0.498,6.81874378467256e-17,"TCL1A","B cells"
1.47236441220106e-20,0.659708615962048,0.901,0.734,3.31532294695313e-16,"DUSP1","B cells"
4.37061798129609e-20,1.11416465833811,0.66,0.424,9.8413205084844e-16,"JUN","B cells"
1.6661516498929e-19,0.435731794640286,0.996,0.943,3.75167367006384e-15,"HLA-A","B cells"
3.68929463846913e-19,-0.260991591363877,1,0.997,8.30718473744094e-15,"RPS28","B cells"
4.44886755707526e-19,1.13751022415654,0.386,0.153,1.00175150782664e-14,"IGHG3","B cells"
4.74021171677669e-19,2.45516218499221,0.262,0.074,1.06735347226661e-14,"CD2","B cells"
2.43430089020116e-18,-0.448523515742892,0.99,0.95,5.48131531446594e-14,"MT-ND3","B cells"
4.54586841376346e-18,-1.82978388224933,0.04,0.224,1.02359319072712e-13,"GNLY","B cells"
2.18391454768478e-17,0.524332956130908,0.936,0.828,4.91752038702181e-13,"HLA-E","B cells"
2.38690005590336e-17,1.03899301235597,0.594,0.38,5.3745828558776e-13,"KLF6","B cells"
6.78484295382405e-17,1.99314204370257,0.252,0.076,1.52774308791256e-12,"SOCS3","B cells"
8.03417533651509e-17,-0.205972027451963,1,1,1.8090552605231e-12,"RPL10","B cells"
1.00043499884232e-16,0.369513814497618,0.998,0.976,2.25267948689325e-12,"ACTB","B cells"
1.10450306839017e-16,-0.500894968414404,0.928,0.915,2.48700955909415e-12,"CD79A","B cells"
1.23817098188202e-16,0.71546923093198,0.833,0.677,2.78798959990374e-12,"CD69","B cells"
1.29871738151633e-16,0.745659467713079,0.785,0.598,2.92432192796033e-12,"HSP90AA1","B cells"
1.39245171566902e-16,0.792118065145132,0.678,0.465,3.13538352817194e-12,"SEPT7","B cells"
7.76707616142653e-16,2.09747983591163,0.245,0.079,1.74891253926841e-11,"PYHIN1","B cells"
1.05959811350357e-15,-1.09610544924576,0.483,0.672,2.385897072176e-11,"ZNF90","B cells"
1.35590977006555e-15,-1.34700706953737,0.274,0.485,3.05310202925661e-11,"SMDT1","B cells"
1.50672931565805e-15,1.60413725966883,0.336,0.148,3.39270240006724e-11,"CTD-3252C9.4","B cells"
1.64073888341561e-15,1.82240052416155,0.306,0.126,3.69445174378693e-11,"CD3D","B cells"
1.95265073094284e-15,2.77436804752758,0.155,0.025,4.39678365086398e-11,"FAM118A","B cells"
2.7406859772659e-15,-1.29378410693693,0.302,0.517,6.17120261500963e-11,"ATP5I","B cells"
3.03857282093567e-15,-2.98166232928827,0.03,0.18,6.84195442090086e-11,"RP11-164H13.1","B cells"
3.36273368299817e-15,0.922057262349006,0.612,0.427,7.57186743400697e-11,"DUSP2","B cells"
4.86191034054118e-15,-0.260192995654982,1,0.998,1.09475635137966e-10,"CD74","B cells"
6.64558290557573e-15,0.286350947896993,1,0.989,1.49638590284849e-10,"MT-CO3","B cells"
