"","ABCA2","ACHE","ADAMTS1","ADAMTSL2","AMN","ARHGEF16","ATF3","B3GNT8","BBC3","BTBD2","C11orf96","C1QC","CAPG","CCL2","CCL24","CCN1","CCN2","CCND1","CD69","CDHR2","CDKN1A","CHI3L1","CHLSN","CHTF18","CLDN3","CLEC11A","COL16A1","COL1A1","COL6A2","CORO1B","CSNK1G2","CSRNP1","CTSD","CTSG","CXCR4","DAGLA","DCDC2","DERL3","DTNA","DUS3L","DUSP1","DUSP2","DUSP8","E2F1","E4F1","EDA2R","EGR2","ELFN2","EMILIN1","FASN","FCN1","FOS","FOSB","FSTL3","GABRB3","GADD45B","GADD45G","GLIS2","GLTPD2","GPC1","HBEGF","HGFAC","ID4","JOSD2","JUN","JUNB","KLF4","KNDC1","KRT23","KRT7","LAMA5","LAMC3","LIME1","LINC03040","LPL","LRP3","LTBP4","MAFF","MAMDC4","MEGF6","MICALL2","MIF","MMP9","MSC","MT1G","MUC6","MYC","NLRP6","NOTUM","NOXA1","NPM2","NR4A1","OPLAH","PAQR4","PCNX3","PDGFA","PDZK1IP1","PGGHG","PHLDA3","PLCH2","PPP1R3G","PRAMEF10","RAB25","RASD1","RECQL4","RGCC","RGS1","RGS16","RPUSD1","RTN4R","S1PR2","SCAND1","SERPINA12","SERPINE1","SGK1","SLC1A7","SLC49A3","SOCS3","SPINT1","SPP1","SPSB1","SRGN","ST14","STMN2","SULT1C2","SUSD2","TELO2","THBS1","THY1","TMEM125","TMEM150B","TMEM54","TNFRSF12A","TRABD","TREM2","TSSC4","TTYH3","UBTD1","ZFP36"
"ABCA2",1,0.365279442354731,0.116007001832736,0.723712504368877,0.537336235600161,0.673264429665283,0.0920226915151403,0.552683891092795,0.613002264269978,0.740308197798681,0.353249675960287,0.47282891699492,0.445499756510435,0.116363736170354,0.235193579721486,0.0329594588433329,-0.021194530872842,0.546512005436156,-0.0177452308091317,0.41726370188037,0.381898322451116,0.287673950940979,0.725041109374872,0.738209420603734,0.677190278787087,0.668989558127856,0.516452681762869,0.679076702896152,0.762768722810896,0.731192112323068,0.777878948894947,0.305986661532447,0.657003781881846,0.31508198443303,0.128698859444249,0.595411922273862,0.185531242186648,0.366656133892441,0.07320096889657,0.74848361902083,0.195984383612395,0.478974192430449,0.358098678441477,0.42371054128305,0.763888360844149,0.134678849029712,0.128806177829023,0.210369333967252,0.698587846493067,0.700391067473705,0.400036931271843,0.223109186770906,0.0871342603549097,0.573622880983196,0.113526084432486,0.291713148982779,0.376653281670773,0.697096990348789,0.733366916960047,0.795504272131875,0.00190448042273312,0.763709092830011,-0.0716445594685526,0.724283462510711,0.205811209660091,0.401563125549538,0.130429591918928,0.353423425767314,0.0352676877528532,0.453202112864498,0.73164432663824,0.580543674842997,0.724604705754448,0.268222041198073,0.144718446275041,0.694656689325614,0.691364985179919,0.123086310707111,0.735145939655911,0.692551077268539,0.759317975478175,0.61210049979413,0.440752310454525,0.24548839442446,0.540687879060758,0.475042059789489,0.209947314058894,0.598415945649754,0.557803771692845,0.756277489778473,0.0896543905975567,0.27613042343474,0.751174723476721,0.537085035679229,0.754315791654733,0.424744975671079,0.304719725702699,0.617870653015466,0.621021113537659,0.622281353985103,0.18323251764416,0.224035953646776,0.283291269402844,0.177841991061632,0.693580691260584,0.201356461647789,0.0718816911674124,0.291779896007059,0.688217123302092,0.574529066610495,0.589636466177581,0.706551382220963,-0.0376929394255463,0.195536355710791,0.00416025837078689,0.392169051323637,0.703952993946763,0.150138482584734,0.317923772910978,0.143685598875292,0.378930574199992,0.0575564473331675,0.446793183629198,0.126330837883256,0.145530987658455,0.500521762116558,0.78729094702692,0.10688352037663,0.39267218408889,0.120280148078716,0.551928362341484,0.62838224213009,0.319115163990371,0.807075223405648,0.290512391253496,0.755024874973044,0.796094550243093,0.632551112257119,0.288655902772753
"ACHE",0.365279442354731,1,0.294214660964338,0.497632282210922,0.137767167596138,0.364580859748798,0.243691031903078,0.149461640319603,0.44164867285137,0.273725392806831,0.338346345209483,0.100387912824866,0.381427293628298,0.2548089813736,0.0533834436867355,0.208957097900535,0.249874002827034,0.295364466381973,0.245574039207153,0.290119695995653,0.342500366773236,0.352661025416682,0.378749826050717,0.214658142519086,0.265857509114962,0.439737317308292,0.414005868185632,0.436566555216636,0.373017636235232,0.31510708112589,0.29317262702417,0.295625056173211,0.350771393181356,0.208194839035337,0.310642617764168,0.366606258738022,0.304194602769624,0.380980952310866,0.310494105528655,0.304269233893422,0.216964034811665,0.366606309470964,0.319413511093975,0.311454009265629,0.290690737914362,0.335539113385082,0.22790661767357,0.174114848774975,0.372027072922847,0.262216042764157,0.130762352477264,0.337686554039514,0.178539646838776,0.446624553692919,0.235592254050842,0.261334248201967,0.24100768918531,0.354621916192467,0.255454900875439,0.316173671966066,0.201490477666447,0.245295644868211,0.230242716894752,0.29221721954892,0.323971968858286,0.364012418556161,0.267518528356834,0.170699301760279,0.207865408101361,0.393343802972165,0.296467277350154,0.451671498707996,0.219434604267143,0.271894607959256,0.223422509355071,0.253607532344336,0.41806548728821,0.254741507962624,0.312143726004002,0.366501332871007,0.382090533614558,0.204241948574541,0.30987360156478,0.365226491282891,0.134902691939964,0.325130577299664,0.277303634955007,0.0915086097097786,0.150967979431447,0.255761762066953,0.115228602424151,0.295254422643051,0.247551791734685,0.275473032677492,0.27476426822682,0.41799747117273,0.367006207089187,0.21759282283049,0.39116230767166,0.292298146457305,0.199553873959291,0.313347498094235,0.340305611447981,0.350233480846851,0.231603905932995,0.293380607470558,0.279251282661718,0.224407208855089,0.210850126990744,0.195516036040547,0.260560053882092,0.283406656893911,0.0478799492596453,0.258051549031568,0.243984107581543,0.414111652330227,0.30616410704656,0.260509164437386,0.378505531605455,0.302477135269351,0.433867702458017,0.0826617302930357,0.388384096554119,0.245160497809458,0.195961013055025,0.420340097478154,0.275306083486051,0.336945593115926,0.440132970039868,0.0968014103792144,0.22607777696902,0.327071804005058,0.353138360205964,0.26247383989164,0.270987894546688,0.297355242621824,0.384917586741048,0.228949808843951,0.368350172536149
"ADAMTS1",0.116007001832736,0.294214660964338,1,0.376759900308573,-0.0767194407912869,0.278572882170639,0.713080373248653,0.0626948666549031,0.182943223449062,0.0899068117533544,0.736258454738858,0.280807669986779,0.420759146275173,0.765830225258505,0.186059707687438,0.790986756373543,0.766667507784591,0.375074690136739,0.648835636766225,0.124164760346792,0.593155892146497,0.499650955067661,0.186720610345806,0.0131196353344467,0.207399388393104,0.246617343858905,0.43251083991584,0.319695659569237,0.142663487279362,0.131885057475457,0.187682859965025,0.732165963852511,0.406522650048232,0.170482432418874,0.743786183241123,0.414922516596949,0.562781599897427,0.255557359311086,0.498813483066695,0.144567919207875,0.511270559501686,0.647642662716895,0.62997857764688,0.138844661455907,0.120714369250144,0.411604747311269,0.715634347248671,-0.0284697118918873,0.369519604700392,0.0514616382127234,0.3727010547631,0.584922594840113,0.772992004018286,0.518920069838854,0.267370519192925,0.522809005719005,0.391368359999166,0.234674295410118,0.0737432418864629,0.208198682712855,0.743364077976085,-0.0548055779727223,0.71444772059768,0.0644404410389641,0.746046117880264,0.680626958259918,0.854976688020439,0.141122960818731,0.744874081944093,0.531317972198477,0.0247676685600017,0.542347462331735,0.013291701179776,0.232507558115082,0.220220322727456,0.16323182715395,0.313334282298331,0.784215390854435,0.00765178980447848,0.169440689899018,0.169965739981416,0.183435451211046,0.30913560092362,0.353968257049164,-0.253414921618247,0.327267205790502,0.773853035712086,-0.136005117873413,-0.0345452441942029,0.0816274944461556,0.100255787345911,0.784278085804128,0.0466921635657057,0.458655343640905,-0.00563058861434476,0.607311674617713,0.61889774713017,0.0155252583074524,0.29891228948189,0.0964053311975136,0.437427284309883,0.549842691678971,0.38739888784995,0.731249941261797,0.0226432231810528,0.688448252057936,0.68851481748332,0.558593488747259,0.0371795920647781,0.131241895047924,0.357199353977151,0.0948892547635162,0.261212885408954,0.591664950899359,0.66342405379068,0.237265468552754,0.206802721355063,0.757506893508415,0.571279754333201,0.514053109872221,0.65848199944759,0.540174947764022,0.477257649842714,0.553916740746239,0.301275892292107,0.576259422216456,0.0253973911840256,0.803543475339365,0.650942990274398,0.0550712527427312,0.234762964028323,0.372945377026968,0.736512768844112,0.139959304233367,0.305638165767969,0.195038051998034,0.256009427241445,0.32361472086954,0.711351915850471
"ADAMTSL2",0.723712504368877,0.497632282210922,0.376759900308573,1,0.478246471000815,0.759814976546619,0.284562172553725,0.508153262127142,0.737429277343722,0.719511242786413,0.631571947859295,0.523162730441918,0.704488525721946,0.415669631792748,0.270920788927654,0.287112890389388,0.330108911771254,0.681475768510107,0.314062293628818,0.487423893595258,0.53959555160398,0.478106208489501,0.797293636300912,0.655462165468803,0.688802890732421,0.815724139404892,0.764338548879697,0.851252290433542,0.831186977515632,0.751296097797618,0.768540252287764,0.426452698606166,0.750806195594427,0.413253694196147,0.479012922020126,0.767827671144057,0.531729110129285,0.561896632760362,0.374557832747219,0.732514419056588,0.306491624405375,0.65985037590966,0.600118350422187,0.58435503336299,0.76308240030069,0.400757058069625,0.286401894150487,0.223145786955403,0.893093386618475,0.667780261671823,0.515226393075343,0.316890095165726,0.259572358438764,0.776544739279862,0.2635321203682,0.405973614011244,0.438465805080394,0.813581921357317,0.700048523480389,0.796700460380997,0.231769291175976,0.678719165312752,0.290428020140189,0.73359630295798,0.423936782422481,0.543636874003608,0.411749810306274,0.421352454459299,0.340643540112482,0.759202452836291,0.717756189443313,0.852911978268756,0.654127987946896,0.376781681600836,0.319761643569539,0.650970439129074,0.869040514425067,0.34113692886572,0.66933345919866,0.799723343503903,0.834196945871612,0.608202586076949,0.621278333107431,0.527108481321856,0.36904118069934,0.630290059688708,0.498334756183364,0.493893917113739,0.472058054007256,0.721659434179924,0.233103847383483,0.443095951431665,0.68124091332355,0.726949818509124,0.660687018945457,0.723724003955667,0.642933239774943,0.474483329485166,0.725228369766129,0.602484787910902,0.326095353011746,0.391482911775695,0.549235816050674,0.405185095072617,0.65166783204152,0.451071609326853,0.376306572006082,0.501364658909984,0.70129682449292,0.571502023285896,0.679034051240092,0.702327656829656,0.132440156469413,0.270513658028981,0.201620584103492,0.637545804123226,0.715446642324413,0.363413168543627,0.630835061006697,0.441517125171627,0.639265521582474,0.285506877816468,0.712488698440023,0.446377050384121,0.284041454949011,0.771861436148734,0.772574060404884,0.439300754331798,0.689099785226233,0.27687892686832,0.617529195543155,0.745302339970894,0.560089959519045,0.777673835562127,0.506873519494286,0.766485018680778,0.794591638168736,0.674011776095409,0.456498108453963
"AMN",0.537336235600161,0.137767167596138,-0.0767194407912869,0.478246471000815,1,0.484321289290002,-0.102319726874695,0.493830988642535,0.401974956767823,0.694593649135816,0.160986842504117,0.488983516315405,0.250895402951951,-0.0894357995856081,0.367243919959043,-0.151148954340786,-0.193430754098819,0.413250080974796,-0.264941908492192,0.222834657576016,0.185323591924262,0.0607974854437834,0.633601138866514,0.589468111963011,0.639112816357832,0.441440489871021,0.258855754797598,0.367337994499694,0.512988846944396,0.578346685971045,0.616454470997937,0.163199522169958,0.515157603936012,0.202834941527376,-0.0879200369286794,0.404025887222805,-0.111158977852773,0.204172515058538,-0.164787280032763,0.676895790394286,0.0652614707539,0.263262983324956,0.15518797829268,0.287843185501392,0.710188978407585,-0.121708550581595,-0.122413576715091,0.112000338023584,0.550678085597378,0.514475729775426,0.352848630611464,0.0258057586107417,-0.0764739886735129,0.300197875122746,-0.0524359917974139,0.220079317054595,0.394272273128415,0.374912087618997,0.72921508224496,0.618860531728374,-0.146895766761071,0.728274869811861,-0.275113069684738,0.648520596533062,0.0232913809040298,0.261429046108867,-0.0557126454210248,0.380754084939784,-0.212832687544268,0.208539577145028,0.589691882853591,0.277051802612335,0.739481976830241,0.0343624305705544,0.107007033267427,0.69999611065092,0.458070654380427,-0.0318512101280492,0.667439660818166,0.527956185758891,0.523109898177067,0.654064225641713,0.381419060638286,-0.0123307744488231,0.615845148220244,0.129334100074916,0.0769538014180644,0.58302401234096,0.533497326864776,0.729486453846529,0.0247187762145327,0.0786147105311229,0.731102868693909,0.422521501817238,0.640916106862246,0.162475183638241,0.0961266135393871,0.507309211461039,0.296978702775892,0.397318156655664,0.185834443340829,0.00945236378371436,0.152297500440822,0.0437023395196706,0.549794815450273,0.025974042157468,-0.138715888827722,0.127280988136672,0.675321384780529,0.604188675427053,0.457177537233858,0.702672904454482,-0.0566161989015093,0.0748630137967851,-0.0505962980829087,0.182267661820265,0.534319214027716,0.0669456595799998,0.0503053498519164,0.00172290710178944,0.212909085934838,-0.0130050455912119,0.247764730155529,-0.178527087553888,-0.124306491402786,0.230628830153168,0.654163226498459,-0.134454222065317,0.10093783357288,0.199228227856452,0.34417712097977,0.442066554156846,0.173802873052923,0.689592974455141,0.184005227739762,0.635961219638965,0.553052882717676,0.584565279666479,0.111181435861529
"ARHGEF16",0.673264429665283,0.364580859748798,0.278572882170639,0.759814976546619,0.484321289290002,1,0.208902352359691,0.461701032949715,0.679907622119512,0.664727441705725,0.529531724469595,0.476435447088518,0.554316590199264,0.239673694776107,0.248447495859658,0.182487787662541,0.178580754492363,0.583966944997311,0.0744593969148368,0.399993154618103,0.448676420262988,0.363675077366901,0.72230532141709,0.637930656693716,0.687078541056095,0.690019267379184,0.587569417581594,0.731657003677686,0.732010194486578,0.642890705268634,0.701336053601836,0.386764285316996,0.695766142601957,0.305369560620788,0.267463162565229,0.741063769546709,0.300325106191254,0.448614604434308,0.256392202484601,0.702806071800819,0.249793687068508,0.495684406924267,0.521858489428006,0.420014830000415,0.709563328595556,0.216899249982449,0.215643609825381,0.275678175554157,0.726831398323386,0.60324787673379,0.381537794815273,0.292946151508678,0.15627511905303,0.611565149583973,0.235489195528961,0.362371124216841,0.349591488011723,0.735594725952102,0.673173292367783,0.746548433130824,0.128562161309421,0.594424035686426,0.108932840145491,0.651524848681608,0.335534275872795,0.48697147352047,0.28077787854418,0.47056344303443,0.25531114478433,0.673629731001722,0.693979163930549,0.706326425028672,0.601767263053221,0.3596542916573,0.224130196645699,0.620303073693286,0.721772381601955,0.273200641500015,0.628027959292617,0.696446201774345,0.76211268691797,0.596681273347715,0.441924710385042,0.357188110232683,0.391258961703733,0.52479946026875,0.340734032178181,0.51050648207451,0.367950634619105,0.701428710982132,0.19907932841047,0.399769473000729,0.651206682326874,0.685197398850316,0.643457929103106,0.625937320825271,0.583219045292281,0.52583226709534,0.644934778318598,0.541125456723426,0.27122093557673,0.302108924209347,0.609983992274046,0.425484207623287,0.654735309108427,0.331837156560577,0.187940495040616,0.320171587458964,0.661784449786096,0.586856050018189,0.603764403595788,0.673132857431831,0.0184746581498392,0.292477815916397,0.145629469913082,0.454414137112493,0.674673552931336,0.287134123843037,0.596571825900779,0.371714800127747,0.510043262566302,0.109832529244146,0.643401741340304,0.225696597207851,0.298923790694442,0.684453980121267,0.68749395386335,0.269577756046573,0.503121297152684,0.285752341510722,0.580683908047793,0.696492676817242,0.475212181420548,0.738967148055923,0.41364221437385,0.707674733154831,0.743590474561746,0.650442794565483,0.365649445392681
"ATF3",0.0920226915151403,0.243691031903078,0.713080373248653,0.284562172553725,-0.102319726874695,0.208902352359691,1,0.065564268164353,0.358139032781512,0.0800060756572289,0.629917986011947,0.166273570092799,0.412001995898654,0.701230384102811,0.117356756621266,0.851019242897372,0.713306028475038,0.389074624393418,0.594283757233499,0.218773828637211,0.644041506050625,0.604738797641795,0.151770142822719,0.0257725417315556,0.104459603740818,0.212352033427008,0.31463866168774,0.345194759037605,0.108618991967221,0.164974685702877,0.161678133785397,0.799184336727078,0.392343080576918,0.201205138329915,0.678663754711376,0.357519194473298,0.431505573558195,0.233672614199141,0.460975110291607,0.130696727174599,0.659331129638548,0.574264756516681,0.668351648724075,0.217060391988142,0.0754960992516476,0.370049366926371,0.815635688583728,-0.00685750810608475,0.310243678405221,0.176634056672303,0.33722000757184,0.747537205679217,0.812863169360086,0.455394021772269,0.265323555011355,0.614334234445274,0.417018153499186,0.170586600869079,0.0731589491152016,0.205765590945262,0.771146967113082,0.0015939202008889,0.52952846804761,0.0151659448134927,0.90800424773551,0.710728952074275,0.755449020607198,0.00720843727584257,0.65769432932257,0.461522766940984,0.0285265741503247,0.407373527572723,0.0243282349251865,0.285699633842303,0.304951669696339,0.0875325369071848,0.151734590299138,0.880300430580962,0.0342469627601483,0.103499484917472,0.118040575395776,0.0688034283242897,0.384480822854349,0.273052227478402,-0.229611930568468,0.288097742097078,0.791649026654321,-0.135074196412018,0.051964498929618,0.00600740183113689,0.181220165774239,0.840295765869833,0.0917968592828814,0.322385031301008,-0.00230871651036937,0.528025781044181,0.537972970210473,-0.0107409647024841,0.31212068692447,0.150077775630575,0.526681440519225,0.688274293885625,0.322006659620998,0.733429999436514,-0.0049047830027993,0.576089328569248,0.696887360114648,0.519181523252312,0.0193621969226464,0.116892901322146,0.262966218682115,0.0691767139893429,0.323747262190548,0.698500793076731,0.645740596878827,0.278603241884412,0.217106968624059,0.72482420172677,0.471563441138223,0.427299127040591,0.67607835344677,0.524156703852779,0.389516258894589,0.532359959094826,0.296201001592208,0.467073214594306,0.0608779436245716,0.769151507325828,0.4334406698156,0.0462334774935078,0.247668188022881,0.308879458061615,0.798027419012453,0.145182846668359,0.38203600371995,0.231546970913079,0.25159419242771,0.189702938857865,0.819300454903741
"B3GNT8",0.552683891092795,0.149461640319603,0.0626948666549031,0.508153262127142,0.493830988642535,0.461701032949715,0.065564268164353,1,0.450131544816846,0.600668341215858,0.20803841680939,0.486491745121487,0.266145215381107,0.0176508470740357,0.208906727710739,-0.0237043704320738,-0.0886523913760078,0.41679593287864,-0.0709809744626319,0.177834517243502,0.274595134337627,0.069286268735021,0.555979647754664,0.572107123992152,0.541010343387502,0.479308722115853,0.307379186022939,0.429867735216839,0.571395649284177,0.529200811131941,0.542769433376503,0.240314224022859,0.464184669610141,0.177059371765982,0.0774908125529244,0.369894840461462,0.0219312033448368,0.335630726412533,-0.0440170119908793,0.60479200467646,0.227108761488108,0.293785276100058,0.254161602928086,0.302593147742718,0.616173705626947,0.0190548371614821,0.0468701023480035,0.121106033932349,0.494590397003563,0.521558454439617,0.346108770681047,0.171751789600973,-0.0323361836610184,0.33324109688457,0.00315326358835194,0.315172148105734,0.374801894026658,0.470184209815789,0.587254303774656,0.565157680387363,-0.0404755498388476,0.601858373435154,-0.132789648778356,0.540866268537688,0.146031235880909,0.331564851438484,0.0343430296303834,0.279735868153384,-0.0243278323227271,0.222273689162909,0.495601484675658,0.347141362551995,0.528218649265271,0.221344534246192,0.108948826336711,0.598552342427755,0.465745396296648,0.0405090951094476,0.564944142135921,0.454651613548604,0.548881202532373,0.459952157929909,0.323537768260784,0.147925732490536,0.453616320867075,0.191520674780884,0.138245909252392,0.479938022859385,0.425165268807017,0.613261253651386,0.0396622886801204,0.146402708926345,0.629631632081081,0.371701981583825,0.589145338078428,0.26358611068968,0.182628652206506,0.489593472558382,0.392826060869057,0.464468056463473,0.195960199403768,0.0165602020011426,0.0853434042091957,0.107612082964,0.517896492486255,0.0478448254976451,6.09881778404311e-05,0.126318444315737,0.567202412710971,0.461975793875036,0.410873107485996,0.554003264314487,-0.0012095953055754,0.0909935414176344,-0.00819406150966732,0.298303698249523,0.487166561883085,0.0729448715823919,0.107597347149934,0.0614777965390312,0.188690439436513,0.0905505628150258,0.272387948333848,0.00493077954664723,0.00194375986539751,0.328379341855771,0.564461527057931,-0.038460781522844,0.171719736340356,0.091838016019725,0.418162574154097,0.467854160613908,0.201593364451946,0.634889296728405,0.220100916057714,0.611555377234353,0.507670488002385,0.456067125783437,0.195459182889064
"BBC3",0.613002264269978,0.44164867285137,0.182943223449062,0.737429277343722,0.401974956767823,0.679907622119512,0.358139032781512,0.450131544816846,1,0.652741948856491,0.469193469443568,0.360904571436853,0.573016414426633,0.260535708657362,0.192200010844402,0.281909400579796,0.226939506766403,0.633455405526066,0.242001456565249,0.449130981728966,0.526457865837287,0.40450298330288,0.686169753702622,0.613980252504167,0.579411742200199,0.689515701248057,0.557641155180248,0.751064209041273,0.700897299208329,0.656429067688571,0.64610970780917,0.402727192441892,0.649596005360343,0.365044891379823,0.364137880198423,0.658066822862023,0.289419796444484,0.401564425299623,0.286251866591143,0.633976705599623,0.335404439991877,0.527605132294716,0.555841825541794,0.486560038532451,0.636635194306219,0.398945055900532,0.242935153432517,0.272575042406679,0.706737760837197,0.680940001343704,0.396184733010959,0.364038837472943,0.181889351559614,0.62157022571438,0.306624174302495,0.419187705260853,0.434147923480195,0.682595816080792,0.599685742538196,0.708557156689322,0.19605161508383,0.603205667062525,0.0978499277952959,0.629781561118278,0.43201329403707,0.474919649785685,0.292832990419085,0.217636288992856,0.235305535113108,0.645397165113258,0.641585247796952,0.665042903236418,0.572229684735782,0.466635169454108,0.2611206601725,0.525497058763477,0.647542840985812,0.342740677415207,0.617210117599573,0.641989532244132,0.72955280497756,0.45393655813802,0.540027217535929,0.376171388350132,0.338733652258251,0.515922122005974,0.419065301435391,0.433174724850257,0.460470617448945,0.641203675481326,0.333575145254859,0.397138261989905,0.6490082915107,0.51669948713941,0.632003790990643,0.577708604310097,0.514551842884658,0.39202985084738,0.662232199030417,0.609158691604953,0.310869161132063,0.39747343468266,0.510639647598153,0.358379683328591,0.593623835265331,0.290506968576037,0.334843109500554,0.374775542184204,0.542317060828977,0.53699350288208,0.472701557255204,0.632626071490101,0.0879866242622513,0.30212594227306,0.139413495631192,0.584718820622096,0.677602019682338,0.230924559781996,0.529955348726672,0.282042746081732,0.593059060014216,0.185994512870191,0.572906569007689,0.352857585087791,0.326208573294775,0.61541115681288,0.688222053699026,0.357630446710814,0.435596109833494,0.230612283372579,0.567242198113958,0.630770524478232,0.508003095787951,0.687501915243324,0.452594692295827,0.693076679542915,0.737589814449827,0.527892090646543,0.463380975673686
"BTBD2",0.740308197798681,0.273725392806831,0.0899068117533544,0.719511242786413,0.694593649135816,0.664727441705725,0.0800060756572289,0.600668341215858,0.652741948856491,1,0.401147893811721,0.603399210819008,0.466452363787334,0.12024231099027,0.313838066772778,0.0579961914535143,0.00443132056274067,0.615321185968595,-0.0527157060847557,0.363021590534958,0.369202919659255,0.239617402780611,0.803289935759318,0.77111981584315,0.793248248967004,0.634935306147496,0.471344683258074,0.621164182352615,0.751880515979198,0.778154469999008,0.786406429532764,0.358212462317611,0.762582670902316,0.256419354812367,0.147946747400744,0.681187106987758,0.116224664803092,0.271957171836023,-0.0309741005983319,0.823899885238144,0.25831528882688,0.485352337009959,0.38954358516672,0.404132755698969,0.850924706214536,0.104201073809325,0.082424628754068,0.123429772884295,0.766127178064155,0.710758449098691,0.465796329420737,0.225663617539631,0.0838014326118548,0.55925450057162,0.0545810297961727,0.438789448707985,0.528817156489378,0.679743896649919,0.842104943489769,0.844692112400544,-0.0213151273204119,0.822294016681355,-0.0842251612291169,0.748365272743157,0.227331406741917,0.479313314576339,0.167909193647614,0.420122269836321,0.0387801906363587,0.447530352329505,0.681828775222494,0.543875294135158,0.828351274664985,0.209492105239199,0.115550013211599,0.794675261767336,0.667215096689082,0.16755204033326,0.762431244223438,0.727505642412786,0.735902727240347,0.740651323333332,0.47545579986784,0.193733674869272,0.654817254218581,0.380387755733783,0.299863976018971,0.636417267385736,0.624107012512584,0.859415764219586,0.112706765727268,0.285512455100699,0.865507815845954,0.59083155176546,0.796140396366261,0.402310247282759,0.289686338971618,0.610357833269195,0.510405926026737,0.539360445750945,0.300516382724621,0.160833384223528,0.30238257281777,0.277950497679093,0.751464845897301,0.209060447904693,0.109746207963269,0.299265212563962,0.83401637418537,0.66303354545635,0.657965033017863,0.838836225202915,-0.0884713992250321,0.194838544254932,0.0789982466718673,0.363611652185237,0.733439998441848,0.211696894004603,0.281150319014579,0.0838902918042337,0.362079843900638,0.0983442475042387,0.461268605125707,0.0493863008763531,0.0635274919394493,0.533192014439804,0.80800882100126,0.102158322383676,0.344028759503609,0.207590595373397,0.568869605974515,0.676493483341726,0.377884511033833,0.866466083974646,0.275270095302517,0.826539874609934,0.756356797705236,0.74282299688227,0.326477759988339
