"gene_symbol","module"
"ABCA2","M1"
"ADAMTSL2","M1"
"AMN","M1"
"ARHGEF16","M1"
"B3GNT8","M1"
"BBC3","M1"
"BTBD2","M1"
"CCND1","M1"
"CDHR2","M1"
"CHLSN","M1"
"CHTF18","M1"
"CLDN3","M1"
"CLEC11A","M1"
"COL1A1","M1"
"COL6A2","M1"
"CORO1B","M1"
"CSNK1G2","M1"
"CTSD","M1"
"CTSG","M1"
"DAGLA","M1"
"DERL3","M1"
"DUS3L","M1"
"E2F1","M1"
"E4F1","M1"
"EMILIN1","M1"
"FASN","M1"
"GLIS2","M1"
"GLTPD2","M1"
"GPC1","M1"
"HGFAC","M1"
"JOSD2","M1"
"KNDC1","M1"
"LAMA5","M1"
"LIME1","M1"
"LRP3","M1"
"LTBP4","M1"
"MAMDC4","M1"
"MEGF6","M1"
"MICALL2","M1"
"MIF","M1"
"MT1G","M1"
"NLRP6","M1"
"NOTUM","M1"
"NOXA1","M1"
"OPLAH","M1"
"PAQR4","M1"
"PCNX3","M1"
"PGGHG","M1"
"PLCH2","M1"
"RECQL4","M1"
"RPUSD1","M1"
"RTN4R","M1"
"S1PR2","M1"
"SCAND1","M1"
"SLC49A3","M1"
"TELO2","M1"
"TMEM150B","M1"
"TMEM54","M1"
"TRABD","M1"
"TSSC4","M1"
"TTYH3","M1"
"UBTD1","M1"
"ACHE","M2"
"ADAMTS1","M2"
"ATF3","M2"
"C11orf96","M2"
"C1QC","M2"
"CAPG","M2"
"CCL2","M2"
"CCL24","M2"
"CCN1","M2"
"CCN2","M2"
"CD69","M2"
"CDKN1A","M2"
"CHI3L1","M2"
"COL16A1","M2"
"CSRNP1","M2"
"CXCR4","M2"
"DCDC2","M2"
"DTNA","M2"
"DUSP1","M2"
"DUSP2","M2"
"DUSP8","M2"
"EDA2R","M2"
"EGR2","M2"
"FCN1","M2"
"FOS","M2"
"FOSB","M2"
"FSTL3","M2"
"GADD45B","M2"
"GADD45G","M2"
"HBEGF","M2"
"ID4","M2"
"JUN","M2"
"JUNB","M2"
"KLF4","M2"
"KRT23","M2"
"KRT7","M2"
"LAMC3","M2"
"LPL","M2"
"MAFF","M2"
"MMP9","M2"
"MSC","M2"
"MUC6","M2"
"MYC","M2"
"NR4A1","M2"
"PDGFA","M2"
"PDZK1IP1","M2"
"PHLDA3","M2"
"PPP1R3G","M2"
"PRAMEF10","M2"
"RAB25","M2"
"RASD1","M2"
"RGCC","M2"
"RGS1","M2"
"RGS16","M2"
"SERPINE1","M2"
"SGK1","M2"
"SLC1A7","M2"
"SOCS3","M2"
"SPINT1","M2"
"SPP1","M2"
"SPSB1","M2"
"SRGN","M2"
"ST14","M2"
"STMN2","M2"
"SUSD2","M2"
"THBS1","M2"
"THY1","M2"
"TNFRSF12A","M2"
"TREM2","M2"
"ZFP36","M2"
"ELFN2","M3"
"GABRB3","M4"
"LINC03040","M4"
"SULT1C2","M4"
"NPM2","M5"
"SERPINA12","M6"
"TMEM125","M7"
