"","548nash1","548nash10","548nash100","548nash101","548nash102","548nash103","548nash104","548nash105","548nash106","548nash108","548nash109","548nash11","548nash110","548nash111","548nash1119","548nash112","548nash1120","548nash1121","548nash1122","548nash1123","548nash1124","548nash1125","548nash1126","548nash1127","548nash1128","548nash1129","548nash113","548nash1130","548nash1131","548nash1132","548nash1133","548nash1134","548nash1135","548nash1136","548nash1137","548nash1138","548nash1139","548nash114","548nash115","548nash116","548nash117","548nash12","548nash13","548nash14","548nash143","548nash144","548nash145","548nash146","548nash148","548nash149","548nash15","548nash150","548nash151","548nash153","548nash154","548nash155","548nash156","548nash157","548nash158","548nash159","548nash16","548nash160","548nash17","548nash19","548nash2","548nash21","548nash22","548nash23","548nash24","548nash25","548nash26","548nash27","548nash28","548nash29","548nash3","548nash30","548nash31","548nash32","548nash33","548nash34","548nash35","548nash36","548nash37","548nash38","548nash39","548nash40","548nash41","548nash44","548nash45","548nash46","548nash47","548nash48","548nash49","548nash5","548nash51","548nash52","548nash53","548nash54","548nash55","548nash56","548nash57","548nash58","548nash59","548nash6","548nash60","548nash61","548nash62","548nash63","548nash64","548nash65","548nash66","548nash67","548nash68","548nash69","548nash7","548nash70","548nash71","548nash72","548nash73","548nash75","548nash76","548nash77","548nash78","548nash79","548nash80","548nash81","548nash82","548nash83","548nash84","548nash85","548nash86","548nash87","548nash88","548nash89","548nash9","548nash90","548nash91","548nash92","548nash93","548nash95","548nash96","548nash98","548nash99"
"ABCA2",9.44229337185519,9.08228017117142,9.93673853845001,9.03180367879903,8.76560869095532,6.89024663572819,8.1070920723616,7.65339158393524,9.9606594294645,9.61167274369479,7.57303785045119,8.67579150781626,8.29880602599365,8.01925344491602,9.33994314877567,8.08508304837482,8.88669251495098,8.86113113240363,8.38978175225082,9.20956480372785,8.44269070501559,8.64216959711343,9.16684079811544,9.33102612019984,8.60338767411763,9.68969637597101,7.92756734153361,10.1677964977724,10.1581914246709,8.62698994719364,8.37296731959324,7.9655826586062,9.9290084921734,10.0392120018319,8.22232796378725,10.4596638933473,9.77612196451176,8.38882338388439,9.37715150399039,10.8384377921493,7.59641632641234,7.81695432466604,9.05335887463801,9.11589546133562,10.0596201517475,10.9071918371481,10.5713064526857,10.3233980543015,10.6560650677385,10.2960156005092,9.44260019675682,9.74978513740126,11.2256906931043,10.8808025383717,11.2567844207947,11.3501257924438,10.9034730893075,11.7504569080066,10.3852313380916,11.0827152209047,8.82593422212194,11.5376445511558,10.0394131954066,9.69636574942075,9.08042262171378,9.99668673886684,8.65342889320372,8.8096917252731,9.36202083985784,8.72982855034902,7.2954320613521,8.1984926370781,9.22911995993904,8.64424947647743,9.43695913414758,9.76556390733187,9.60201426740547,7.85249565833544,7.8767407895725,9.17691767032182,10.2418032353873,9.57350381298347,9.69520393816003,8.2868438590996,8.36491006917067,7.53833028591279,9.79398224266059,9.52981637849803,8.89106416436503,8.91944064880495,10.234626076236,8.5631904963935,8.12877103867134,8.05268548816911,8.88544893736235,9.35877105441212,8.53677756014209,8.98500591668234,8.25948948715656,9.74074787435205,8.92155955216125,8.75115823406308,9.10078671735507,9.7439887230968,8.62136221835236,8.50798413689997,8.22875907359194,7.54782026744773,8.51948496300095,8.20312419324729,7.92711455226595,7.97773008553091,9.7757374516857,9.18525002206386,8.59820041610604,9.54940479778461,7.14619390114133,7.53267680276644,7.33281635647938,8.43387811690634,8.19842084005338,9.81679775666653,9.8151248945818,7.76371592297122,8.38995574586038,8.16224147700517,8.14663724602618,8.88895231010964,8.37183834528699,8.59049378349034,8.85934647660176,8.42286712163704,7.96077269081256,8.15487939886913,9.72632062789936,9.47596312783002,8.88161405812343,9.88670220232713,7.23945203326284,8.2709502411109,9.65804575728475,7.72385186007134,8.16890993435139
"ACHE",6.46994417548931,6.05539371573941,4.87609970881503,5.88432966533616,4.87609970881503,5.69810594162131,6.01923568116256,5.94870426919044,5.16952119650205,5.20987885164729,4.87609970881503,5.33548657742846,5.27867299335709,5.16066506735359,5.71666775180666,5.38827130163029,6.40656580026206,6.10942957279617,5.58955147012247,7.63761480539957,5.6880240698635,5.5454831007629,5.96274769359446,5.80501830782112,5.50307961346486,6.02629547431976,5.43189694966854,8.0097590413123,6.31292190171208,6.00896880325815,5.33477194522472,5.37751159010578,5.59079676239673,5.53060773172839,6.19597912436167,5.42076675867455,5.65908505925662,4.87609970881503,5.47964425612947,6.44677611988108,5.55994567867326,5.81105519923545,6.03238721570868,5.32325042240942,6.66026026301609,7.48955869850531,5.63618619880091,5.64558687142678,5.56277870132317,6.27838935826502,5.74408341514177,6.28924592388729,5.44490328694347,5.82374380133689,5.5621377555499,5.12587987389784,6.35395483003904,7.0406655908955,5.60570497720649,6.01538627442724,5.7566418396168,9.01204476856251,5.41185558419401,5.90517244038881,5.74083386804877,4.87609970881503,5.65104738837983,5.71457331158498,5.40627707132536,5.75018347325187,5.46403663937999,5.45764518182376,6.03619911127249,5.63557974660628,5.58054902484773,5.78210310321277,6.4505178541676,6.30940897143485,5.44979101487201,5.68847480319143,9.37668582619675,5.12715708270651,6.38554511425281,4.87609970881503,5.32293954113634,5.42842305221886,5.45823303731772,5.89513174040313,5.14317683778765,4.87609970881503,6.38245232215817,5.69155313991172,5.39454283916991,5.98625634158958,5.62484579224047,5.66706260684336,5.33168474439123,5.81970150750842,8.00758153753216,6.02027853626023,5.903882945731,5.89929452298307,5.56807280762188,5.68814376580506,5.14525858680708,5.71183404398943,4.87609970881503,5.72207553837682,5.66315599883117,5.24610853091233,5.35901042841439,5.82322504252085,5.42459245918275,5.7290947328436,5.85401921696793,5.84411455051541,4.87609970881503,5.30701156361288,5.55195128074614,6.28267576305949,4.87609970881503,5.77012784779454,5.57561109410055,4.87609970881503,6.46138561770657,5.29177283124304,5.8495183498001,5.54623037034259,5.51723495127279,5.10658004620209,6.26929014967831,5.74726822233895,4.87609970881503,4.87609970881503,5.38983424853461,5.66814524684934,5.30995522982795,5.36350887344384,4.87609970881503,5.93752168389128,5.50973046377922,5.15735436261956,5.57008123851217
"ADAMTS1",7.90360690268599,7.73944073378442,8.15270747383858,8.29096852894722,8.18089702767574,7.83577357833125,8.73380650584889,7.45282909361332,8.55382660701934,8.01727631620323,8.31229779389843,8.00314917029938,7.53343131048311,8.77251926488479,11.1509758355788,8.25088062126068,11.7164734540011,12.1289807663578,9.89037511894484,12.8377206378319,9.05046332594542,10.9935217563874,9.77891231218255,7.6127979019386,8.1199023250048,7.95465233859559,7.55456203401375,7.8760829975661,9.89973971900685,8.18393055645882,7.15463633535292,7.34074436001739,7.9597892813469,8.39008277011386,8.90901560206745,8.06225075603643,7.08430270718367,8.00406872692574,8.06384266036171,8.10754695926537,8.0168168150812,7.98985692923585,7.87795099939556,7.272206437935,8.66234315050012,12.0413304638638,8.78296858794075,7.9899620816731,8.42979568608982,8.32421014561933,7.15278402931085,8.55340433029467,8.51192183101142,8.43109297821138,8.3563668603074,8.36104761543811,8.15810392319602,7.01215680708566,8.22613740745829,7.99684096716515,8.33894285923668,7.96705312054827,7.71632332151464,7.7864048788116,9.03752697186833,7.53057219146515,7.16859429685932,9.30974911195409,8.23131850867379,8.41239799659685,7.39736734497675,7.52088727381183,8.62301717542509,8.17459239318492,12.8970168889447,7.811270776323,8.23910044166571,8.38806979315907,8.53323279186031,8.53044122675124,9.73399410299107,8.23813815972735,10.9185950003538,8.1620306046547,8.4617444164025,7.94806939864579,8.10277509587824,9.62940948730978,8.40856743421423,10.4430030157878,8.95901773248117,9.24661858978486,8.06752636099457,7.33028153414514,7.55610849573665,9.60537029502214,8.08275311830561,7.46701664247115,9.50891396445305,8.31620687799567,7.99260772645744,8.89594741785838,7.88321728408297,8.40260869795683,9.18771598578842,9.26581319130596,8.10064629611456,9.54391017979042,8.4591425311841,8.25960281344424,9.00637459819858,7.76058367503913,8.97179266412294,9.3367078126692,7.75082724455935,7.92332843267641,7.30971363896372,7.68558992289698,8.48480525543106,9.53684989292175,7.79387453785801,8.4846541414276,9.03932131625564,8.01595005270031,9.47248919226101,7.5636653824322,7.9197187264238,9.09840293444992,7.18148582456191,8.69145311634006,9.13582598941158,8.49501218764961,6.54143294413287,8.63482439993242,7.82721662894185,8.88649733174157,7.69413473811675,8.3870034580716,8.37035386628504,8.54034553721637,9.21095481695667,7.89930507689248,6.89515530189197
"ADAMTSL2",8.82407857823909,8.77470186400767,7.45635113112875,9.11644026644476,7.34169777758701,8.11210695598592,8.35763052097366,7.96285962425301,7.88699137429198,8.17708254543627,7.56273561014508,8.4241262218487,7.85943768300719,8.39166164603625,9.50677566914421,7.48555963021425,10.5849871690945,9.76680144819531,8.83613998327283,9.90619245481071,8.61331408321554,8.41854544309672,8.75552293281318,8.9437524030363,8.83565953807683,8.94312135256734,6.95236745546796,8.95796885016834,10.4265506760674,8.42265509862378,7.73701269218378,7.59101330694302,8.91021193196593,9.68119431860541,8.86700277128408,9.26532309132553,8.43877855988986,8.14779271584705,8.35435118084485,8.80973228614131,7.52883190823367,7.9144037399929,8.71918891170929,8.02859821279561,10.027768383635,10.9657371592759,8.99399659434612,9.77435849771904,9.83135206158006,10.4117907052742,7.77552901565325,9.35366863940641,9.3401999586775,10.2339928091085,10.1592765315787,10.5517171875383,10.6586196762745,10.2536447042886,10.0603834074637,9.43355259488393,9.16546142923671,10.3581969231438,9.24621793647283,8.86351142509609,9.23786075118631,7.25273258311819,7.81524046039819,9.52684525143662,7.98215365326432,8.47727142359196,7.271693973829,8.01422114028014,8.21993369239421,8.69248644118294,9.30117954778741,9.19741459919689,9.11735310861348,7.83912947299251,8.34104295854805,8.69566341371649,9.86405948488285,8.46790916962469,8.7337295120536,7.48913912438219,7.88773216807055,7.21714458271757,9.14490622653914,8.02729001532352,7.59663544721508,7.81896972190414,8.54516634122781,7.67128244418218,7.759628262846,7.79619251706718,8.98125999282933,8.25598423373354,7.99529180203337,7.83109076773506,7.58647679205299,7.80429729145394,8.31080687809261,8.3809531442292,7.62941566841596,8.43214093593527,7.62858183847186,9.02871342654727,7.78515203383994,7.16090187197161,7.63468744125225,7.40258928961658,7.40851817595423,8.09751528911259,8.76993270127586,8.34292660457851,7.87062833969429,7.61586949831173,6.90257533653611,7.19972611855494,7.72271321104615,7.87462180818122,6.99924310616395,8.95447732904,7.91191479086017,6.89031670436223,8.68172975043883,7.72062754238859,7.50557874768691,9.15224575329282,7.73392613401148,8.20287898813873,8.5706702990518,8.70785344458152,7.44414948914644,8.44048522408938,8.45429906673498,8.92080011968659,7.84709952041258,8.72934274689402,7.20688670030948,8.02721013791825,8.85089661173316,7.62705389429457,7.86674434204523
"AMN",7.74997726719692,7.9877839293083,7.22234779177347,6.90159781824124,7.06918119163512,7.13703487660127,6.95774898078156,6.54189307724675,6.48060465664078,6.27839790677056,6.84163252038423,6.72272964582035,7.20199622431235,6.19647380089407,5.41218358372274,6.44588071322999,6.21588625850621,6.81556467769865,7.14277601016301,7.06425221720524,8.11824164004562,8.0041385692492,7.82772299581162,7.51434388418121,6.9318939648881,8.52376849338316,7.36897298193941,7.37463440308149,6.27830783596316,6.35948709175952,6.45660851012742,5.94043197011521,6.72442638109686,6.6466231532634,7.13747928241858,7.18992766245693,7.24252479760739,7.92629559607951,8.26672450278527,6.26297973030859,6.76021376761134,6.8094616616871,7.72528316741712,7.94106067163722,9.69273112972304,7.98525264681016,10.4087495138822,9.42924080377913,9.17322665811003,7.54490090218771,6.16151747893467,8.76478777506562,9.48013689273863,9.85408214499956,7.52793220281277,10.6884251162941,9.4429605263547,8.6794595704815,10.3141620571928,8.50185850237036,6.6657264913104,9.47752051722023,7.412997950372,6.68067600861671,7.24672531322043,6.2121512788216,7.50786431360793,7.13988761512524,6.63181336226994,6.95439954143717,6.49090535912971,6.25693921329302,6.66925200392181,7.28793380409617,5.83882869215902,6.83651021495452,8.65774013089525,7.00620755254487,7.00539655685984,7.41380616537265,5.99124223906514,8.60053463951749,6.4926707667277,5.9140863040915,7.25235391965533,6.69763406293206,7.11409777489294,6.163750199411,6.75888409427666,7.72979176485719,8.79134424285671,8.02050905789349,6.53198160192269,7.48988308332589,7.47185664021232,7.01094438366975,7.47498125280387,6.26934912610852,6.4095352501649,7.66435648942486,6.30181062344476,7.71103336363912,6.82125660859253,7.46902555211777,7.13717630027968,6.69849193964081,7.64649414110164,6.94766283924333,7.14180937931122,7.11849745941963,6.17513904026171,6.23660522110849,7.66626674222124,6.5476605784198,6.79926167519683,7.68958803706518,5.98336623387858,7.04740055763535,6.67008437686569,6.45290314578662,5.71151892768164,8.20614996269056,6.57682766877229,5.93514649342478,6.59982996571106,7.29612759975771,6.96525400509062,7.65906108251921,6.85999569728542,8.23591997196165,6.59464982126806,7.91258385295275,6.20268423764222,5.9365639658482,7.71985353329905,7.17656263394916,7.31293723282611,8.54888715437537,6.73569835265134,6.81817909794198,6.13918514015273,6.8003299414161,7.08209102849376
"ARHGEF16",6.7292802082661,6.41185715079903,6.29530978493576,6.912208971235,5.63999862531812,5.94253012805894,6.47905561497412,6.33698285573885,6.17837889998933,6.27839790677056,5.99349184057451,6.27902023614776,6.17164816968678,5.95470737692885,7.13743756859068,6.02518889907869,8.05864435123707,6.76766203246376,5.87529498137395,6.58423296495204,6.05795571112109,6.30543785054235,6.75343358685093,6.66287183788502,6.58880634488386,6.29336340334748,6.29751811974604,6.2980727459285,6.79377376787413,6.44173344555666,6.18656871223029,6.16600190608428,6.46242225797467,6.60438540125918,7.06172772771125,7.36353463402799,6.45825090937461,6.43613578422556,6.78129427820154,6.70009738830287,5.86695572880431,5.95885898852044,6.60597293054832,6.28560884396781,7.34499839803898,9.56202483230332,7.65988901382329,7.39242034796978,7.21741358058425,7.40683973729868,5.94675441966183,7.44948103526782,7.74312602596067,7.75546371519351,7.4481240242392,7.70141597093594,7.24899866156245,7.49087759281206,6.77275865198545,6.71065041441701,6.71254084022936,7.44774630126604,7.11412079329571,6.9567430532332,6.65182924814165,6.59893414426286,6.30964987519353,6.85677555389435,6.090327820053,6.83985901860022,5.83982501273063,6.35901379832055,5.95406350727412,6.67747974675163,6.55183865786333,6.61149548285584,6.98681077902315,5.63818388899952,6.06701482769017,6.9144319961114,6.5732825327017,6.57193861884342,6.26712313459215,6.54610007900012,6.30491629583633,6.02437268570815,6.86760553358738,6.95379317690657,6.04036009453883,6.22353054247327,6.91565466860105,6.01493851050236,6.01204952339571,6.97678925374127,6.71174025448184,6.47327295208642,6.33095672933456,6.21628648729177,6.62266436923345,6.41082005210834,6.79882106410819,6.95731633990274,5.99856471882569,6.16843672015842,6.2268409878427,6.61205359109472,6.10226802695337,6.65987881100678,6.13685307223873,6.71279793552065,5.93690955142065,6.2981967146468,6.84301247702779,6.63479954749867,5.7374559888006,6.0877279131605,5.74193831466061,5.96669602747971,5.44876890884431,5.97296049798604,6.28654461735234,6.6699460933258,6.5620463074829,5.84081886014116,6.02381399195052,5.85040495113999,6.11804612338256,6.74579570715431,6.34996242949932,6.06320996876648,6.51067355948534,6.9136473148577,6.0122347714894,6.1050292995409,6.62846876702917,6.38515559170775,6.23631271227335,6.75883656920042,5.94957247892153,6.19089974242964,6.93898252823793,5.87189872428408,6.59336056687367
"ATF3",6.00247576251571,6.41185715079903,6.37788359743259,7.32549245850927,7.58608326025874,7.34486333763577,7.00463695188994,6.54189307724675,7.63094132358014,6.52338405456705,6.19848964910891,7.61821208266203,7.52420823186485,7.07540222946427,11.0688651023268,6.46320428232753,10.068826799352,10.7418321754461,9.15179102667142,10.9864596072878,10.0098939038067,10.2365192192457,11.2105643338473,6.48744359296313,7.71121439651273,7.52912330522354,7.6549425659078,7.06382038339665,7.22335383391107,7.82983970641926,7.51356363170623,6.93239299360395,7.13829376959753,6.73983472151968,8.32468543503774,7.80242618059065,6.88142866029431,7.21937409495878,7.34831929350581,7.70845389531194,7.53650757273304,8.30373107866807,6.82016560120028,6.84204200724223,7.56059202477298,10.2599668971546,7.11162616139263,6.83634313761253,6.48875554457178,7.15669816665112,7.29279711362668,6.39333573891039,6.98973381187433,6.51605346373916,7.29149166761622,6.91173668296952,7.54512628878503,6.62824682337684,6.91448386552609,6.42759566619156,6.43870716177389,6.46675407359178,7.19006769540658,7.29310056276243,7.06966723589764,8.09606695398932,7.50786431360793,7.29421405210374,6.38368849095135,7.49708593760452,7.55191991933136,7.11481539604614,7.04825460412834,7.66029929443988,10.089097319868,7.01464378317561,7.18864586511327,6.19282539520189,7.18728123970153,7.82664804059482,7.89054094405791,6.90938993898609,10.1123754642092,6.3654904266012,7.48268059467242,6.57661563944859,7.17855881035105,8.4764383615553,6.65287985979137,8.88786228617609,8.6817166514519,7.1422762197838,6.99646732654892,6.91382756132148,7.04364512168959,7.54100322399363,6.40951192934624,6.8473027823348,7.84139846844625,7.34784210264751,6.83645655304077,6.599114369943,6.84789010391828,7.43962824811876,6.56583636135213,6.5663989271643,6.07884742255691,6.40848981174908,6.65762051963618,6.25945978521235,8.92957334253969,6.84480411908778,7.81393731395789,8.6019149349978,7.58697112118568,6.93220830616581,6.54010065290255,6.08865767829408,6.2785092210056,7.67758652287989,5.93225343610202,6.84910376905241,6.13362022483521,6.19457070084205,7.31495813575719,6.63122829303354,6.75683845128742,6.54229746254949,6.88580604465644,6.66239981706633,7.15213446893567,6.77794977815686,6.50421365073831,6.95653999302537,7.491946884845,7.32177507259266,6.4790243738008,6.69220013273267,6.73569835265134,6.97141872310922,7.44856171712658,6.90489840269589,7.26267144128043
"B3GNT8",5.1407502216423,5.81343872365307,5.680537289825,6.00973475410073,5.73524500523573,5.19038669156225,5.54741786162804,5.52644850396177,5.69635917512214,5.80609092345599,5.48390692475561,5.62114188991239,5.44360718599587,5.71913472125186,5.09600337228804,4.87609970881503,5.77065581215566,5.44099559799947,5.5536145084114,5.88476252980758,5.7567143101204,5.67318497755966,5.71924807353182,5.66921125631513,5.7560728069988,5.40130937796499,5.19830740861573,5.38875003274497,5.66137420851458,4.87609970881503,5.40499544026447,5.73615588376722,5.91622230485954,5.76174055773129,5.71880643054495,5.42076675867455,5.22968909757629,5.41132002565015,5.75722696152501,6.46546509884026,5.24406419909268,5.44105485750925,5.43243221563551,5.89178243767476,6.66026026301609,6.28620601660982,6.04234116320316,6.30007663937853,6.39818511212917,6.20760564108075,5.46604137044817,5.95742798295015,6.69470230987646,5.85580095177015,6.46982332358726,6.90044423822533,6.20039278160637,5.64579966512924,6.68811751401194,6.67407378772403,5.89883558253875,6.48847289111027,5.96118856177429,5.38330701726756,5.24932636771187,6.17109377880443,5.54920009490717,5.3646962608005,5.62178174283036,6.20369082651414,5.29326190828534,5.24538754722525,5.5079784987159,5.34451320013918,5.3242676570611,6.05353377034646,5.50527309763396,5.41806917383374,5.44979101487201,5.98026480727586,5.69672740039745,5.83208187166262,5.39258859184177,5.16972794491502,6.00539918771347,5.15352335416015,5.74217207588227,5.1891619318194,5.98344721097184,5.6021235912341,6.09204188821039,5.73025499581257,5.55923190145411,5.67053514395726,5.67529843919797,5.77467819567403,5.40144522443488,5.68460473827503,5.15534459259807,5.54805065131016,5.77918052215386,5.3803196009995,5.24849585773303,5.75684355286968,4.87609970881503,5.38450784487611,5.37891434203328,5.3440725673441,5.40437856765036,5.39795678434616,5.49763165031829,5.6805565251981,5.75232409617484,7.71165244859019,5.69443046332228,5.23530822838864,5.38094812426221,5.3730647927947,5.55195128074614,5.67726479185784,4.87609970881503,5.671210964698,5.37312674438303,4.87609970881503,5.61987499159046,5.35553051956347,5.38570686497207,5.88809277231787,5.33130001514011,5.63263177074593,5.85237966629945,6.01623460132696,5.68957033107027,5.52460428037222,5.38983424853461,5.56413905213383,5.40647482628833,6.65747761012559,5.72789646092772,5.73376887955827,5.80040370695816,5.70956165796586,5.22559040971961
"BBC3",5.70281437422614,5.61626610371706,5.680537289825,5.73761569133396,5.44323147882505,5.7532247686194,5.61019919826441,5.78836432676281,5.52778677300813,5.34709374761541,5.1816842670577,5.70684436009528,5.6736657431431,5.67214073436709,5.95160470916143,5.13319210662383,6.23067660734997,5.73930111705468,5.82583668801049,6.13416748893496,6.24867136120385,5.4966083321759,6.247066587435,5.6983785294449,5.8562995636431,5.49618933781426,5.77473771704099,5.82313896901242,6.39498276936277,5.84544302223793,6.06115168156226,5.82393138973313,5.95378365033128,6.11035780789248,6.02057835150025,6.38072097952551,5.69632575102657,5.86375719058727,5.90703407761234,6.09456975877507,5.45557767093614,5.98569220865808,5.60872933195787,5.6445738615808,6.27481655999447,7.24170069556953,6.10535821297832,5.69109274825353,5.93257693758571,6.20760564108075,5.52146596064905,5.79062379901896,6.17445822808887,6.61104154739806,6.33887244286851,6.13526877958646,6.65200904667317,6.75799216181105,5.98501678021768,6.0808304655164,5.67476296738079,6.5097938124324,5.864719451918,5.96145735995059,5.88065842554809,5.52834184081851,5.60205985732139,5.81037964361564,5.25204027381587,5.61068624393583,5.64994995148796,5.73191912136091,5.5079784987159,5.80112031838297,5.61421734556243,5.74118633075019,5.6182510402028,5.48116503059328,5.44979101487201,5.91611602732097,6.1087586879564,5.43469390519958,5.95246024419761,5.29064226859165,5.89109863123379,5.26783621216841,5.78755623815641,5.8011993725652,5.71021211185256,5.45231032720191,5.81582261443755,5.73025499581257,5.45496970402753,5.86030448113301,5.80893678278877,5.38007102431047,5.46265610610646,5.37521745529361,5.15534459259807,5.75921153874462,5.6311883654171,5.83949443646851,5.46250071406184,5.8498522133714,5.53072779390037,5.49718956417299,5.31209615805327,5.14707156243532,5.40437856765036,5.13809296014165,5.27100396998198,5.82322504252085,5.36727090401239,5.8564896325359,5.48962374073314,5.54387730931912,5.23398728531051,5.12550193613082,5.23970690860635,5.44619984556804,4.87609970881503,5.63505761220772,4.87609970881503,5.65460774288366,5.42814369096073,5.21588468687524,5.63568679260476,5.42487687402305,5.40100278044425,5.27446128707742,5.98083237817603,5.71120226958733,5.5431712159639,5.33657503725441,6.23919489089495,5.87822289379331,5.18345761016875,6.13179187941859,5.11551721587793,5.73376887955827,5.98522225202505,5.27322901921459,5.78778243459626
"BTBD2",7.89143055031464,8.25160731115229,8.11799176025504,7.37849494072327,6.617934034009,7.15194443961908,6.97356778983881,6.64191689294196,7.56593591203611,7.68737376076346,7.71899537288687,7.65529775975281,7.66483460499551,6.96814122708658,8.22171256250573,7.1640912764204,8.1142877958903,7.39889354142802,8.5964077709524,8.81458325486268,8.05293759434155,8.63547761102094,8.77666164213231,8.6038020604506,7.41437245809516,8.52376849338316,7.4954571849026,8.41758854330158,8.45347595619942,7.39182543517297,7.9938393077248,8.25518674520724,8.30894464314258,9.23544478991397,7.54672399709911,8.1189478860319,8.0431622411748,8.08876539690382,7.94513342490564,7.95531146689398,7.39977308947902,7.38902142354567,8.24546974965259,7.79229240740014,9.76215749082121,10.1776672529756,9.9192707997938,9.84490483035773,10.2779106635981,9.46441615248559,7.63512557245449,9.06335492135838,10.3919389304231,10.2170273972497,9.88743666158005,10.3711636975258,10.0877680122504,10.0254039165887,10.6976006238502,9.42090061475364,8.17290349196361,10.0901296559844,8.48147434306165,8.28856100223725,8.31238293898802,8.46642011351901,7.65824989658949,7.75091553413544,6.85093050065205,9.1451978502564,7.13301762589207,6.55553518393166,6.88531231460491,8.18505790148033,7.84978449611941,9.00250439838405,8.14874740047472,7.44578808489353,8.33575642880769,8.31952268213116,7.75714229597514,8.14021395595757,7.00093671649446,7.77051829203119,7.28905470779508,7.52963286469291,7.73752872316928,8.21620664920373,9.159780071189,7.75585976003553,8.86766470454091,7.38599515332814,7.29213764247633,7.71333968178165,8.50217028912028,7.9702921616225,8.57099264943518,7.0920187599753,6.87798503667122,7.23970704171686,7.39953768630072,8.4005734868405,7.42428928199155,8.17664425214661,7.68840247880734,7.96917223236292,7.4774395945759,6.72298406116138,7.01936916291303,6.84988991229035,6.47385792190203,7.40804492958022,7.64110878120519,7.82442159486453,8.12331584239329,7.73453550102817,6.65906876633782,7.32005268383302,7.56372907838794,7.72145126539189,6.07611422412654,8.55697239406746,8.09713447837374,6.70012081394717,7.16387105576979,6.36925092679232,7.43592431649425,7.67465228493353,7.30770485923432,7.2200266677944,8.41505046644593,8.05594141085344,7.88362592220421,6.61806627289402,8.5521789931206,8.11291006527253,8.17939286394033,8.57488053774714,6.45651937732348,7.69889188492746,6.99746636932783,7.11612308471826,7.02272029462054
