"gene","wgcna_module","module_num","kWithin"
"ABCA2","ME_turquoise",1,1.96362757641658
"ACHE","ME_turquoise",1,0.00536491874551974
"ADAMTS1","ME_turquoise",1,1.69236805639569
"ADAMTSL2","ME_turquoise",1,3.93102836816468
"AMN","ME_turquoise",1,0.585235552511734
"ARHGEF16","ME_turquoise",1,1.38042518773412
"ATF3","ME_turquoise",1,2.45801338858315
"B3GNT8","ME_turquoise",1,0.137203886476295
"BBC3","ME_turquoise",1,0.874223802177803
"BTBD2","ME_turquoise",1,4.0427525667081
"C11orf96","ME_turquoise",1,2.04185936308879
"C1QC","ME_turquoise",1,0.676842220426881
"CAPG","ME_turquoise",1,0.728668076576567
"CCL2","ME_turquoise",1,1.90044073148113
"CCL24","ME_turquoise",1,0.0218731446458244
"CCN1","ME_turquoise",1,3.2333173573517
"CCN2","ME_turquoise",1,1.62336121259018
"CCND1","ME_turquoise",1,1.13563626174421
"CD69","ME_turquoise",1,0.849725360129651
"CDHR2","ME_turquoise",1,0.00857199437625737
"CDKN1A","ME_turquoise",1,1.1056873115156
"CHI3L1","ME_turquoise",1,0.280704638575454
"CHLSN","ME_turquoise",1,4.53567654566645
"CHTF18","ME_turquoise",1,1.54757217324813
"CLDN3","ME_turquoise",1,3.6577343817405
"CLEC11A","ME_turquoise",1,1.35095117945405
"COL16A1","ME_turquoise",1,0.652545762146489
"COL1A1","ME_turquoise",1,2.12273290675121
"COL6A2","ME_turquoise",1,2.74753953241159
"CORO1B","ME_turquoise",1,2.4394225058063
"CSNK1G2","ME_turquoise",1,3.25663621437959
"CSRNP1","ME_turquoise",1,3.18821014377582
"CTSD","ME_turquoise",1,3.22033304258358
"CTSG","ME_brown",2,0.00196732330302684
"CXCR4","ME_turquoise",1,2.09930152915539
"DAGLA","ME_turquoise",1,1.51705701189092
"DCDC2","ME_turquoise",1,0.231346940370318
"DERL3","ME_turquoise",1,0.0155060042423838
"DTNA","ME_turquoise",1,0.123593886032669
"DUS3L","ME_turquoise",1,4.29096281976632
"DUSP1","ME_turquoise",1,0.480142737889601
"DUSP2","ME_turquoise",1,1.29261690041765
"DUSP8","ME_turquoise",1,1.09960525011724
"E2F1","ME_turquoise",1,0.0441958833751263
"E4F1","ME_turquoise",1,5.91719045994619
"EDA2R","ME_turquoise",1,0.0424376308015733
"EGR2","ME_turquoise",1,1.40268292749057
"ELFN2","ME_yellow",3,8.30268775761481e-05
"EMILIN1","ME_turquoise",1,4.32403233932349
"FASN","ME_turquoise",1,1.55348992331406
"FCN1","ME_turquoise",1,0.275735738610676
"FOS","ME_turquoise",1,0.716628505964504
"FOSB","ME_turquoise",1,1.9032282050619
"FSTL3","ME_turquoise",1,1.22226540720279
"GABRB3","ME_blue",4,0.00258716153210856
"GADD45B","ME_turquoise",1,0.560186392969455
"GADD45G","ME_turquoise",1,0.184605129703844
"GLIS2","ME_turquoise",1,1.80700268174673
"GLTPD2","ME_turquoise",1,5.86823403695402
"GPC1","ME_turquoise",1,6.07162524273586
"HBEGF","ME_turquoise",1,1.23042988979371
"HGFAC","ME_turquoise",1,4.37946473530706
"ID4","ME_turquoise",1,0.429170751620036
