"gene","wgcna_module","kWithin","old_module"
"ABCA2","ME_turquoise",1.96362757641658,"M1"
"ACHE","ME_turquoise",0.00536491874551974,"M2"
"ADAMTS1","ME_turquoise",1.69236805639569,"M2"
"ADAMTSL2","ME_turquoise",3.93102836816468,"M1"
"AMN","ME_turquoise",0.585235552511734,"M1"
"ARHGEF16","ME_turquoise",1.38042518773412,"M1"
"ATF3","ME_turquoise",2.45801338858315,"M2"
"B3GNT8","ME_turquoise",0.137203886476295,"M1"
"BBC3","ME_turquoise",0.874223802177803,"M1"
"BTBD2","ME_turquoise",4.0427525667081,"M1"
"C11orf96","ME_turquoise",2.04185936308879,"M2"
"C1QC","ME_turquoise",0.676842220426881,"M2"
"CAPG","ME_turquoise",0.728668076576567,"M2"
"CCL2","ME_turquoise",1.90044073148113,"M2"
"CCL24","ME_turquoise",0.0218731446458244,"M2"
"CCN1","ME_turquoise",3.2333173573517,"M2"
"CCN2","ME_turquoise",1.62336121259018,"M2"
"CCND1","ME_turquoise",1.13563626174421,"M1"
"CD69","ME_turquoise",0.849725360129651,"M2"
"CDHR2","ME_turquoise",0.00857199437625737,"M1"
"CDKN1A","ME_turquoise",1.1056873115156,"M2"
"CHI3L1","ME_turquoise",0.280704638575454,"M2"
"CHLSN","ME_turquoise",4.53567654566645,"M1"
"CHTF18","ME_turquoise",1.54757217324813,"M1"
"CLDN3","ME_turquoise",3.6577343817405,"M1"
"CLEC11A","ME_turquoise",1.35095117945405,"M1"
"COL16A1","ME_turquoise",0.652545762146489,"M2"
"COL1A1","ME_turquoise",2.12273290675121,"M1"
"COL6A2","ME_turquoise",2.74753953241159,"M1"
"CORO1B","ME_turquoise",2.4394225058063,"M1"
"CSNK1G2","ME_turquoise",3.25663621437959,"M1"
"CSRNP1","ME_turquoise",3.18821014377582,"M2"
"CTSD","ME_turquoise",3.22033304258358,"M1"
"CTSG","ME_brown",0.00196732330302684,"M1"
"CXCR4","ME_turquoise",2.09930152915539,"M2"
"DAGLA","ME_turquoise",1.51705701189092,"M1"
"DCDC2","ME_turquoise",0.231346940370318,"M2"
"DERL3","ME_turquoise",0.0155060042423838,"M1"
"DTNA","ME_turquoise",0.123593886032669,"M2"
"DUS3L","ME_turquoise",4.29096281976632,"M1"
"DUSP1","ME_turquoise",0.480142737889601,"M2"
"DUSP2","ME_turquoise",1.29261690041765,"M2"
"DUSP8","ME_turquoise",1.09960525011724,"M2"
"E2F1","ME_turquoise",0.0441958833751263,"M1"
"E4F1","ME_turquoise",5.91719045994619,"M1"
"EDA2R","ME_turquoise",0.0424376308015733,"M2"
"EGR2","ME_turquoise",1.40268292749057,"M2"
"ELFN2","ME_yellow",8.30268775761481e-05,"M3"
"EMILIN1","ME_turquoise",4.32403233932349,"M1"
"FASN","ME_turquoise",1.55348992331406,"M1"
"FCN1","ME_turquoise",0.275735738610676,"M2"
"FOS","ME_turquoise",0.716628505964504,"M2"
"FOSB","ME_turquoise",1.9032282050619,"M2"
"FSTL3","ME_turquoise",1.22226540720279,"M2"
"GABRB3","ME_blue",0.00258716153210856,"M4"
"GADD45B","ME_turquoise",0.560186392969455,"M2"
"GADD45G","ME_turquoise",0.184605129703844,"M2"
"GLIS2","ME_turquoise",1.80700268174673,"M1"
"GLTPD2","ME_turquoise",5.86823403695402,"M1"
"GPC1","ME_turquoise",6.07162524273586,"M1"
"HBEGF","ME_turquoise",1.23042988979371,"M2"
"HGFAC","ME_turquoise",4.37946473530706,"M1"
"ID4","ME_turquoise",0.429170751620036,"M2"
"JOSD2","ME_turquoise",2.2631093201223,"M1"
"JUN","ME_turquoise",3.12389502553335,"M2"
"JUNB","ME_turquoise",2.70831934673186,"M2"
"KLF4","ME_turquoise",2.8358267333548,"M2"
"KNDC1","ME_turquoise",0.00560597686912225,"M1"
"KRT23","ME_turquoise",1.19434296708536,"M2"
"KRT7","ME_turquoise",1.32171881358679,"M2"
"LAMA5","ME_turquoise",1.750108254864,"M1"
"LAMC3","ME_turquoise",1.95532204384955,"M2"
"LIME1","ME_turquoise",4.86619502397824,"M1"
"LINC03040","ME_blue",0.00890745423549365,"M4"
