No,Category,Metabolite,Control_Mean,Control_SD,NAFL_Mean,NAFL_SD,NASH_Mean,NASH_SD,Normalized_NAFL,Normalized_NASH,Pval_Control_vs_NAFL,Pval_Control_vs_NASH,Pval_NAFL_vs_NASH,Pval_Kruskal_Wallis,Qval_FDR
1,Amino acids,Alanine,29.40,8.43,33.52,7.42,34.77,6.07,1.14,1.18,0.036,0.016,0.752,0.039,0.163
2,Amino acids,Glycine,10.80,3.93,8.86,2.84,10.03,4.75,0.82,0.93,0.009,0.102,0.823,0.036,0.163
3,Amino acids,α-Aminobutyric acid,2.27,0.69,2.31,0.85,2.36,0.90,1.02,1.04,0.923,0.707,0.638,0.881,0.916
4,Amino acids,Valine,29.17,5.36,33.51,7.13,32.46,5.77,1.15,1.11,0.012,0.034,0.638,0.026,0.149
5,Amino acids,β-Aminoisobutyric acid,0.28,0.17,0.30,0.22,0.27,0.25,1.08,0.97,0.944,0.372,0.399,0.620,0.753
6,Amino acids,Leucine,17.00,4.00,18.68,4.45,18.46,4.76,1.10,1.09,0.185,0.398,0.728,0.393,0.596
7,Amino acids,Isoleucine,19.22,4.66,22.38,6.55,21.75,5.48,1.16,1.13,0.066,0.102,0.920,0.132,0.348
8,Amino acids,Proline,25.30,6.85,27.74,7.46,28.54,6.73,1.10,1.13,0.165,0.137,0.616,0.236,0.482
9,Amino acids,Pipecolic acid,0.25,0.16,0.23,0.09,0.25,0.11,0.91,1.00,0.638,0.526,0.521,0.713,0.786
10,Amino acids,Pyroglutamic acid,6.09,3.29,6.65,2.56,7.14,2.30,1.09,1.17,0.281,0.150,0.435,0.291,0.500
11,Amino acids,Serine,27.58,8.17,25.37,9.15,29.12,8.19,0.92,1.06,0.253,0.573,0.104,0.210,0.462
12,Amino acids,Threonine,78.56,28.72,69.24,30.32,70.84,29.01,0.88,0.90,0.384,0.690,0.982,0.716,0.786
13,Amino acids,Phenylalanine,5.01,1.43,5.84,2.38,5.93,2.58,1.17,1.19,0.287,0.268,0.982,0.462,0.651
14,Amino acids,Cysteine,0.49,0.50,0.72,0.75,0.65,0.63,1.48,1.34,0.406,0.573,0.859,0.686,0.786
