Metabolite,Category,FDR_recomputed,log2FC_NASH_Ctrl
a-Ketoglutaric acid,Organic acids,0.015799999999999998,1.1258844404831017
Tyrosine,Amino acids,0.015799999999999998,0.6856591819025106
Kynurenic acid,Kynurenine pathway metabolites and nucleosides,0.015799999999999998,0.8479969065549499
Glutamic acid,Amino acids,0.015799999999999998,1.2842670429118803
Myristoleic acid,Fatty acids,0.015799999999999998,1.253756592245783
Palmitoleic acid,Fatty acids,0.05266666666666667,1.139111879591974
3-Hydroxypropionic acid,Organic acids,0.05642857142857143,0.6222221192902385
2-Hydroxybutyric acid,Organic acids,0.079,0.6930877655522977
Isocitric acid,Organic acids,0.079,0.4780472968046442
cis-Aconitic acid,Organic acids,0.079,0.7004397181410922
α-Aminoadipic acid,Amino acids,0.08618181818181819,0.19930880822340666
Oxaloacetic acid,Organic acids,0.09874999999999999,0.5393656342810456
Malic acid,Organic acids,0.14584615384615385,1.5058909297299572
Valine,Amino acids,0.1467142857142857,0.15417761364979377
3-Hydroxybutyric acid,Organic acids,0.1621578947368421,1.0670646655163851
Aspartic acid,Amino acids,0.1621578947368421,1.2173894280870843
α-Linolenic acid,Fatty acids,0.1621578947368421,0.5047202133181229
Glycine,Amino acids,0.1621578947368421,-0.10670970643865041
Alanine,Amino acids,0.1621578947368421,0.2420269120039013
3-Methylhistidine,Amino acids,0.21725,-0.18254448797342593
Docosapentaenoic acid (DPA),Fatty acids,0.22622727272727275,0.13750352374993474
Hexacosanoic acid,Fatty acids,0.22622727272727275,-0.22826898767311726
Erucic acid,Fatty acids,0.2679130434782609,-0.5058909297299572
1-Methylhistidine,Amino acids,0.2830833333333333,-0.505235308250422
γ-Linolenic acid,Fatty acids,0.28756,0.6728352567464907
Acetoacetic acid,Organic acids,0.28865384615384615,1.3770595414191877
Pyruvic acid,Organic acids,0.30782758620689654,0.3023159656333972
2-Hydroxyglutaric acid,Organic acids,0.30782758620689654,0.7443451245318037
Glycolic acid,Organic acids,0.30782758620689654,0.35338234697064513
Isoleucine,Amino acids,0.3476,0.17840706484970265
Citrulline,Amino acids,0.37970967741935485,-0.3807294485035483
Eicosanoic acid,Fatty acids,0.4066176470588235,-0.09310940439148147
Oleic acid,Fatty acids,0.4066176470588235,0.4713918153760949
Kynurenine,Kynurenine pathway metabolites and nucleosides,0.4066176470588235,0.21759143507262685
Docosanoic acid,Fatty acids,0.4608333333333333,-0.13750352374993477
Serine,Amino acids,0.4608333333333333,0.07838789868471598
Arginine,Amino acids,0.4813488372093023,-0.3413758571155849
Proline,Amino acids,0.4813488372093023,0.1738479498940909
Palmitic acid,Fatty acids,0.4813488372093023,0.22754015441238232
Succinic acid,Organic acids,0.4813488372093023,0.11802197435696885
Tetracosanoic acid,Fatty acids,0.4813488372093023,-0.044394119358453395
1-Methyladenosine,Kynurenine pathway metabolites and nucleosides,0.4813488372093023,0.0
Histidine,Amino acids,0.4813488372093023,-0.24431993887527653
Pseudouridine,Kynurenine pathway metabolites and nucleosides,0.4937500000000001,0.16293857112620563
Pyroglutamic acid,Amino acids,0.49976086956521737,0.22948184612276717
Creatine,Amino acids,0.49976086956521737,-0.3323750788124151
4-Hydroxyproline,Amino acids,0.5076170212765958,-0.6970800198797218
2-Hydroxyoctadecanoic acid,Fatty acids,0.517530612244898,0.0
Nervonic acid,Fatty acids,0.517530612244898,-0.11247472925841268
Lactic acid,Organic acids,0.5782799999999999,0.12033653909753725
Leucine,Amino acids,0.5970576923076923,0.11886780662071018
Fumaric acid,Organic acids,0.5970576923076923,0.557481764299049
Asparagine,Amino acids,0.6185849056603773,-0.18249712256631298
3-Hydroxyoctadecanoic acid,Fatty acids,0.630537037037037,-0.26918663281538907
Phenylalanine,Amino acids,0.6500175438596492,0.2432215013507952
Creatinine,Amino acids,0.6500175438596492,-0.16848532959258647
Xanthurenic acid,Kynurenine pathway metabolites and nucleosides,0.6500175438596492,0.16046467219324612
Linoleic acid,Fatty acids,0.7082758620689655,0.23697995755949433
Glutamine,Amino acids,0.7404576271186442,-0.1994684197740585
Sarcosine,Amino acids,0.7530483870967742,0.21940237873063645
Lysine,Amino acids,0.7530483870967742,-0.12212981915965379
Tryptophan,Amino acids,0.7530483870967742,0.36387406324109195
Methionine,Amino acids,0.7535384615384615,0.0882995257491648
Arachidonic acid,Fatty acids,0.7535384615384615,-0.07985330768921468
β-Aminoisobutyric acid,Amino acids,0.7535384615384615,-0.05246741989413554
Choline,Kynurenine pathway metabolites and nucleosides,0.7840151515151516,0.07251249978436797
Threonine,Amino acids,0.7856111111111111,-0.14923071756277878
"5,6-Dihydrouridine",Kynurenine pathway metabolites and nucleosides,0.7856111111111111,-0.06711419585853708
Cysteine,Amino acids,0.7856111111111111,0.40765796891324646
4-Hydroxyphenyllactic acid,Organic acids,0.7856111111111111,0.13750352374993474
Pipecolic acid,Amino acids,0.7856111111111111,0.0
Uridine,Kynurenine pathway metabolites and nucleosides,0.7856111111111111,-0.09051229290544242
11-Eicosenic acid,Fatty acids,0.8354520547945206,0.12553088208385882
Ornithine,Amino acids,0.9106351351351352,-0.05009861159036532
Malonic acid,Organic acids,0.9153466666666668,-0.289506617194985
α-Aminobutyric acid,Amino acids,0.9157763157894737,0.056094562070926085
Docosatetraenoic acid,Fatty acids,0.986987012987013,0.2760272442787541
Octadecanoic acid,Fatty acids,1.0,-0.05429709045121785
Citric acid,Organic acids,1.0,-0.09251213878953808
