Metabolite,Category,Trend_rho,FDR_recomputed,FDR_paper
Alanine,Amino acids,1.0,0.1621578947368421,0.163
Glycine,Amino acids,-0.5,0.1621578947368421,0.163
α-Aminobutyric acid,Amino acids,1.0,0.9157763157894737,0.916
Valine,Amino acids,0.5,0.1467142857142857,0.149
β-Aminoisobutyric acid,Amino acids,-0.5,0.7535384615384615,0.753
Leucine,Amino acids,0.5,0.5970576923076923,0.596
Isoleucine,Amino acids,0.5,0.3476,0.348
Proline,Amino acids,1.0,0.4813488372093023,0.482
Pipecolic acid,Amino acids,0.0,0.7856111111111111,0.786
Pyroglutamic acid,Amino acids,1.0,0.49976086956521737,0.5
Serine,Amino acids,0.5,0.4608333333333333,0.462
Threonine,Amino acids,-0.5,0.7856111111111111,0.786
Phenylalanine,Amino acids,1.0,0.6500175438596492,0.651
Cysteine,Amino acids,0.5,0.7856111111111111,0.786
Aspartic acid,Amino acids,1.0,0.1621578947368421,0.162
4-Hydroxyproline,Amino acids,-1.0,0.5076170212765958,0.507
Glutamic acid,Amino acids,1.0,0.015799999999999998,0.001
Tryptophan,Amino acids,1.0,0.7530483870967742,0.753
Tyrosine,Amino acids,1.0,0.015799999999999998,0.015
Methionine,Amino acids,0.5,0.7535384615384615,0.753
α-Aminoadipic acid,Amino acids,0.5,0.08618181818181819,0.087
Sarcosine,Amino acids,0.5,0.7530483870967742,0.753
Creatine,Amino acids,-0.5,0.49976086956521737,0.5
Glutamine,Amino acids,-1.0,0.7404576271186442,0.741
Creatinine,Amino acids,-1.0,0.6500175438596492,0.651
Asparagine,Amino acids,-0.5,0.6185849056603773,0.619
Citrulline,Amino acids,-0.5,0.37970967741935485,0.381
1-Methylhistidine,Amino acids,-1.0,0.2830833333333333,0.283
Histidine,Amino acids,-1.0,0.4813488372093023,0.482
3-Methylhistidine,Amino acids,-0.5,0.21725,0.218
Lysine,Amino acids,-0.5,0.7530483870967742,0.753
Ornithine,Amino acids,-0.5,0.9106351351351352,0.91
Arginine,Amino acids,-1.0,0.4813488372093023,0.482
Choline,Kynurenine pathway metabolites and nucleosides,1.0,0.7840151515151516,0.785
Kynurenine,Kynurenine pathway metabolites and nucleosides,0.5,0.4066176470588235,0.406
Xanthurenic acid,Kynurenine pathway metabolites and nucleosides,0.8660254037844387,0.6500175438596492,0.651
Kynurenic acid,Kynurenine pathway metabolites and nucleosides,0.5,0.015799999999999998,0.015
"5,6-Dihydrouridine",Kynurenine pathway metabolites and nucleosides,-0.5,0.7856111111111111,0.786
Pseudouridine,Kynurenine pathway metabolites and nucleosides,0.5,0.4937500000000001,0.494
Uridine,Kynurenine pathway metabolites and nucleosides,-0.5,0.7856111111111111,0.786
1-Methyladenosine,Kynurenine pathway metabolites and nucleosides,,0.4813488372093023,0.482
Pyruvic acid,Organic acids,1.0,0.30782758620689654,0.308
Acetoacetic acid,Organic acids,1.0,0.28865384615384615,0.29
Lactic acid,Organic acids,1.0,0.5782799999999999,0.579
Glycolic acid,Organic acids,1.0,0.30782758620689654,0.308
2-Hydroxybutyric acid,Organic acids,1.0,0.079,0.074
3-Hydroxybutyric acid,Organic acids,1.0,0.1621578947368421,0.163
3-Hydroxypropionic acid,Organic acids,1.0,0.05642857142857143,0.06
Malonic acid,Organic acids,-1.0,0.9153466666666668,0.916
Succinic acid,Organic acids,0.5,0.4813488372093023,0.482
Fumaric acid,Organic acids,1.0,0.5970576923076923,0.596
Oxaloacetic acid,Organic acids,1.0,0.09874999999999999,0.101
a-Ketoglutaric acid,Organic acids,1.0,0.015799999999999998,0.004
Malic acid,Organic acids,1.0,0.14584615384615385,0.144
2-Hydroxyglutaric acid,Organic acids,1.0,0.30782758620689654,0.308
cis-Aconitic acid,Organic acids,1.0,0.079,0.082
4-Hydroxyphenyllactic acid,Organic acids,0.5,0.7856111111111111,0.786
Citric acid,Organic acids,-0.8660254037844387,1.0,1.0
Isocitric acid,Organic acids,1.0,0.079,0.077
Myristoleic acid,Fatty acids,1.0,0.015799999999999998,0.004
Palmitoleic acid,Fatty acids,1.0,0.05266666666666667,0.048
Palmitic acid,Fatty acids,1.0,0.4813488372093023,0.482
γ-Linolenic acid,Fatty acids,1.0,0.28756,0.286
Linoleic acid,Fatty acids,1.0,0.7082758620689655,0.709
Oleic acid,Fatty acids,1.0,0.4066176470588235,0.406
α-Linolenic acid,Fatty acids,1.0,0.1621578947368421,0.163
Octadecanoic acid,Fatty acids,-1.0,1.0,1.0
Arachidonic acid,Fatty acids,-0.5,0.7535384615384615,0.753
11-Eicosenic acid,Fatty acids,0.8660254037844387,0.8354520547945206,0.835
Eicosanoic acid,Fatty acids,-0.8660254037844387,0.4066176470588235,0.406
Docosatetraenoic acid,Fatty acids,1.0,0.986987012987013,0.987
Docosapentaenoic acid (DPA),Fatty acids,0.5,0.22622727272727275,0.228
2-Hydroxyoctadecanoic acid,Fatty acids,,0.517530612244898,0.517
Erucic acid,Fatty acids,-1.0,0.2679130434782609,0.268
Docosanoic acid,Fatty acids,-0.8660254037844387,0.4608333333333333,0.462
3-Hydroxyoctadecanoic acid,Fatty acids,-0.5,0.630537037037037,0.63
Nervonic acid,Fatty acids,-0.5,0.517530612244898,0.517
Tetracosanoic acid,Fatty acids,-0.5,0.4813488372093023,0.482
Hexacosanoic acid,Fatty acids,-0.5,0.22622727272727275,0.228
