"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"3-methylcrotonyl-CoA",6,-0.411,7.812,4.788,8.405e-07,"ACADSB; IVD; GLYAT; MCCC1; MCCC2; AUH",0.001999
"palmitate",44,0.166,12.996,4.38,5.929e-06,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.00705
"Hyodeoxycholic acid-24glucuronide, HDCA-24G",7,-0.467,7.528,4.203,1.317e-05,"UGT1A3; UGT2A3; UGT2A1; ABCG2; ABCB11; ABCC2; ABCC3",0.008569
"3'-S-hydroxy-pravastatin-tetranor",3,-0.7,6.077,4.147,1.685e-05,"ABCB11; ABCC2; ABCG2",0.008569
"arachidonate",66,-0.018,14.619,4.13,1.815e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.008569
"Chenodeoxycholic acid-24glucuronide, CDCA-24G",7,-0.467,7.528,4.089,2.162e-05,"UGT1A3; UGT2A3; UGT2A1; ABCG2; ABCB11; ABCC2; ABCC3",0.008569
"myristic acid",31,0.158,11.175,3.863,5.609e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.01511
"Ganglioside Gm1",7,0.264,7.131,3.855,5.779e-05,"NEU1; CTSA; GALNS; GLB1; PSAP; GM2A; NEU3",0.01511
"pravastatin glucuronide",3,-0.7,6.077,3.846,6e-05,"ABCB11; ABCC2; ABCG2",0.01511
"5,6-epoxy-3-alpha-iso-pravastatin",4,-0.718,6.29,3.827,6.492e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"triol metabolite of pravastatin",4,-0.718,6.29,3.8,7.233e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"7-hydroxy-3-alpha-iso-pravastatin",4,-0.718,6.29,3.766,8.309e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"lauric acid",33,0.171,11.103,3.753,8.722e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.01511
"3-methylglutaconyl-CoA",3,-0.295,5.872,3.749,8.894e-05,"MCCC1; MCCC2; AUH",0.01511
