"cluster","n_spots.Var1","n_spots.Freq","dominant_celltype"
"C0","0",2521,"Hepatocytes"
"C1","1",1752,"Hepatocytes"
"C2","2",1061,"Hepatocytes"
"C3","3",1006,"Hepatocytes"
"C4","4",833,"Hepatocytes"
"C5","5",632,"Hepatocytes"
"C6","6",566,"Hepatocytes"
"C7","7",452,"Hepatocytes"
"C8","8",451,"Hepatocytes"
"C9","9",407,"Hepatocytes"
"C10","10",399,"Hepatocytes"
"C11","11",396,"Hepatocytes"
"C12","12",382,"Hepatocytes"
"C13","13",361,"Hepatocytes"
"C14","14",314,"Hepatocytes"
"C15","15",293,"Hepatocytes"
"C16","16",286,"Hepatocytes"
"C17","17",275,"Hepatocytes"
"C18","18",212,"Hepatocytes"
"C19","19",191,"Hepatocytes"
"C20","20",189,"Hepatocytes"
"C21","21",117,"Hepatocytes"
"C22","22",78,"Hepatocytes"
"C23","23",65,"Hepatocytes"
