"Cluster","Array","Freq","pct"
"0","VLP115_A",1154,8.72
"1","VLP115_A",147,1.11
"2","VLP115_A",9,0.07
"3","VLP115_A",97,0.73
"4","VLP115_A",5,0.04
"5","VLP115_A",0,0
"6","VLP115_A",0,0
"7","VLP115_A",0,0
"8","VLP115_A",0,0
"9","VLP115_A",0,0
"10","VLP115_A",0,0
"11","VLP115_A",0,0
"12","VLP115_A",0,0
"13","VLP115_A",0,0
"14","VLP115_A",0,0
"15","VLP115_A",0,0
"16","VLP115_A",0,0
"17","VLP115_A",0,0
"18","VLP115_A",3,0.02
"19","VLP115_A",0,0
"20","VLP115_A",0,0
"21","VLP115_A",0,0
"22","VLP115_A",0,0
"23","VLP115_A",0,0
"0","VLP116_D",50,0.38
"1","VLP116_D",413,3.12
"2","VLP116_D",9,0.07
"3","VLP116_D",61,0.46
"4","VLP116_D",5,0.04
"5","VLP116_D",597,4.51
"6","VLP116_D",565,4.27
"7","VLP116_D",0,0
"8","VLP116_D",0,0
"9","VLP116_D",0,0
"10","VLP116_D",1,0.01
"11","VLP116_D",1,0.01
"12","VLP116_D",0,0
"13","VLP116_D",0,0
"14","VLP116_D",0,0
"15","VLP116_D",0,0
"16","VLP116_D",0,0
"17","VLP116_D",270,2.04
"18","VLP116_D",1,0.01
"19","VLP116_D",190,1.44
"20","VLP116_D",0,0
"21","VLP116_D",0,0
"22","VLP116_D",0,0
"23","VLP116_D",0,0
"0","VLP119_A",56,0.42
"1","VLP119_A",141,1.07
"2","VLP119_A",6,0.05
"3","VLP119_A",169,1.28
"4","VLP119_A",602,4.55
"5","VLP119_A",0,0
"6","VLP119_A",0,0
"7","VLP119_A",0,0
"8","VLP119_A",207,1.56
"9","VLP119_A",0,0
"10","VLP119_A",0,0
"11","VLP119_A",0,0
"12","VLP119_A",1,0.01
"13","VLP119_A",0,0
"14","VLP119_A",310,2.34
"15","VLP119_A",0,0
"16","VLP119_A",0,0
"17","VLP119_A",0,0
"18","VLP119_A",197,1.49
"19","VLP119_A",0,0
"20","VLP119_A",0,0
"21","VLP119_A",0,0
"22","VLP119_A",0,0
"23","VLP119_A",0,0
"0","VLP119_D",70,0.53
"1","VLP119_D",123,0.93
"2","VLP119_D",410,3.1
"3","VLP119_D",81,0.61
"4","VLP119_D",1,0.01
"5","VLP119_D",4,0.03
"6","VLP119_D",0,0
"7","VLP119_D",0,0
"8","VLP119_D",10,0.08
"9","VLP119_D",0,0
"10","VLP119_D",1,0.01
"11","VLP119_D",0,0
"12","VLP119_D",379,2.86
"13","VLP119_D",1,0.01
"14","VLP119_D",0,0
"15","VLP119_D",0,0
"16","VLP119_D",0,0
"17","VLP119_D",0,0
"18","VLP119_D",3,0.02
"19","VLP119_D",0,0
"20","VLP119_D",0,0
"21","VLP119_D",116,0.88
"22","VLP119_D",78,0.59
"23","VLP119_D",0,0
"0","VLP120_A",29,0.22
"1","VLP120_A",244,1.84
"2","VLP120_A",0,0
"3","VLP120_A",58,0.44
"4","VLP120_A",1,0.01
"5","VLP120_A",3,0.02
"6","VLP120_A",0,0
"7","VLP120_A",450,3.4
"8","VLP120_A",1,0.01
"9","VLP120_A",0,0
"10","VLP120_A",397,3
"11","VLP120_A",394,2.98
"12","VLP120_A",0,0
"13","VLP120_A",0,0
"14","VLP120_A",0,0
"15","VLP120_A",0,0
"16","VLP120_A",286,2.16
"17","VLP120_A",0,0
"18","VLP120_A",1,0.01
"19","VLP120_A",1,0.01
"20","VLP120_A",0,0
"21","VLP120_A",1,0.01
"22","VLP120_A",0,0
"23","VLP120_A",0,0
"0","VLP120_D",764,5.77
"1","VLP120_D",193,1.46
"2","VLP120_D",157,1.19
"3","VLP120_D",209,1.58
"4","VLP120_D",214,1.62
"5","VLP120_D",13,0.1
"6","VLP120_D",1,0.01
"7","VLP120_D",1,0.01
"8","VLP120_D",67,0.51
"9","VLP120_D",27,0.2
"10","VLP120_D",0,0
"11","VLP120_D",1,0.01
"12","VLP120_D",0,0
"13","VLP120_D",0,0
"14","VLP120_D",3,0.02
"15","VLP120_D",0,0
"16","VLP120_D",0,0
"17","VLP120_D",1,0.01
"18","VLP120_D",5,0.04
"19","VLP120_D",0,0
"20","VLP120_D",0,0
"21","VLP120_D",0,0
"22","VLP120_D",0,0
"23","VLP120_D",0,0
"0","VLP121_A",89,0.67
"1","VLP121_A",314,2.37
"2","VLP121_A",48,0.36
"3","VLP121_A",108,0.82
"4","VLP121_A",2,0.02
"5","VLP121_A",13,0.1
"6","VLP121_A",0,0
"7","VLP121_A",0,0
"8","VLP121_A",5,0.04
"9","VLP121_A",1,0.01
"10","VLP121_A",0,0
"11","VLP121_A",0,0
"12","VLP121_A",0,0
"13","VLP121_A",360,2.72
"14","VLP121_A",0,0
"15","VLP121_A",293,2.21
"16","VLP121_A",0,0
"17","VLP121_A",4,0.03
"18","VLP121_A",1,0.01
"19","VLP121_A",0,0
"20","VLP121_A",189,1.43
"21","VLP121_A",0,0
"22","VLP121_A",0,0
"23","VLP121_A",65,0.49
"0","VLP121_D",309,2.33
"1","VLP121_D",177,1.34
"2","VLP121_D",422,3.19
"3","VLP121_D",223,1.68
"4","VLP121_D",3,0.02
"5","VLP121_D",2,0.02
"6","VLP121_D",0,0
"7","VLP121_D",1,0.01
"8","VLP121_D",161,1.22
"9","VLP121_D",379,2.86
"10","VLP121_D",0,0
"11","VLP121_D",0,0
"12","VLP121_D",2,0.02
"13","VLP121_D",0,0
"14","VLP121_D",1,0.01
"15","VLP121_D",0,0
"16","VLP121_D",0,0
"17","VLP121_D",0,0
"18","VLP121_D",1,0.01
"19","VLP121_D",0,0
"20","VLP121_D",0,0
"21","VLP121_D",0,0
"22","VLP121_D",0,0
"23","VLP121_D",0,0
