"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.29633276657908,0.921,0.748,0,"0","MT-ND5"
0,1.5381834125842,0.944,0.815,0,"0","MT-ND1"
7.08968730860089e-289,0.517092383984631,1,0.996,1.26976299697042e-284,"0","SELENOP"
9.0561230832067e-232,0.944589633497236,0.978,0.923,1.62195164420232e-227,"0","MT-ND2"
6.12788124442886e-177,0.746767319652824,1,0.995,1.09750353087721e-172,"0","MT-ATP6"
1.29662415945595e-154,0.405382677145453,0.999,0.994,2.32225386958561e-150,"0","FTL"
5.60323409791537e-144,0.396938575544261,1,0.963,1.00353922693664e-139,"0","HPD"
1.55454326434345e-120,0.523796785037498,0.998,0.988,2.78418698643913e-116,"0","MT-ND4"
1.68206603299495e-114,0.428647877197235,0.997,0.96,3.01258026509396e-110,"0","APOC1"
9.28569833436269e-110,0.532360908152662,0.961,0.901,1.66306857168436e-105,"0","MT-ND3"
2.78120169470863e-82,0.979533201080548,0.433,0.252,4.98113223522315e-78,"0","GSTA2"
8.3658316835992e-74,0.380705760629995,0.994,0.973,1.49832045453262e-69,"0","MT-CYB"
4.81101923086835e-69,0.6075052660569,0.729,0.603,8.61653544248522e-65,"0","ADRA1A"
9.28304710939273e-58,0.326840445388797,0.995,0.958,1.66259373729224e-53,"0","CYP2E1"
4.84428173658274e-40,0.300805099630553,0.916,0.846,8.67610859021968e-36,"0","HGFAC"
2.2082057024541e-36,0.34874782361003,0.831,0.776,3.9548964130953e-32,"0","A1CF"
5.49151440327711e-35,1.22563135202528,0.216,0.125,9.8353022962693e-31,"0","ZNF550"
6.28216180545702e-35,1.41381616211146,0.167,0.088,1.12513517935735e-30,"0","ZNF549"
6.4322771640555e-28,0.281568628657608,0.869,0.805,1.15202084008234e-23,"0","APCS"
2.14366586698478e-23,0.268570284403331,0.681,0.576,3.83930556776974e-19,"0","ERRFI1"
2.90698154259084e-22,0.359420643563625,0.676,0.615,5.20640394278019e-18,"0","RACK1"
1.55094712881466e-20,0.29735754609783,0.662,0.568,2.77774630770705e-16,"0","PPP1R1A"
8.12792590127982e-20,0.336082115896523,0.687,0.627,1.45571152891922e-15,"0","AC132217.2"
1.2235017602859e-18,0.314879485673444,0.662,0.599,2.19129165267206e-14,"0","PLIN5"
7.68518230793546e-18,0.397693878917675,0.499,0.42,1.37641615135124e-13,"0","TM7SF2"
1.307541000293e-15,0.399786938249805,0.491,0.413,2.34180593152476e-11,"0","MUC3A"
1.43911716744965e-15,0.365099362644252,0.585,0.534,2.57745884690233e-11,"0","YBX1"
3.43116273464577e-15,0.734891261937795,0.267,0.202,6.14521245775058e-11,"0","HBA2"
1.35223794974847e-14,0.331577743913278,0.586,0.529,2.42185816799952e-10,"0","ACOX2"
2.11562836344432e-14,0.359870936875558,0.53,0.472,3.78909039892877e-10,"0","MARC2"
2.46619118141431e-14,0.377916588209047,0.518,0.456,4.41694840591302e-10,"0","FCN3"
5.61356651112054e-13,0.654551669259055,0.164,0.113,1.00538976214169e-08,"0","ENHO"
5.44232991912146e-12,0.574247278612811,0.276,0.218,9.74721288514654e-08,"0","IFI27"
1.39045488106668e-11,0.293058629895171,0.583,0.537,2.49030469199042e-07,"0","MPST"
2.72379527603452e-11,0.39272922929627,0.406,0.35,4.87831733937782e-07,"0","NME4"
3.08162046580644e-11,0.644361046377139,0.136,0.093,5.51918225425933e-07,"0","AQP7"
3.82836721703612e-11,0.348734478815015,0.407,0.347,6.85660568571169e-07,"0","GPT"
6.56235122592996e-11,0.332072375151696,0.444,0.384,1.17531710456406e-06,"0","CCL14"
8.99563622492205e-11,0.393323838093797,0.454,0.404,1.61111844788354e-06,"0","SHFL"
1.9128781786306e-10,0.695038834064252,0.119,0.08,3.4259648179274e-06,"0","RANBP3L"
2.9538769356974e-10,0.315149720593896,0.499,0.449,5.29039359183405e-06,"0","NR1I3"
3.05823905284699e-10,0.350821099352719,0.458,0.409,5.47730614364896e-06,"0","MTSS2"
4.23442321355515e-10,0.314481068928082,0.564,0.532,7.58385197547726e-06,"0","HIPK2"
