"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.5381834125842,0.944,0.815,0,"0","MT-ND1"
6.28216180545702e-35,1.41381616211146,0.167,0.088,1.12513517935735e-30,"0","ZNF549"
0,1.29633276657908,0.921,0.748,0,"0","MT-ND5"
5.49151440327711e-35,1.22563135202528,0.216,0.125,9.8353022962693e-31,"0","ZNF550"
2.78120169470863e-82,0.979533201080548,0.433,0.252,4.98113223522315e-78,"0","GSTA2"
9.0561230832067e-232,0.944589633497236,0.978,0.923,1.62195164420232e-227,"0","MT-ND2"
6.12788124442886e-177,0.746767319652824,1,0.995,1.09750353087721e-172,"0","MT-ATP6"
3.43116273464577e-15,0.734891261937795,0.267,0.202,6.14521245775058e-11,"0","HBA2"
1.9128781786306e-10,0.695038834064252,0.119,0.08,3.4259648179274e-06,"0","RANBP3L"
5.61356651112054e-13,0.654551669259055,0.164,0.113,1.00538976214169e-08,"0","ENHO"
0,5.8299345028345,0.261,0.012,0,"1","MYH11"
0,5.00436145173624,0.594,0.056,0,"1","CCL19"
4.74154800313844e-319,4.63833806954946,0.189,0.011,8.49211247362095e-315,"1","LMOD1"
0,4.15234904387595,0.231,0.017,0,"1","CFTR"
0,4.15063671156292,0.325,0.025,0,"1","NOTCH3"
5.03286340273694e-187,4.05439566725315,0.118,0.008,9.01385835430187e-183,"1","SCN7A"
0,4.05331238556507,0.24,0.02,0,"1","FBLN1"
0,4.02532126445195,0.5,0.053,0,"1","CCL21"
9.60523462951336e-177,3.98174414439794,0.111,0.007,1.72029752214584e-172,"1","ITGB4"
0,3.91046184706627,0.759,0.139,0,"1","PTGDS"
1.6011469943454e-214,3.14651642131519,0.243,0.031,2.86765426687261e-210,"2","ASCL1"
2.20685365294655e-131,2.74271602272673,0.201,0.035,3.95247489242727e-127,"2","TFF3"
6.78756278749644e-147,2.61389006108129,0.246,0.047,1.21565249524061e-142,"2","UPP2"
4.31397050317062e-57,2.28448263332815,0.108,0.022,7.72632117117859e-53,"2","RET"
1.44142433880784e-55,1.87033615288619,0.169,0.05,2.58159099080484e-51,"2","PLCH2"
1.0733061424121e-53,1.75592227932229,0.19,0.063,1.92229130106006e-49,"2","EPB41L1"
6.88312440696069e-29,1.52656300928382,0.114,0.04,1.23276758128666e-24,"2","GCK"
1.92860528887129e-28,1.48956192607909,0.135,0.052,3.45413207236847e-24,"2","OXT"
1.51086668754476e-134,1.40320512599053,0.625,0.282,2.70596223739267e-130,"2","CYP7A1"
2.21657655019938e-35,1.35003384090406,0.176,0.07,3.96988860140709e-31,"2","ANKRD18A"
2.920092808824e-64,2.2202534124508,0.127,0.026,5.22988622060379e-60,"3","EEF1A2"
3.06323058991843e-41,2.04659427676505,0.101,0.025,5.48624598654392e-37,"3","SPATA21"
3.24913750323389e-55,1.97646920293445,0.156,0.043,5.8192052682919e-51,"3","CXCL10"
1.19611771681058e-119,1.9676232251532,0.33,0.093,2.14224683080775e-115,"3","UBD"
2.55921230294404e-24,1.91663058274169,0.15,0.065,4.58354923457277e-20,"3","FABP4"
6.02739009358091e-55,1.75648604328096,0.177,0.053,1.07950556576034e-50,"3","CAPG"
1.44731212840624e-33,1.73947716717202,0.114,0.035,2.59213602197558e-29,"3","EMILIN2"
3.82890596304484e-210,1.73473518377198,0.739,0.31,6.85757057981331e-206,"3","COL1A1"
8.42932744980956e-99,1.71507082999008,0.317,0.097,1.50969254626089e-94,"3","GPNMB"
